N	2gram	Losev_Dial_4	VLabPisa
1	таким образом	5	27
2	в этом	11	26
3	и в	15	25
4	и т	17	24
5	не только	8	22
6	может быть	17	21
7	во сне	1	21
8	хотя бы	4	20
9	и не	30	19
10	не может	11	17
11	т е	46	17
12	т д	15	15
13	в его	4	15
14	в процессе	1	14
15	в том	11	13
16	прежде всего	11	13
17	в частности	2	12
18	как это	2	12
19	все это	9	12
20	в силу	4	11
21	с другой	1	11
22	из них	2	11
23	в качестве	2	10
24	не могут	2	10
25	о том	5	10
26	то же	9	9
27	что в	7	9
28	об этом	3	9
29	но и	4	9
30	к этому	3	9
31	в своем	5	8
32	ни один	2	8
33	все эти	3	8
34	на основании	3	8
35	другой стороны	2	8
36	могут быть	3	8
37	во всех	2	7
38	из этих	2	7
39	было бы	9	7
40	как и	7	7
41	том что	10	7
42	говорит о	3	7
43	не было	2	7
44	а не	18	7
45	вместе с	2	7
46	это и	9	6
47	в зависимости	1	6
48	в себе	8	6
49	в нем	5	6
50	главным образом	2	6
51	идеи и	4	6
52	это не	12	6
53	их в	1	6
54	том же	1	6
55	и его	7	6
56	в то	6	6
57	так и	5	6
58	бы и	3	6
59	то что	16	6
60	и есть	19	5
61	действительности и	1	5
62	в их	3	5
63	зависимости от	1	5
64	очевидно что	1	5
65	как говорит	1	5
66	все же	2	5
67	в пределах	1	5
68	и при	2	5
69	не в	8	5
70	же время	6	5
71	связи с	1	5
72	один из	4	5
73	как бы	14	5
74	не является	1	5
75	думается что	1	5
76	в результате	6	5
77	сказать что	6	5
78	только в	7	5
79	их и	1	4
80	с его	5	4
81	в этой	4	4
82	чем же	2	4
83	вот как	2	4
84	перед нами	6	4
85	когда он	3	4
86	в самом	2	4
87	что все	4	4
88	художественный образ	1	4
89	в них	2	4
90	в философии	1	4
91	даже в	1	4
92	одна из	1	4
93	никогда не	2	4
94	вот почему	3	4
95	в ее	2	4
96	это только	1	4
97	познания и	2	4
98	можно сказать	5	4
99	с ними	4	4
100	что он	7	4
101	в нашей	2	4
102	в одном	4	4
103	как раз	4	4
104	в связи	1	4
105	художественное произведение	2	4
106	в романе	1	4
107	равно как	2	4
108	в своей	3	4
109	человека и	2	3
110	сил и	1	3
111	в котором	2	3
112	его не	1	3
113	имеет свою	1	3
114	и он	1	3
115	в которых	1	3
116	видели что	1	3
117	но как	2	3
118	явлений и	1	3
119	силу этого	1	3
120	нет и	2	3
121	что они	4	3
122	с этим	3	3
123	и как	4	3
124	и художественного	1	3
125	в противоположность	2	3
126	всех этих	1	3
127	и по	2	3
128	говорить не	1	3
129	его в	1	3
130	что не	3	3
131	с тем	4	3
132	мы видели	1	3
133	точки зрения	14	3
134	и ее	8	3
135	как о	2	3
136	это мы	1	3
137	у нас	3	3
138	она не	4	3
139	том как	2	3
140	и трудно	1	3
141	образом в	1	3
142	в виду	9	3
143	никак не	2	3
144	что и	6	3
145	вслед за	1	3
146	того что	13	3
147	этот вопрос	1	3
148	и их	2	3
149	даже и	3	3
150	в конце	1	3
151	именно в	5	3
152	так же	4	3
153	некоторые из	1	3
154	по существу	1	3
155	при всем	1	3
156	и от	1	3
157	или в	7	3
158	бы в	4	3
159	только что	2	3
160	жизни и	4	3
161	как на	1	3
162	ее в	2	3
163	смысле слова	1	2
164	также и	4	2
165	чтобы не	1	2
166	и через	1	2
167	он может	1	2
168	видеть в	1	2
169	и этот	1	2
170	а как	2	2
171	мы имеем	5	2
172	же как	1	2
173	в которой	2	2
174	из своих	1	2
175	говорить о	11	2
176	то это	1	2
177	собою и	1	2
178	в ней	5	2
179	еще не	4	2
180	в чем	8	2
181	бы не	2	2
182	в общем	1	2
183	отнюдь не	4	2
184	стороны и	1	2
185	что нет	1	2
186	хотя и	6	2
187	но в	3	2
188	с нею	1	2
189	не приходится	1	2
190	ни одна	2	2
191	лица и	1	2
192	как он	1	2
193	что она	5	2
194	он не	1	2
195	подобно тому	4	2
196	человека в	1	2
197	приходится говорить	1	2
198	они должны	1	2
199	и дальше	1	2
200	говорил что	1	2
201	заключается в	2	2
202	с другими	1	2
203	в жизни	5	2
204	только о	3	2
205	эта теория	1	2
206	само собою	1	2
207	не всегда	3	2
208	между собою	2	2
209	и для	5	2
210	что такое	5	2
211	никаких оснований	1	2
212	самый факт	1	2
213	знаем что	1	2
214	и значит	1	2
215	которые в	1	2
216	по крайней	7	2
217	если бы	6	2
218	по себе	13	2
219	можно ли	1	2
220	не менее	2	2
221	тогда когда	5	2
222	не по	2	2
223	того чтобы	5	2
224	только не	3	2
225	и весь	1	2
226	даже самая	1	2
227	в области	3	2
228	от того	2	2
229	нет ни	3	2
230	и заключается	1	2
231	ли не	1	2
232	отличается от	1	2
233	должны быть	4	2
234	что оно	7	2
235	они и	1	2
236	для того	5	2
237	только то	1	2
238	и может	2	2
239	роль в	1	2
240	мы наблюдаем	1	2
241	он сам	1	2
242	и даже	6	2
243	во всяком	2	2
244	представления об	1	2
245	говорит об	1	2
246	лишь в	2	2
247	в пользу	2	2
248	может не	1	2
249	из себя	1	2
250	от них	1	2
251	во всей	2	2
252	крайней мере	7	2
253	конце концов	1	2
254	значит что	9	2
255	но с	1	2
256	что даже	2	2
257	образа в	2	2
258	с одной	1	2
259	одной из	2	2
260	у них	1	2
261	слова не	1	2
262	при помощи	3	2
263	ни с	4	2
264	и главным	1	2
265	вовсе не	6	2
266	не о	4	2
267	в особенности	4	2
268	или иной	1	2
269	даже не	2	2
270	показывает что	2	2
271	что для	1	2
272	естественно что	1	2
273	через это	1	2
274	идеи в	2	2
275	что мы	7	2
276	тому как	4	2
277	стороны в	1	2
278	было в	1	2
279	нет никаких	1	2
280	и потому	3	2
281	из которых	3	2
282	в течение	4	2
283	того или	2	2
284	но для	2	2
285	можно было	1	2
286	в точном	1	2
287	такое понимание	2	2
288	мира и	1	2
289	то о	1	2
290	будто бы	1	2
291	все они	1	2
292	а в	1	2
293	в целях	2	2
294	о своем	1	2
295	не быть	1	2
296	в своих	1	2
297	явления в	1	2
298	этой точки	2	2
299	которая не	2	2
300	а между	1	1
301	можно говорить	2	1
302	речь идет	1	1
303	говоря о	1	1
304	в сфере	5	1
305	не признать	1	1
306	и без	2	1
307	во-вторых поскольку	1	1
308	все его	1	1
309	почти не	1	1
310	и механизм	2	1
311	и так	2	1
312	обычного хода	1	1
313	достоевского в	1	1
314	он всегда	2	1
315	еще важнее	1	1
316	все те	1	1
317	должна быть	7	1
318	и смутное	1	1
319	вообще типы	1	1
320	бы уже	1	1
321	за его	2	1
322	как мы	1	1
323	что если	3	1
324	путь для	1	1
325	это что	1	1
326	вопрос о	2	1
327	почти все	1	1
328	но она	1	1
329	нельзя ограничиться	1	1
330	мы получаем	2	1
331	приходит к	1	1
332	из того	1	1
333	сам по	2	1
334	это время	1	1
335	к общему	1	1
336	свою очередь	2	1
337	и то	3	1
338	действительности когда	1	1
339	собой в	1	1
340	именно эти	1	1
341	быть в	5	1
342	напряжения и	1	1
343	это совсем	1	1
344	значение и	1	1
345	только тогда	5	1
346	протекать в	1	1
347	себе и	2	1
348	само же	1	1
349	или иное	3	1
350	полнее и	1	1
351	сама по	5	1
352	в известном	1	1
353	в истории	3	1
354	общего с	3	1
355	миф не	8	1
356	нужно найти	1	1
357	кроме того	2	1
358	целый ряд	1	1
359	что по	2	1
360	и наконец	3	1
361	лишь о	1	1
362	или иную	2	1
363	то в	5	1
364	зависит как	1	1
365	вообще но	2	1
366	а во-вторых	1	1
367	быть выражена	1	1
368	уже в	1	1
369	за это	1	1
370	только два	1	1
371	что так	1	1
372	если есть	2	1
373	к религии	4	1
374	ничего и	1	1
375	не механически	1	1
376	имеем в	1	1
377	на то	5	1
378	если он	1	1
