1	но в то же	2	3
2	в то же время	8	3
3	романа в его целом	1	3
4	с начала и до	2	2
5	начала и до конца	2	2
6	в том числе и	1	2
7	как один из возможных	1	1
8	в этом романе и	1	1
9	что в данном случае	1	1
10	нет и не может	2	1
11	и в том что	1	1
12	раз и входит в	1	1
13	с точки зрения ее	1	1
14	бы нелепо думать что	1	1
15	как бы ни были	2	1
16	как раз и входит	1	1
17	различны в зависимости от	1	1
18	то же время и	1	1
19	по отношению к этой	1	1
20	с точки зрения своей	1	1
21	и не может быть	2	1
22	то же время не	1	1
23	войти в художественную структуру	1	1
24	было бы нелепо думать	1	1
25	и с точки зрения	1	1
26	нужно сказать что и	1	1
