N	4gram	Berdyaev_V_1	Otkroven
1	легенде о великом инквизиторе	1	3
2	в легенде о великом	1	3
3	легенда о великом инквизиторе	2	2
4	есть необычайного гадательного и	3	1
5	не рабских восторгов невольника	1	1
6	своим что наконец-то они	1	1
7	они и страшатся ибо	1	1
8	взял все что есть	1	1
9	тысяч да и то	1	1
10	порочны ничтожны и бунтовщики	1	1
11	свободно пошел он за	1	1
12	ибо ничего и никогда	1	1
13	богов а остальные? и	1	1
14	что опять-таки не захотел	1	1
15	умножил ее и обременил	1	1
16	людях слишком высоко ибо	1	1
17	опять-таки не захотел поработить	1	1
18	поступил как бы и	2	1
19	человеческого общества невыносимее свободы	1	1
20	а не рабских восторгов	1	1
21	и сделали так для	1	1
22	не могут и осмыслить	1	1
23	не захотел поработить человека	1	1
24	с каким-то обетом свободы	1	1
25	людей а потому поступил	1	1
26	ты не сошел с	1	1
27	обетом свободы которого они	1	1
28	не с тобой а	1	1
29	этих детей свободы свободной	1	1
30	был устроен бунтовщиком разве	1	1
31	же и впрямь приходил	1	1
32	тебе была дороже всего	1	1
33	для человеческого общества невыносимее	1	1
34	но может ли он	1	1
35	навсегда его ужаснувшим но	1	1
36	потому поступил как бы	1	1
37	и идешь с голыми	1	1
38	захотел поработить человека чудом	1	1
39	не по силам людей	1	1
40	осмыслить которого боятся они	1	1
41	его ужаснувшим но и	1	1
42	может ли он сравниться	1	1
43	небесный но может ли	1	1
44	великих и сильных? нет	2	1
45	свобода их веры тебе	1	1
46	дороже всего еще тогда	1	1
47	что малосильны порочны ничтожны	1	1
48	не в силах вместить	1	1
49	он сравниться в глазах	1	1
50	с тобой а с	1	1
51	я ушел от гордых	1	1
52	с голыми руками с	1	1
53	на этих детей свободы	1	1
54	ты умножил ее и	1	1
55	ли так часто тогда	1	1
56	тобой а с ним	1	1
57	любви человека чтобы свободно	1	1
58	то богов а остальные?	1	1
59	ты судил о людях	1	1
60	виноваты остальные слабые люди	1	1
61	и не любя их	1	1
62	люди что не могли	1	1
63	бунтовщики могут быть счастливыми?	1	1
64	тут ты судил о	1	1
65	можешь с гордостью указать	1	1
66	за тобою прельщенный и	1	1
67	имя твое но вспомни	1	1
68	он за тобою прельщенный	1	1
69	могут и осмыслить которого	1	1
70	гордостью указать на этих	1	1
71	остальные слабые люди что	1	1
72	тогда полторы тысячи лет	1	1
73	сделали так для того	1	1
74	чудом и жаждал свободной	1	1
75	не ты ли так	1	1
76	идешь с голыми руками	1	1
77	что не могут быть	1	1
78	что их было всего	1	1
79	да и то богов	1	1
80	даров? да неужто же	1	1
81	им ее еще больше	1	1
82	все что есть необычайного	3	1
83	земной вдоволь для всякого	1	1
84	малосильны порочны ничтожны и	1	1
85	и жаждал свободной веры	1	1
86	десятки тысяч великих и	2	1
87	каким-то обетом свободы которого	1	1
88	и то богов а	1	1
89	а с ним вот	1	1
90	поработить человека чудом и	1	1
91	обременил ее мучениями душевное	1	1
92	к избранным и для	1	1
93	не могут быть никогда	1	1
94	душа что не в	1	1
95	свободой ты умножил ее	1	1
96	тобою прельщенный и плененный	1	1
97	силам людей а потому	1	1
98	слабого вечно порочного и	1	1
99	в глазах слабого вечно	1	1
100	ничего и никогда не	1	1
101	свободной любви свободной и	1	1
102	пошел он за тобою	1	1
103	их веры тебе была	1	1
104	что не в силах	1	1
105	только несколько тысяч да	1	1
106	веры а не чудесной	1	1
107	единственный путь которым можно	1	1
108	могут быть никогда и	1	1
109	разве бунтовщики могут быть	1	1
110	себе и своим что	1	1
111	жаждал свободной любви а	1	1
112	свободной и великолепной жертвы	1	1
113	устроен бунтовщиком разве бунтовщики	1	1
114	твое но вспомни что	1	1
115	слабая душа что не	1	1
116	а остальные? и чем	1	1
117	виновата слабая душа что	1	1
118	было для человека и	1	1
119	чтобы овладеть свободой людей	1	1
120	свободной любви человека чтобы	1	1
121	и вечно неблагородного людского	1	1
122	и своим что наконец-то	1	1
123	вместо того чтобы овладеть	2	1
124	и обременил ее мучениями	1	1
125	ты хочешь идти в	1	1
126	полторы тысячи лет назад	1	1
127	высоко ибо конечно они	1	1
128	столь страшных даров? да	1	1
129	свободной веры а не	1	1
130	что было не по	1	1
131	человека чтобы свободно пошел	1	1
132	человека и для человеческого	1	1
133	в заслугу себе и	1	1
134	и великолепной жертвы их	1	1
135	детей свободы свободной любви	1	1
136	мы не с тобой	1	1
137	хлеб земной вдоволь для	1	1
138	веры тебе была дороже	1	1
139	голыми руками с каким-то	1	1
140	судил о людях слишком	1	1
141	указать на этих детей	1	1
142	путь которым можно было	2	1
143	они в простоте своей	1	1
144	и хлеб земной вдоволь	1	1
145	ли он сравниться в	1	1
146	лишь к избранным и	1	1
147	ты ли так часто	1	1
148	чтобы свободно пошел он	1	1
149	руками с каким-то обетом	1	1
150	великолепной жертвы их во	1	1
151	чудесной жаждал свободной любви	1	1
152	с гордостью указать на	1	1
153	вечно неблагородного людского племени	1	1
154	о людях слишком высоко	1	1
155	не сошел с креста	1	1
156	с ним вот наша	1	1
157	свобода и хлеб земной	1	1
158	ты лишь к избранным	1	1
159	нам дороги и слабые	1	1
160	и для человеческого общества	1	1
161	дороги лишь десятки тысяч	2	1
162	жаждал свободной веры а	1	1
163	в силах вместить столь	1	1
164	порочного и вечно неблагородного	1	1
165	не было для человека	1	1
166	христа в аристократизме в	1	1
167	сравниться в глазах слабого	1	1
168	вместить столь страшных даров?	1	1
169	увеличил им ее еще	1	1
170	свободы свободной любви свободной	1	1
171	а потому поступил как	1	1
172	вечно порочного и вечно	1	1
173	была дороже всего еще	1	1
174	ты можешь с гордостью	1	1
175	в простоте своей и	1	1
176	как бы и не	2	1
177	в мир и идешь	1	1
178	что могучие? чем виновата	1	1
179	но и тут ты	1	1
180	человека чудом и жаждал	1	1
181	мучениями душевное царство человека	1	1
182	и чем виноваты остальные	1	1
183	бесчинстве своем не могут	1	1
184	неужто же и впрямь	1	1
185	идти в мир и	1	1
186	которого они в простоте	1	1
187	свободы которого они в	1	1
188	которого боятся они и	1	1
189	могли вытерпеть того что	1	1
190	ибо конечно они невольники	1	1
191	назад не ты ли	1	1
192	лишь десятки тысяч великих	2	1
193	нет нам дороги и	2	1
194	силах вместить столь страшных	1	1
195	вдоволь для всякого вместе	1	1
196	гордых и воротился к	1	1
197	овладеть свободой людей ты	1	1
198	тебе дороги лишь десятки	2	1
199	слишком высоко ибо конечно	1	1
200	любви а не рабских	1	1
201	было не по силам	1	1
202	впрямь приходил ты лишь	1	1
203	но вспомни что их	1	1
204	приходил ты лишь к	1	1
205	возжелал свободной любви человека	1	1
206	всего только несколько тысяч	1	1
207	человек был устроен бунтовщиком	1	1
208	кто знает может быть	1	1
209	людей ты увеличил им	1	1
210	свободой людей ты увеличил	1	1
211	боятся они и страшатся	1	1
212	ушел от гордых и	1	1
213	потому что опять-таки не	1	1
214	ужаснувшим но и тут	1	1
215	свободной любви а не	1	1
216	сильных? нет нам дороги	2	1
217	было всего только несколько	1	1
218	вспомни что их было	1	1
219	душевное царство человека вовеки	1	1
220	и тут ты судил	1	1
221	чем виноваты остальные слабые	1	1
222	своем не могут и	1	1
223	заслугу себе и своим	1	1
224	да неужто же и	1	1
225	страшных даров? да неужто	1	1
226	слабые люди что не	1	1
227	не могли вытерпеть того	1	1
228	любви свободной и великолепной	1	1
229	их было всего только	1	1
230	того что могучие? чем	1	1
231	и страшатся ибо ничего	1	1
232	и осмыслить которого боятся	1	1
233	не чудесной жаждал свободной	1	1
234	могучие? чем виновата слабая	1	1
235	хочешь идти в мир	1	1
236	отверг единственный путь которым	1	1
237	остальные? и чем виноваты	1	1
238	бы и не любя	2	1
239	еще тогда полторы тысячи	1	1
240	жертвы их во имя	1	1
241	потому что малосильны порочны	1	1
242	страшатся ибо ничего и	1	1
243	для человека и для	1	1
244	что есть необычайного гадательного	3	1
245	никогда не было для	1	1
246	от гордых и воротился	1	1
247	того чтобы овладеть свободой	1	1
248	необычайного гадательного и неопределенного	2	1
249	избранным и для избранных?	1	1
250	во имя твое но	1	1
251	ее мучениями душевное царство	1	1
252	что не могли вытерпеть	1	1
253	вытерпеть того что могучие?	1	1
254	и никогда не было	1	1
255	тысячи лет назад не	1	1
256	и сильных? нет нам	2	1
257	ты увеличил им ее	1	1
258	несколько тысяч да и	1	1
259	ним вот наша тайна	1	1
260	всего еще тогда полторы	1	1
261	ставит в заслугу себе	1	1
262	их во имя твое	1	1
263	чем виновата слабая душа	1	1
264	ее и обременил ее	1	1
265	или тебе дороги лишь	1	1
266	так часто тогда говорил	1	1
267	бунтовщиком разве бунтовщики могут	1	1
268	лет назад не ты	1	1
269	мир и идешь с	1	1
270	глазах слабого вечно порочного	1	1
271	и впрямь приходил ты	1	1
272	а не чудесной жаждал	1	1
273	все что было не	1	1
274	по силам людей а	1	1
275	неблагородного людского племени с	1	1
