N	3gram	Tiupa_Anal_1	SlovoVZh
1	по отношению к	5	11
2	не может быть	16	7
3	так как если	1	4
4	как если бы	1	4
5	в том что	9	4
6	и не может	4	3
7	сколько бы мы	1	3
8	бы то ни	3	3
9	этой точки зрения	1	3
10	до сих пор	1	3
11	бы мы ни	1	3
12	и не в	4	3
13	то ни было	3	3
14	в художественном произведении	1	3
15	отношение к предмету	1	2
16	и то же	1	2
17	смысл и значение	1	2
18	в такой же	1	2
19	имеем в виду	1	2
20	с другой стороны	2	2
21	то же самое	2	2
22	с точки зрения	4	2
23	в зависимости от	1	2
24	но отнюдь не	1	2
25	одно и то	1	2
26	в данном случае	2	2
27	с одной стороны	3	2
28	того о ком	1	1
29	социального взаимодействия трех	1	1
30	тех или иных	2	1
31	только ему свойственной	1	1
32	но прежде всего	1	1
33	взятой психике творца	1	1
34	один и тот	1	1
35	говорят героя слово	1	1
36	или хотя бы	1	1
37	находится не в	1	1
38	имеем дело с	3	1
39	событии художественного творчества	1	1
40	трех говорящего автора	1	1
41	читателя и того	1	1
42	в нашем случае	3	1
43	созерцателя художественное обнимает	1	1
44	обладающий собственной только	1	1
45	это особый тип	1	1
46	имеет дело с	1	1
47	и продукт социального	1	1
48	художественное обнимает все	1	1
49	все же не	1	1
50	или о чем	1	1
51	незаместимое место в	1	1
52	слово есть выражение	1	1
53	мы имеем дело	4	1
54	бы оно ни	1	1
55	в изолированно взятой	1	1
56	какой бы то	2	1
57	о ком или	1	1
58	время учитывает третьего	1	1
59	обнимает все эти	1	1
60	свое незаместимое место	1	1
61	более или менее	1	1
62	в науке о	1	1
63	третьего слушателя который	1	1
64	во всяком случае	1	1
65	одна и та	1	1
66	изолированно взятой психике	1	1
67	в самом деле	2	1
68	не в вещи	1	1
69	ком или о	1	1
70	в этом смысле	1	1
71	в обоих этих	1	1
72	продукт социального взаимодействия	1	1
73	самом же деле	1	1
74	с ним в	1	1
75	собственной только ему	1	1
76	творца и не	1	1
77	самом деле в	1	1
78	между тем как	1	1
79	и таким образом	1	1
80	взаимодействия трех говорящего	1	1
81	а не к	1	1
82	оно ни было	1	1
83	что в литературе	1	1
84	чем говорят героя	1	1
85	он не должен	1	1
86	равно как и	1	1
87	сам по себе	1	1
88	сами по себе	2	1
89	ни в коем	2	1
90	выражение и продукт	1	1
91	место в событии	1	1
92	то что мы	1	1
93	в свою очередь	1	1
94	вещи и не	1	1
95	но и в	2	1
96	и та же	1	1
97	науке о литературе	1	1
98	не в изолированно	1	1
99	слушателя который и	1	1
100	все время учитывает	1	1
101	на самом же	1	1
102	о том что	3	1
103	в этом отношении	2	1
104	по аналогии с	1	1
105	и того о	1	1
106	в психике созерцателя	1	1
107	никогда не бывает	1	1
108	в конечном счете	4	1
109	существеннейшее влияние на	1	1
110	общения обладающий собственной	1	1
111	действительно произнесенное или	1	1
112	особый тип общения	1	1
113	то же время	6	1
114	подобно тому как	3	1
115	включает в себя	1	1
116	в основе своей	2	1
117	есть выражение и	1	1
118	мы имеем в	1	1
119	в противном случае	1	1
120	по себе в	1	1
121	и оказывает существеннейшее	1	1
122	о чем говорят	1	1
123	у него свое	1	1
124	по крайней мере	1	1
125	учитывает третьего слушателя	1	1
126	в то же	8	1
127	все моменты произведения	1	1
128	на все моменты	1	1
129	случае мы имеем	1	1
130	в коем случае	2	1
131	оказывает существеннейшее влияние	1	1
132	и в частности	1	1
133	или осмысленно написанное	1	1
134	произнесенное или осмысленно	1	1
135	героя слово социальное	1	1
136	в том и	2	1
137	в событии художественного	1	1
138	ему свойственной формой	1	1
139	влияние на все	1	1
140	и тогда когда	1	1
141	в вещи и	1	1
142	не в психике	1	1
143	художественного произведения что	1	1
144	психике созерцателя художественное	1	1
145	во внутренней речи	1	1
146	слово социальное событие	1	1
147	в виду не	1	1
148	все эти три	1	1
149	еще раз что	1	1
150	как и в	1	1
151	далеко не всегда	2	1
152	него свое незаместимое	1	1
153	который и оказывает	1	1
154	к тому же	4	1
155	тип общения обладающий	1	1
156	но в то	2	1
157	психике творца и	1	1
158	произведение не может	1	1
159	может быть ни	1	1
160	эти три момента	1	1
161	в том же	1	1
162	принимают участие в	1	1
163	и тот же	1	1
