N	3gram	Tiupa_Hudo_2	Marksizm
1	с точки зрения	2	13
2	не может быть	3	10
3	по отношению к	7	8
4	то же время	4	8
5	в то же	4	8
6	для того чтобы	3	6
7	в том что	11	6
8	в самом деле	3	5
9	то же самое	2	5
10	с самого начала	1	5
11	бы то ни	1	4
12	той или иной	1	4
13	в таком случае	1	3
14	до сих пор	2	3
15	с одной стороны	3	3
16	о том что	7	3
17	к тому что	4	3
18	на чужое слово	1	2
19	а иногда и	1	2
20	а не в	2	2
21	того или иного	2	2
22	в значительной степени	1	2
23	лежит в основе	1	2
24	в соединении с	1	2
25	все более и	1	2
26	более и более	1	2
27	к тому же	2	2
28	это же самое	1	1
29	на том что	1	1
30	собой не связанных	1	1
31	не следует что	1	1
32	дело в том	1	1
33	в слове и	1	1
34	в том числе	1	1
35	позиции по отношению	1	1
36	в соответствии с	3	1
37	в этом случае	1	1
38	тот или иной	1	1
39	в этом отношении	1	1
40	том числе и	1	1
41	и в других	1	1
42	так или иначе	1	1
43	но тем не	2	1
44	как мы знаем	1	1
45	не только в	2	1
46	же самое что	2	1
47	тем не менее	3	1
48	не в слове	1	1
49	а с другой	1	1
50	приводит к тому	1	1
51	с другой стороны	1	1
52	и в том	1	1
53	что же такое	1	1
54	внешней и внутренней	1	1
55	в этом и	2	1
56	то или иное	1	1
57	в конечном счете	3	1
58	но все же	1	1
59	можно сказать что	1	1
60	но ведь это	1	1
61	друг от друга	1	1
62	между собой не	1	1
63	однако и здесь	1	1
64	тем что он	1	1
65	в противоречие с	1	1
66	как и в	3	1
67	так а не	1	1
68	не нуждается в	1	1
69	одной из форм	1	1
70	и все его	1	1
71	в жизни и	1	1
