N	2gram	Medvedev_I_1	Tvorches
1	и в	1	20
2	никогда не	1	11
3	и не	2	9
4	и с	3	8
5	в этом	2	8
6	что в	2	7
7	так и	1	6
8	из подполья	1	6
9	в целом	1	6
10	все это	1	6
11	достоевского с	1	5
12	и сам	1	5
13	все эти	1	4
14	а в	1	4
15	ничего не	2	4
16	если бы	1	4
17	о жизни	1	3
18	отношению к	1	3
19	для него	1	3
20	и др	1	3
21	он не	2	3
22	тем что	1	3
23	по отношению	1	3
24	а с	1	3
25	это был	1	3
26	говорить о	1	2
27	другой стороны	1	2
28	себя в	1	2
29	не так	1	2
30	и без	1	2
31	и многое	1	2
32	многое другое	1	2
33	о достоевском	2	2
34	и наказания	1	2
35	в руки	1	2
36	и еще	1	2
37	в основе	1	2
38	не случайно	1	2
39	я не	1	2
40	с другой	1	2
41	во многом	1	2
42	только для	1	2
43	преступления и	1	2
44	как о	1	2
45	самого достоевского	1	2
46	теперь я	1	2
47	писателя а	1	1
48	в первую	1	1
49	должен быть	2	1
50	первую очередь	1	1
51	самого себя	2	1
52	же это	1	1
53	утверждает что	1	1
54	и со	1	1
55	оказывается для	1	1
56	дает и	1	1
57	не дает	1	1
58	свою жену	1	1
59	в эту	1	1
60	но когда	1	1
61	вплоть до	1	1
62	зигмунд фрейд	1	1
63	что для	1	1
64	и о	1	1
65	с героем	1	1
66	не остается	1	1
67	он с	1	1
68	униженных и	1	1
69	автора и	1	1
70	это сам	1	1
71	как только	1	1
72	и и	1	1
73	его личности	1	1
74	смердякова и	1	1
75	по поводу	1	1
76	братья карамазовы	1	1
77	в них	1	1
78	под редакцией	1	1
79	сам писатель	1	1
80	за границей	1	1
81	а по	1	1
82	записок из	2	1
83	творчества достоевского	2	1
84	и оскорбленных	1	1
85	достоевского она	1	1
86	с а	1	1
87	достоевского лежит	1	1
88	без этого	1	1
89	и гоголь	1	1
