N	2gram	Medvedev_S_1	Istorich
1	и в	3	26
2	никогда не	1	13
3	в этом	5	12
4	таким образом	2	12
5	в том	5	12
6	что в	2	12
7	может быть	2	11
8	не только	3	10
9	том что	2	10
10	с другой	1	10
11	и не	1	10
12	еще не	2	9
13	что он	1	9
14	но и	2	9
15	все эти	1	8
16	все же	1	8
17	с ним	1	8
18	и его	1	7
19	о том	1	7
20	с одной	1	7
21	у него	1	7
22	одной стороны	1	7
23	мы не	1	6
24	в виде	1	6
25	то что	2	6
26	не может	1	6
27	то же	2	5
28	как и	1	5
29	и что	2	5
30	в то	1	5
31	так и	1	5
32	в его	3	5
33	только в	2	5
34	тем что	1	5
35	его в	1	5
36	но как	1	4
37	и по	1	4
38	это не	1	4
39	прежде всего	1	4
40	зависит от	1	4
41	как бы	2	4
42	должна быть	2	3
43	и наконец	1	3
44	что она	1	3
45	главным образом	2	3
46	него и	1	3
47	в них	1	3
48	в своей	1	3
49	не в	3	3
50	как только	2	3
51	один из	1	3
52	том как	1	3
53	и только	3	3
54	далеко не	2	3
55	не было	1	3
56	в частности	2	3
57	в него	1	3
58	в данном	1	3
59	как будто	2	3
60	на первый	1	3
61	а в	1	3
62	они не	1	3
63	что эти	1	2
64	первый план	1	2
65	но не	1	2
66	по отношению	2	2
67	в свои	1	2
68	дает нам	1	2
69	перед нами	1	2
70	и как	1	2
71	что это	1	2
72	в этой	1	2
73	же не	1	2
74	было бы	2	2
75	вовсе не	1	2
76	даже в	1	2
77	только то	1	2
78	ничего не	1	2
79	эти два	1	2
80	именно на	1	2
81	всяком случае	1	2
82	а с	1	2
83	когда мы	1	2
84	отношению к	2	2
85	для нас	3	2
86	мы должны	1	2
87	в этих	1	2
88	во всяком	1	2
89	могло и	1	1
90	вряд ли	1	1
91	запад и	1	1
92	в связи	1	1
93	и есть	1	1
94	этом не	1	1
95	но она	1	1
96	как то	1	1
97	только тогда	1	1
98	более чем	3	1
99	в целом	1	1
100	в силу	1	1
101	никак не	1	1
102	это значит	1	1
103	так называемым	1	1
104	что все	1	1
105	в мире	1	1
106	на все	1	1
107	развития по	1	1
108	по существу	2	1
109	эти вопросы	1	1
110	из круга	1	1
111	остается в	1	1
112	их на	1	1
113	в котором	1	1
114	не от	1	1
115	все это	7	1
116	и более	1	1
117	в таких	1	1
118	к изучению	1	1
119	что на	1	1
120	в области	1	1
121	вот в	1	1
122	бы он	1	1
123	ней никогда	1	1
124	и о	1	1
125	тому что	1	1
126	те же	1	1
127	для этого	1	1
128	образом в	1	1
129	тех кто	1	1
130	это происходит	1	1
131	должно было	1	1
132	между тем	1	1
133	наконец в	1	1
134	или даже	2	1
135	может служить	1	1
136	даже не	1	1
137	и русская	1	1
138	именно в	1	1
139	еще и	1	1
140	на ней	1	1
141	вступает в	1	1
142	он говорит	1	1
143	новые и	1	1
144	из себя	1	1
145	бы в	1	1
146	тем более	2	1
147	стиль в	1	1
148	между ними	1	1
149	на следующий	1	1
150	на этот	1	1
151	сплошь из	1	1
