N	2gram	Vinokur_Vv_1	IolandNe
1	и с	2	3
2	и не	13	2
3	должен быть	4	2
4	в этом	34	2
5	ничего не	2	2
6	оба они	1	2
7	что в	11	2
8	только что	4	1
9	нисколько не	3	1
10	все эти	3	1
11	после смерти	1	1
12	с другой	8	1
13	человеке и	1	1
14	о жизни	1	1
15	для него	1	1
16	того чтобы	21	1
17	того что	12	1
18	отношению к	4	1
19	и о	1	1
20	а отсюда	2	1
21	говорить о	3	1
22	знать и	2	1
23	же это	2	1
24	без этого	1	1
25	этого все	1	1
26	не дает	1	1
27	что при	1	1
28	тех же	1	1
29	произведения и	2	1
30	в целом	5	1
31	и та	1	1
32	это было	1	1
33	так и	1	1
34	и со	1	1
35	и ничего	1	1
36	автора и	1	1
37	видит в	4	1
38	а для	1	1
39	хорошо знать	2	1
40	неудивительно что	1	1
41	них не	1	1
42	жизни и	2	1
43	по отношению	4	1
44	было не	1	1
45	как о	4	1
46	себя в	2	1
47	и сам	2	1
48	по поводу	1	1
49	и очень	1	1
50	этим и	1	1
51	если бы	2	1
52	того же	3	1
53	не остается	1	1
54	от этого	5	1
55	и творчества	2	1
56	в значительной	2	1
57	в руки	6	1
58	и тот	1	1
59	значительной мере	1	1
60	а также	3	1
61	для того	21	1
62	есть только	2	1
63	бы в	1	1
64	нам в	1	1
65	и занимается	1	1
66	а в	5	1
67	очевидно что	1	1
68	то она	1	1
69	по существу	2	1
70	и в	27	1
71	другое дело	3	1
72	как только	1	1
73	и многое	1	1
74	творчества пушкина	1	1
75	в эту	1	1
76	цель и	1	1
77	все это	6	1
78	на котором	2	1
79	тем что	6	1
80	и др	2	1
81	а если	2	1
82	другой стороны	5	1
83	о ней	1	1
84	никогда не	3	1
85	в них	4	1
86	и без	2	1
