N	3gram	Savitsky_P_1	VLabPisa
1	и т д	1	15
2	с другой стороны	1	8
3	не может быть	1	8
4	более или менее	1	6
5	в то же	7	5
6	хотя бы и	1	5
7	то же время	7	5
8	не было бы	1	4
9	в том что	4	4
10	и в то	2	3
11	в значительной мере	2	3
12	вместе с тем	1	3
13	с одной стороны	3	2
14	в том числе	2	2
15	мы знаем что	1	2
16	в частности в	1	2
17	и не может	1	2
18	чуть ли не	1	2
19	одной стороны и	2	2
20	для того чтобы	1	2
21	том числе и	1	2
22	во всяком случае	1	2
23	и есть в	1	1
24	в этом смысле	1	1
25	и в качестве	1	1
26	по сравнению с	1	1
27	но в то	1	1
28	тот или иной	1	1
29	не только в	4	1
30	сами по себе	3	1
31	в применении к	1	1
32	в качестве общего	1	1
33	главным образом на	1	1
34	та или иная	1	1
35	заключает в себе	2	1
36	но и в	2	1
37	эта не только	1	1
38	так же как	1	1
39	в ней не	2	1
40	не в том	1	1
41	что во всех	1	1
