N	3gram	Voloshinov_1	TeoriaLi
1	по отношению к	9	8
2	в отличие от	1	7
3	в то же	5	6
4	в том что	4	6
5	то же время	5	6
6	в данном случае	3	5
7	в конечном счете	1	4
8	можно сказать что	3	3
9	тем не менее	2	3
10	в свою очередь	1	3
11	с одной стороны	1	2
12	в данный момент	1	2
13	так и его	1	2
14	а с другой	1	2
15	тот или иной	1	2
16	и то же	1	2
17	одно и то	1	2
18	во второй –	1	2
19	не может быть	3	2
20	с точки зрения	10	2
21	со всех сторон	1	1
22	из этих двух	1	1
23	это и есть	1	1
24	и др в	1	1
25	таким образом что	1	1
26	в таком случае	2	1
27	в таких случаях	2	1
28	все что может	2	1
29	внешнем мире и	1	1
30	одной из своих	1	1
31	во внешнем мире	3	1
32	себе а в	1	1
33	он не только	1	1
34	в большинстве случаев	4	1
35	бы то ни	1	1
36	в следующей главе	3	1
37	прежде всего к	3	1
38	– все это	4	1
39	из того что	1	1
40	но в то	3	1
41	до известной степени	1	1
42	оно и в	1	1
43	– один из	3	1
44	но в отличие	1	1
45	в себя и	1	1
46	может быть и	1	1
47	для того чтобы	1	1
48	таким образом и	1	1
49	может быть это	1	1
50	в целом ряде	1	1
51	больше и больше	1	1
52	как это делает	1	1
53	должен быть положен	1	1
54	что он не	1	1
55	о том что	1	1
56	в настоящее время	1	1
57	с другой –	1	1
58	в чем состоит	1	1
59	по ту сторону	3	1
60	как бы в	1	1
61	в то время	1	1
62	и со всеми	1	1
63	– не менее	1	1
64	является как бы	1	1
65	в хх веке	1	1
66	том что в	1	1
67	– это и	1	1
68	в этом случае	1	1
69	высшей ценностью и	1	1
70	миф – это	1	1
71	то или иное	2	1
72	на время в	1	1
73	только то что	2	1
74	не могут быть	3	1
75	на вопрос о	1	1
76	это уже не	1	1
77	и прежде всего	5	1
78	в себе самом	1	1
79	и по отношению	2	1
80	и его роли	1	1
81	то что может	1	1
82	его роли в	2	1
83	дело в том	1	1
84	том что он	2	1
85	только в условиях	1	1
86	между собой в	1	1
87	это было бы	1	1
88	в одной из	1	1
89	по крайней мере	1	1
90	а между тем	1	1
