N	2gram	Losev_Vlad_3	IolandNe
1	и с	9	3
2	и не	25	2
3	в этом	16	2
4	он не	8	2
5	ничего не	5	2
6	оба они	1	2
7	самого себя	2	2
8	что в	17	2
9	только что	2	1
10	нисколько не	3	1
11	что для	1	1
12	все эти	5	1
13	то и	2	1
14	с другой	5	1
15	с а	1	1
16	для него	8	1
17	того чтобы	3	1
18	того что	7	1
19	и о	4	1
20	не так	3	1
21	странное и	1	1
22	же это	2	1
23	не дает	1	1
24	что при	1	1
25	тех же	1	1
26	в целом	2	1
27	к отцу	1	1
28	это было	3	1
29	во многом	2	1
30	утверждает что	4	1
31	так и	6	1
32	но когда	2	1
33	автора и	1	1
34	доказать что	1	1
35	в основе	1	1
36	могло бы	2	1
37	жизни и	1	1
38	и сам	1	1
39	многое другое	1	1
40	по поводу	1	1
41	пишет и	1	1
42	если бы	3	1
43	того же	2	1
44	от этого	2	1
45	а с	4	1
46	и еще	2	1
47	ничего в	1	1
48	в первую	1	1
49	в руки	1	1
50	только для	1	1
51	его произведения	2	1
52	первую очередь	1	1
53	бы его	1	1
54	а также	8	1
55	для того	2	1
56	есть только	9	1
57	бы в	2	1
58	а в	7	1
59	очевидно что	1	1
60	по существу	4	1
61	и в	40	1
62	и многое	1	1
63	человек никогда	1	1
64	все это	1	1
65	тем что	5	1
66	и др	1	1
67	а если	2	1
68	я не	3	1
69	другой стороны	2	1
70	о ней	1	1
71	никогда не	11	1
72	в них	1	1
73	и без	1	1
