1	для того чтобы	6	11
2	можно было бы	1	10
3	тем не менее	2	9
4	и т д	5	8
5	в том что	18	8
6	после того как	2	4
7	и в этом	1	4
8	в данном случае	6	4
9	в этом случае	6	4
10	только тогда когда	3	4
11	с одной стороны	2	4
12	т е как	1	3
13	не может быть	3	3
14	не только как	1	3
15	в первую очередь	1	3
16	с другой стороны	1	3
17	о том что	4	3
18	в том чтобы	2	3
19	потому что в	1	2
20	т е на	1	2
21	тем более что	1	2
22	может иметь и	1	2
23	в отличие от	3	2
24	в двух направлениях	1	2
25	более или менее	1	2
26	смысле этого слова	1	2
27	дело не в	1	2
28	на себя внимание	1	2
29	как мы видели	1	2
30	той и другой	1	1
31	дело так будто	1	1
32	а именно в	2	1
33	для этой цели	2	1
34	представлять себе дело	1	1
35	ставит себе целью	1	1
36	а так как	1	1
37	так же как	4	1
38	по этому поводу	2	1
39	е как бы	1	1
40	и после этого	1	1
41	они как бы	1	1
42	можно говорить что	1	1
43	в то время	2	1
44	в тех случаях	1	1
45	это имело место	1	1
46	в свою очередь	1	1
47	себе дело так	1	1
48	как это имело	1	1
49	то увидим что	1	1
50	вместе с тем	4	1
51	во всяком случае	1	1
52	нас в данном	1	1
53	это еще не	1	1
54	сюда же относится	1	1
55	потому что он	1	1
56	в другом месте	1	1
57	тогда когда они	1	1
58	том что один	1	1
59	из того что	1	1
60	а может быть	1	1
61	но и как	1	1
62	из ряда других	1	1
63	т е в	5	1
64	что именно в	1	1
65	в научной литературе	1	1
66	может быть и	1	1
67	а вместе с	1	1
68	может быть не	1	1
69	но и в	1	1
70	бы говорить о	1	1
71	мы не можем	2	1
72	тому как в	2	1
73	далеко не все	1	1
74	тех случаях когда	1	1
75	у той и	1	1
