N	3gram	Bakhtin_Pr_1	Dialekti
1	и т д	1	15
2	с точки зрения	6	9
3	не есть ни	1	9
4	в том что	3	9
5	что иное как	1	8
6	не что иное	1	8
7	не может быть	11	6
8	то же время	3	6
9	в то же	3	6
10	есть не что	1	5
11	для того чтобы	2	5
12	в этом смысле	3	4
13	не в том	1	4
14	это и есть	1	4
15	подобно тому как	1	4
16	имеется в виду	1	3
17	не говоря уже	1	3
18	говоря уже о	1	3
19	то или иное	2	3
20	и в этом	1	3
21	на то что	1	3
22	равно как и	1	2
23	о том как	1	2
24	но если так	1	2
25	если так то	1	2
26	и в то	2	2
27	хотя бы и	1	2
28	ни в коем	2	2
29	в коем случае	2	2
30	но в то	1	2
31	за пределы мира	1	2
32	иметь в виду	1	2
33	по сравнению с	1	2
34	коем случае не	2	2
35	в свою очередь	1	2
36	та или иная	1	2
37	от чего не	1	2
38	и в частности	2	2
39	ни от чего	1	2
40	тем не менее	3	2
41	за его пределы	2	2
42	в чем не	2	1
43	и переход в	1	1
44	мы имеем дело	2	1
45	не могли найти	1	1
46	дело в том	1	1
47	том же самом	2	1
48	самом же деле	1	1
49	может быть только	3	1
50	на первый план	2	1
51	не могли быть	1	1
52	в лучшем случае	2	1
53	в ней как	1	1
54	не входит в	4	1
55	в отличие от	5	1
56	суть не более	1	1
57	его пределы и	1	1
58	можно сказать что	2	1
59	и именно в	1	1
60	на самом же	1	1
61	не было бы	1	1
62	с тем что	1	1
63	в основе своей	3	1
64	и не в	1	1
65	и тем не	1	1
66	можно найти в	1	1
67	в новом свете	1	1
68	для нее это	2	1
69	должны быть отнесены	1	1
70	в данном случае	4	1
71	если бы мы	1	1
72	не только в	2	1
73	таким образом есть	1	1
74	не только его	1	1
75	ясно что в	1	1
76	и как бы	1	1
77	в нашем случае	1	1
78	в нем не	1	1
79	в связи с	1	1
80	души и тела	2	1
81	в виду что	1	1
82	только она одна	1	1
83	это возможно лишь	1	1
84	эстетическое бытие как	1	1
85	не входя в	1	1
86	по себе не	1	1
87	могли найти себе	1	1
88	в нем нет	1	1
89	лежащая в основе	1	1
90	воля и чувство	1	1
91	мы можем сказать	2	1
92	которое может быть	1	1
93	хотя бы в	1	1
94	и не может	2	1
95	вопрос о том	1	1
96	и прежде всего	5	1
97	ни в чем	2	1
98	не более как	1	1
99	с другой стороны	4	1
100	может и не	2	1
101	которые могут быть	1	1
102	это как бы	1	1
103	его уже не	1	1
104	в особенности же	1	1
105	художественное произведение и	1	1
106	можем сказать что	1	1
107	ничего нет кроме	1	1
108	той или иной	2	1
109	и в области	2	1
110	мы еще не	1	1
