N	2gram	Bakhtin_Fr_2	Retstnzi
1	не может	7	4
2	и в	49	3
3	в центре	1	2
4	один из	7	2
5	историческому становлению	1	1
6	о формах	1	1
7	в особенности	5	1
8	смысл и	2	1
9	и событий	1	1
10	лучше всего	1	1
11	и не	15	1
12	не только	17	1
13	связи с	2	1
14	к историческому	1	1
15	точки зрения	6	1
16	конечно и	1	1
17	во второй	1	1
18	но и	13	1
19	не менее	1	1
20	тех же	2	1
21	именно с	1	1
22	по своим	1	1
23	в ней	2	1
24	с теми	1	1
25	в то	6	1
26	с точки	5	1
27	и на	17	1
28	первая часть	1	1
29	для него	9	1
30	мы видим	1	1
31	к тому	1	1
32	речь и	2	1
33	а не	1	1
34	его от	1	1
35	может быть	5	1
36	вполне понятно	2	1
37	несмотря на	3	1
38	в его	18	1
39	ставить в	1	1
40	он в	1	1
41	же время	6	1
42	без учета	1	1
43	то же	7	1
44	и все	3	1
45	из этих	5	1
46	если бы	1	1
47	бы в	1	1
