N	2gram	Medvedev_S_1	Formalny
1	и в	3	24
2	в его	3	23
3	прежде всего	1	22
4	и не	1	20
5	так и	1	18
6	не может	1	16
7	в этом	5	15
8	может быть	2	14
9	таким образом	2	13
10	истории литературы	10	12
11	в своей	1	11
12	как и	1	11
13	вовсе не	1	10
14	настоящее время	1	10
15	то же	2	10
16	и его	1	10
17	в настоящее	1	10
18	история литературы	1	9
19	в то	1	9
20	и потому	1	9
21	в процессе	1	9
22	все это	7	9
23	формальный метод	1	9
24	же время	1	8
25	не в	3	8
26	то что	2	8
27	именно в	1	8
28	место в	1	7
29	но и	2	7
30	не должна	1	7
31	не только	3	7
32	должна быть	2	7
33	все эти	1	6
34	о литературе	3	6
35	еще не	2	6
36	социологического метода	3	6
37	а в	1	6
38	в том	5	6
39	в целом	1	6
40	отнюдь не	1	6
41	в этой	1	6
42	было бы	2	6
43	как бы	2	6
44	по себе	1	5
45	социологический метод	4	5
46	хотя бы	1	5
47	с другой	1	5
48	главным образом	2	4
49	во всяком	1	4
50	в связи	1	4
51	художественных произведений	1	4
52	отношению к	2	4
53	не из	1	4
54	что в	2	4
55	по отношению	2	4
56	метод в	4	4
57	никогда не	1	4
58	всяком случае	1	4
59	одной стороны	1	4
60	для этого	1	4
61	с одной	1	4
62	в мире	1	4
63	в частности	2	4
64	конечно не	1	4
65	историка литературы	2	4
66	все же	1	3
67	бы в	1	3
68	и наконец	1	3
69	связи с	1	3
70	не было	1	3
71	наконец в	1	3
72	с помощью	1	3
73	но не	1	3
74	лучшем случае	1	3
75	время в	1	3
76	произведение как	1	3
77	между ними	1	3
78	на все	1	3
79	она должна	1	3
80	они не	1	3
81	это и	2	3
82	один из	1	3
83	в литературоведении	2	3
84	и история	1	3
85	литературы на	1	3
86	теоретическая поэтика	1	3
87	в каждом	1	3
88	в них	1	3
89	литературы как	1	3
90	мы не	1	3
91	нашей работы	1	3
92	его в	1	3
93	в области	1	3
94	в систему	1	3
95	что он	1	3
96	исторической поэтики	1	3
97	метод и	2	3
98	ни на	1	3
99	в лучшем	1	3
100	и как	1	3
101	теоретической мысли	1	2
102	в него	1	2
103	слово образ	1	2
104	только как	2	2
105	перейти к	1	2
106	ни были	1	2
107	на психологию	1	2
108	науки о	1	2
109	литературного развития	1	2
110	вступает в	1	2
111	к которому	2	2
112	историю литературы	1	2
113	наш автор	1	2
114	не дает	1	2
115	от друга	1	2
116	единства и	1	2
117	так называемым	1	2
118	называемым формальным	1	2
119	в строгом	1	2
120	исторического изучения	1	2
121	формальным методом	1	2
122	и должно	1	2
123	между тем	1	2
124	это не	1	2
125	мысли в	1	2
126	за пределы	2	2
127	сама по	1	2
128	научной мысли	1	2
129	литературе и	1	2
130	лингвистику и	1	2
131	их на	1	2
132	ничего не	1	2
133	только в	2	2
134	но ведь	3	2
135	и заключается	2	2
136	литература как	1	2
137	не от	1	2
138	и что	2	2
139	в результате	2	2
140	не выходит	1	2
141	положения в	1	2
142	по существу	2	2
143	друг от	1	2
144	с ним	1	2
145	литературы и	2	2
146	и более	1	2
147	по природе	2	1
148	ни одно	1	1
149	это предварительно	1	1
150	наиболее ценная	1	1
151	историко-литературной работы	1	1
152	с каким-либо	1	1
153	композиция жанр	1	1
154	ритм композиция	1	1
155	том что	2	1
156	для нас	3	1
157	существу это	1	1
158	из путей	1	1
159	имманентно с	1	1
160	поэтика опираясь	1	1
161	должна стать	1	1
162	даже не	1	1
163	эти два	1	1
164	развития литературы	4	1
165	образ ритм	1	1
166	ныне так	1	1
167	предварительно изучается	1	1
168	выходит за	1	1
169	зависит от	1	1
170	эстетику и	1	1
171	в виде	1	1
172	помощью тех	1	1
173	методом по	1	1
174	пришлось бы	1	1
175	в смысле	2	1
176	художественный стиль	1	1
177	какие в	1	1
178	методологии истории	3	1
179	из себя	1	1
180	не мешает	1	1
181	диалектического материализма	1	1
182	это значит	1	1
183	на отдельные	1	1
184	сакулина нет	2	1
185	они или	1	1
186	причинной обусловленности	1	1
187	или даже	2	1
188	имманентного изучения	3	1
189	том и	1	1
190	часть нашей	1	1
191	развиваться в	1	1
192	все то	1	1
193	между собой	1	1
194	но только	1	1
195	исторической жизни	2	1
196	какие выработала	1	1
197	системы как	1	1
198	общих принципов	2	1
199	стиля как	1	1
200	материализма для	1	1
201	не меняет	1	1
202	иначе и	1	1
203	исторического развития	2	1
204	может не	1	1
205	в этих	1	1
206	и какие	1	1
207	к изучению	1	1
208	жанр поэтическая	1	1
209	тематика художественный	1	1
210	тех методов	1	1
211	противном случае	1	1
212	и самые	1	1
213	звук слово	1	1
214	более не	1	1
215	и понятие	1	1
216	именно на	1	1
217	переходим к	1	1
218	что без	1	1
219	происходит не	1	1
220	что на	1	1
221	в чем	1	1
222	в противном	1	1
223	и о	1	1
224	целом все	1	1
225	ценная часть	1	1
226	а между	1	1
227	заключается что	2	1
228	же законы	1	1
229	а с	1	1
230	социологическому методу	1	1
231	стиль в	1	1
232	практикуются ныне	1	1
233	не один	1	1
234	психологии и	1	1
235	законы развития	2	1
236	в силу	1	1
237	изучение литературы	2	1
238	поэтическая тематика	1	1
239	идей и	2	1
240	изучается имманентно	1	1
241	и лингвистику	1	1
242	его исследования	1	1
243	в котором	1	1
244	у него	1	1
245	систематическое единство	1	1
246	методов какие	1	1
247	литературы правда	1	1
248	каждом своем	1	1
249	тому что	1	1
250	поэтики и	1	1
251	бы о	1	1
252	диалектический материализм	2	1
253	психологию эстетику	1	1
254	далеко не	2	1
255	тем более	2	1
256	представить себе	1	1
257	как совокупность	1	1
258	если литература	1	1
259	слова но	1	1
260	частности практикуются	1	1
261	это наиболее	1	1
262	этом не	1	1
263	формы звук	1	1
264	и есть	1	1
265	должно было	1	1
266	элементы поэтической	1	1
267	выработала теоретическая	1	1
268	опираясь на	1	1
269	и человеком	1	1
270	как художественный	1	1
271	перед нами	1	1
272	нет а	1	1
273	поэтической формы	1	1
274	эти вопросы	1	1
275	связь между	1	1
276	и по	1	1
277	о художественных	1	1
278	базируются на	1	1
279	в данном	1	1
280	живого становления	1	1
