N	3gram	Voloshinov_1	VelikijI
1	к тому что	1	3
2	а между тем	1	2
3	но и в	1	2
4	том что он	1	2
5	которым можно было	1	2
6	вместо того чтобы	1	2
7	в нем нет	2	2
8	в том что	3	2
9	но все же	3	1
10	и во всяком	1	1
11	и в сознании	1	1
12	есть прежде всего	1	1
13	хотя бы и	1	1
14	бы то ни	8	1
15	лишь в процессе	1	1
16	с ними как	1	1
17	тому что все	1	1
18	в конце концов	3	1
19	и не было	1	1
20	не могут быть	2	1
21	с другой стороны	5	1
22	так и в	1	1
23	еще не успели	1	1
24	не имеет никакой	1	1
25	жизни в этом	2	1
