N	3gram	Savitsky_E_1	Dialekti
1	и т д	1	15
2	с точки зрения	16	8
3	это значит что	1	8
4	в том что	6	6
5	и не только	1	5
6	и та же	1	4
7	не есть ли	1	4
8	то или иное	1	4
9	в связи с	1	4
10	одна и та	1	4
11	то же время	14	4
12	с другой стороны	2	4
13	в том смысле	1	4
14	только тогда когда	1	4
15	не может не	1	3
16	том смысле что	1	3
17	в то же	15	3
18	может быть и	1	3
19	то время как	1	3
20	по себе не	2	3
21	не может быть	2	3
22	вовсе не в	1	3
23	в то время	1	3
24	можно сказать что	3	3
25	в той или	3	2
26	более или менее	1	2
27	как бы ни	3	2
28	говоря уже о	1	2
29	и в частности	2	2
30	в данном случае	2	2
31	не только в	4	2
32	вовсе не обязательно	1	2
33	не могут быть	1	2
34	во всяком случае	3	2
35	само по себе	4	2
36	та или иная	1	2
37	и прежде всего	3	2
38	в нем и	1	2
39	не говоря уже	2	2
40	можно представить себе	1	1
41	воды и земли	1	1
42	того что в	2	1
43	т е прежде	1	1
44	большей или меньшей	1	1
45	том что обе	1	1
46	в этом смысле	3	1
47	одной стороны и	6	1
48	то что с	1	1
49	же как и	3	1
50	и во многих	1	1
51	бы ни была	1	1
52	и то и	1	1
53	и в то	8	1
54	бы то ни	4	1
55	но и в	1	1
56	и далее в	1	1
57	в этом отношении	3	1
58	е прежде всего	1	1
59	и в некотором	1	1
60	то и другое	1	1
61	говорить не о	1	1
62	ту или иную	3	1
63	это может быть	1	1
64	во внимание что	1	1
65	так же как	5	1
66	не обязательно чтобы	1	1
67	и с точки	1	1
68	с одной стороны	8	1
69	он мог бы	1	1
70	и не быть	1	1
71	и поэтому если	1	1
72	в некоторых случаях	1	1
73	и в этом	4	1
74	в последнее время	1	1
75	есть не только	2	1
76	мы отнюдь не	1	1
77	в истории культуры	1	1
78	о котором мы	1	1
79	есть ли это	1	1
80	не входя в	1	1
81	в некотором смысле	3	1
82	друг с другом	3	1
83	того или иного	4	1
84	как и всякая	1	1
85	по сравнению с	2	1
86	не имеет значения	1	1
87	заключается в том	2	1
88	говорить о том	1	1
89	нельзя сказать чтобы	1	1
90	связи с этим	1	1
91	во многих отношениях	1	1
92	мы можем сказать	2	1
93	той или иной	4	1
94	речь идет о	1	1
95	есть ли уже	1	1
96	и неизвестно в	1	1
97	в каком смысле	1	1
98	и когда мы	1	1
99	к тому что	1	1
100	к тому же	1	1
101	можем сказать что	1	1
102	ли он в	1	1
103	независимо от того	1	1
