N	3gram	Medvedev_V_1	Narrotol
1	в том что	5	8
2	с одной стороны	2	7
3	о том что	3	6
4	по отношению к	7	6
5	в том числе	2	6
6	не может быть	8	5
7	можно сказать что	4	4
8	к тому же	1	4
9	той или иной	1	4
10	все же не	1	4
11	в данном случае	1	4
12	том числе и	2	4
13	с другой стороны	8	4
14	в то же	5	3
15	то же время	5	3
16	в свою очередь	1	3
17	в этом отношении	13	3
18	подобно тому как	2	2
19	так или иначе	1	2
20	в таком случае	1	2
21	этой точки зрения	2	2
22	так же как	1	2
23	того или иного	1	2
24	можно было бы	2	2
25	именно в том	1	2
26	более или менее	6	2
27	не только в	2	2
28	то или иное	1	2
29	в конечном счете	5	2
30	в связи с	3	2
31	в том или	1	2
32	не может не	2	2
33	сами по себе	1	2
34	мы имеем дело	1	2
35	в той или	1	2
36	ту или иную	1	2
37	том или ином	1	2
38	не отличается от	1	2
39	хотя оно и	1	1
40	следует иметь в	2	1
41	следует понимать как	2	1
42	и др в	3	1
43	или ином отношении	1	1
44	об этом свидетельствует	1	1
45	в том же	1	1
46	между ними не	1	1
47	в этом смысле	1	1
48	оснований видеть в	1	1
49	во всех его	2	1
50	из которых он	1	1
51	в этой системе	1	1
52	которые будто бы	1	1
53	и в то	3	1
54	в том чтобы	2	1
55	как это было	1	1
56	но по существу	1	1
57	может быть и	1	1
58	до сих пор	1	1
59	иметь в виду	2	1
60	не подлежит сомнению	1	1
61	одной из этих	1	1
62	может быть сведена	1	1
63	может быть определена	1	1
64	то же самое	1	1
65	же как и	1	1
66	что один из	1	1
67	это то что	1	1
68	совершенно очевидно что	1	1
69	все то что	1	1
70	на одном полюсе	1	1
71	том что оно	1	1
72	при всем своем	1	1
73	с этой точки	1	1
74	только то что	2	1
75	некоторые из них	1	1
76	так и от	2	1
77	в самом деле	1	1
78	тот или иной	1	1
79	следует отметить что	1	1
80	по аналогии с	1	1
81	быть сведена к	1	1
82	в соответствии с	1	1
83	а не только	1	1
84	и не быть	1	1
85	в ней не	1	1
86	очевидно что в	1	1
87	быть определена как	1	1
88	имеем дело с	1	1
89	один из них	1	1
90	по крайней мере	2	1
