1	но в то же	2	3
2	в то же время	4	3
3	в целом ряде других	1	2
4	мы можем сказать что	3	2
5	мы имеем в виду	1	2
6	в данном случае в	1	1
7	в таком случае это	1	1
8	но тем не менее	1	1
9	так и со стороны	1	1
10	что же это за	1	1
11	формы так и со	1	1
12	мы старались показать что	1	1
13	что в данном случае	1	1
14	нет и не может	1	1
15	что с точки зрения	1	1
16	одной и той же	3	1
17	и быть не может	1	1
18	свою точку зрения на	1	1
19	с точки зрения сознания	2	1
20	говорить о том что	1	1
21	и не подозревает о	1	1
22	и со стороны содержания	1	1
23	и не может быть	2	1
24	за пределы всего что	1	1
25	даже и не подозревает	1	1
26	по сравнению с ними	1	1
