N	2gram	Losev_Vlad_1	NovoeSre
1	а не	1	17
2	и в	31	16
3	не может	6	16
4	во имя	1	15
5	совсем не	4	12
6	и не	17	11
7	и есть	1	10
8	в эпоху	1	9
9	истории и	1	9
10	что в	14	9
11	в том	11	8
12	жизни и	5	8
13	он не	10	8
14	в этом	14	7
15	может быть	6	7
16	не будет	1	7
17	как и	4	7
18	с его	11	6
19	от бога	1	6
20	не в	5	6
21	ни в	2	6
22	в высшей	1	6
23	никогда не	9	6
24	лишь в	2	6
25	но это	3	6
26	с ее	1	5
27	в ней	1	5
28	истории в	1	5
29	и к	6	5
30	не только	24	5
31	в жизни	3	5
32	все это	5	5
33	в нем	4	5
34	не во	1	4
35	большую роль	1	4
36	о том	11	4
37	и мы	2	4
38	государства и	1	4
39	в них	2	4
40	то что	18	4
41	это не	1	4
42	прежде всего	1	4
43	не было	5	4
44	к старому	1	4
45	и потому	6	4
46	по своему	3	4
47	не менее	2	4
48	и для	2	4
49	и все	4	4
50	потому что	11	4
51	с другой	3	3
52	вопрос о	1	3
53	еще не	2	3
54	во всех	1	3
55	и быстро	1	3
56	за пределы	3	3
57	лицом к	1	3
58	в истории	4	3
59	как в	3	3
60	конечно не	2	3
61	право и	1	3
62	но и	19	3
63	это было	6	3
64	не есть	1	3
65	и пр	1	3
66	с тем	2	3
67	бога и	2	3
68	к лицу	1	3
69	в своей	4	3
70	растет и	1	3
71	к жизни	2	3
72	в россии	4	3
73	она не	1	3
74	что такое	2	3
75	не существует	1	3
76	жизни в	1	3
77	к тому	3	3
78	сказать что	7	3
79	которых не	1	2
80	и это	2	2
81	это и	2	2
82	время как	1	2
83	роль в	1	2
84	не имеют	1	2
85	ведь и	1	2
86	так и	6	2
87	мы не	1	2
88	и с	14	2
89	но она	3	2
90	я не	4	2
91	вот почему	1	2
92	и что	6	2
93	и на	3	2
94	времени в	2	2
95	на протяжении	1	2
96	но не	3	2
97	к богу	1	2
98	образ мыслей	1	2
99	жизни все	1	2
100	в свои	2	2
101	ни к	1	2
102	хотя и	4	2
103	бога но	1	2
104	но в	12	2
105	который в	1	2
106	в обществе	1	2
107	все эти	3	2
108	с одной	1	2
109	себя в	4	2
110	в себе	4	2
111	уже не	3	2
112	вернуться к	1	2
113	не могла	1	2
114	не к	1	2
115	том чтобы	2	2
116	у него	15	2
117	что она	2	2
118	что все	2	2
119	нет и	2	2
120	и даже	15	2
121	связаны с	1	2
122	этом смысле	4	2
123	духовной жизни	1	2
124	для чего	1	2
125	но я	3	2
126	том что	14	2
127	вместе с	3	2
128	так же	1	2
129	место в	2	2
130	не знал	1	2
131	мысли и	4	2
132	одной стороны	1	2
133	такого рода	4	2
134	мир и	1	2
135	другой стороны	3	2
136	по существу	2	2
137	том и	1	2
138	в духовной	1	2
139	xviii века	1	2
140	как это	7	2
141	в то	8	2
142	одна из	1	2
143	того чтобы	2	2
144	и от	5	2
145	и весь	2	2
146	хотя бы	2	2
147	познания и	1	2
148	а в	9	2
149	истории все	1	2
150	и материального	1	2
151	истории потому	1	1
152	и через	3	1
153	общественный и	1	1
154	для себя	2	1
155	только потому	1	1
156	будет сказать	1	1
157	и до	2	1
158	этой эпохе	1	1
159	ней была	1	1
160	и мысли	1	1
161	то нужно	1	1
162	был и	1	1
163	силы которая	1	1
164	мы уже	7	1
165	очень долго	1	1
166	не с	1	1
167	и которые	1	1
168	и религии	1	1
169	во многом	2	1
170	еще в	4	1
171	к тем	1	1
172	на место	1	1
173	и совсем	1	1
174	с ним	5	1
175	можно сказать	6	1
176	на себя	3	1
177	и человека	1	1
178	до последних	1	1
179	был уже	1	1
180	не был	5	1
181	не способен	1	1
182	с большим	1	1
183	это время	3	1
184	мировое значение	1	1
185	свободно и	1	1
186	вопрос об	1	1
187	на нем	1	1
188	на них	1	1
189	что его	4	1
190	в чем	2	1
191	и началом	1	1
192	это была	3	1
193	и во	1	1
194	все в	1	1
195	не могут	1	1
196	в которую	2	1
197	к нему	4	1
198	что никаких	1	1
199	россии и	2	1
200	то он	6	1
201	на решение	1	1
202	значение и	1	1
203	в его	12	1
204	в эти	7	1
205	менее всего	1	1
206	себе и	1	1
207	не хотел	1	1
208	и только	1	1
209	которая должна	1	1
210	значение для	2	1
211	россию но	1	1
212	но тут	1	1
213	в значительной	1	1
214	в своем	4	1
215	в формах	1	1
216	ей было	2	1
217	имя своих	1	1
218	у в	1	1
219	положения он	1	1
220	говорит что	4	1
221	философии и	11	1
222	человека в	1	1
223	время когда	1	1
224	что он	12	1
225	только в	9	1
226	во всем	4	1
227	по своей	4	1
228	в этот	4	1
229	в самом	2	1
230	не хочет	1	1
231	и воли	1	1
232	то время	2	1
233	он в	3	1
234	из этих	2	1
235	тоже не	1	1
236	для всех	1	1
237	человеке и	1	1
238	но во	1	1
239	в социализме	2	1
240	и у	4	1
241	уже в	7	1
242	ко времени	2	1
243	церковь а	1	1
244	свидетельствует о	3	1
245	от других	1	1
246	вера в	2	1
247	из них	2	1
248	для того	2	1
249	как часто	1	1
250	всяком случае	2	1
251	и когда	1	1
252	жизнью и	1	1
253	нелюбовь к	1	1
254	по всем	2	1
255	в конце	9	1
256	последние годы	1	1
257	не для	1	1
258	друг друга	1	1
259	просвещения и	1	1
260	бытия и	1	1
261	и начал	2	1
262	всех своих	1	1
263	тем что	2	1
264	от того	1	1
265	вот что	3	1
266	и вместе	1	1
267	но все	1	1
268	это конечно	3	1
269	от нее	2	1
270	в последние	1	1
271	чего он	1	1
272	во власти	1	1
273	не были	2	1
274	них не	1	1
275	а по	2	1
276	и из	3	1
277	знает что	1	1
278	с другими	1	1
279	был в	3	1
280	который и	1	1
281	верховной цели	2	1
282	было бы	2	1
283	а это	2	1
284	себя и	1	1
285	как существо	1	1
286	что не	1	1
287	для них	1	1
288	попал в	1	1
289	в этой	4	1
290	еще достаточно	1	1
291	всю жизнь	3	1
292	жизнь в	2	1
293	как ни	1	1
294	была уже	2	1
295	существования мира	1	1
296	человеческой жизни	1	1
297	когда ей	2	1
298	ее на	1	1
299	философской мысли	3	1
300	когда она	1	1
301	что мы	2	1
302	и того	1	1
303	он и	6	1
304	и еще	2	1
305	в этих	1	1
306	во время	3	1
307	уже давно	1	1
308	но если	1	1
309	и сейчас	2	1
310	антихриста в	1	1
311	и особенно	4	1
312	и а	2	1
313	на это	2	1
314	к себе	2	1
315	в котором	6	1
316	что вся	1	1
317	не столько	2	1
318	до которых	1	1
319	нет ни	1	1
320	и мир	1	1
321	у нас	6	1
322	в силу	1	1
323	не удалось	1	1
324	но он	5	1
325	о человеке	1	1
326	мы должны	2	1
327	и более	1	1
328	их в	1	1
329	что этот	3	1
330	в состоянии	1	1
331	тогда был	1	1
332	быть не	1	1
333	в это	2	1
334	и вся	1	1
335	и очень	3	1
336	в атмосфере	1	1
337	так как	8	1
338	к такой	1	1
339	оба они	2	1
340	не осталось	1	1
341	и давали	1	1
342	в более	1	1
343	не по	2	1
344	это уже	1	1
345	за его	1	1
346	протяжении всей	1	1
347	и скоро	1	1
348	и никакой	1	1
349	того и	2	1
350	образования и	1	1
351	которая в	1	1
352	а к	22	1
353	свое высшее	1	1
354	особого рода	2	1
355	а во	1	1
356	положительные черты	1	1
357	верят в	1	1
358	умер он	2	1
359	к этой	2	1
360	к ней	4	1
361	я хочу	1	1
362	привело к	1	1
363	гордился своим	1	1
364	логики и	1	1
365	и его	7	1
366	а также	5	1
367	и роста	1	1
368	или не	1	1
369	уже нет	1	1
370	прогрессивно и	1	1
371	речи о	1	1
372	смысле в	1	1
373	гораздо больше	1	1
374	в области	1	1
375	в период	5	1
376	в каком	2	1
377	ему не	1	1
378	в свою	1	1
379	личности с	2	1
380	нем религиозной	1	1
381	того же	6	1
382	жизни а	1	1
383	есть только	1	1
384	и вполне	1	1
385	ли он	1	1
386	людей но	1	1
387	в которой	4	1
388	мысли но	1	1
389	огромное значение	1	1
390	для настоящего	1	1
391	во всяком	2	1
392	как на	2	1
393	все что	2	1
394	он часто	1	1
