N	2gram	Bakhtin_KF_1	formyVre
1	и в	24	46
2	в этом	14	22
3	прежде всего	2	14
4	вовсе не	7	13
5	и его	17	12
6	во всех	11	11
7	не только	5	11
8	только в	16	11
9	как бы	9	10
10	то есть	1	10
11	точки зрения	12	10
12	в том	6	10
13	но в	5	10
14	мы уже	1	9
15	не в	12	9
16	но и	9	9
17	вместе с	1	9
18	и не	26	9
19	и для	9	9
20	мира и	4	9
21	то же	5	8
22	смерть и	1	8
23	как и	5	8
24	с точки	9	8
25	для того	3	8
26	того чтобы	2	8
27	потому что	2	8
28	в его	40	8
29	жизни и	8	8
30	и на	3	7
31	всех этих	3	7
32	так и	2	7
33	может быть	45	7
34	в одном	4	7
35	то что	7	7
36	еще не	4	6
37	все же	5	6
38	и наконец	1	6
39	при этом	4	6
40	этом мире	2	6
41	и с	1	6
42	его в	5	6
43	в основе	5	6
44	никогда не	5	6
45	и во	1	6
46	так как	1	6
47	здесь в	1	6
48	все это	10	6
49	и времени	1	6
50	и все	7	6
51	но не	12	5
52	с этим	1	5
53	в своем	16	5
54	все эти	10	5
55	он не	6	5
56	в нем	28	5
57	должно быть	6	5
58	в то	3	5
59	и др	1	5
60	в смысле	6	5
61	что в	4	5
62	отношения к	1	4
63	также и	1	4
64	в мире	6	4
65	и он	1	4
66	в истории	1	4
67	как в	2	4
68	в себе	21	4
69	их в	1	4
70	и было	1	4
71	том что	4	4
72	в котором	24	4
73	место в	5	4
74	том же	1	4
75	же время	2	4
76	к себе	2	4
77	смерти и	1	4
78	с ним	5	4
79	и смерть	1	4
80	о том	3	4
81	его жизни	3	4
82	конечно не	7	4
83	мир в	11	4
84	и их	6	4
85	а не	17	4
86	человеческой жизни	1	4
87	отнюдь не	6	4
88	еще более	2	4
89	же в	1	4
90	жизни в	5	4
91	пространстве и	1	4
92	дан в	2	3
93	ему в	2	3
94	в виду	3	3
95	того же	1	3
96	слова и	1	3
97	а следовательно	3	3
98	мы будем	1	3
99	отношение к	5	3
100	нет и	3	3
101	в средние	1	3
102	хотя и	1	3
103	и как	2	3
104	весь мир	2	3
105	в этот	1	3
106	уже не	7	3
107	та же	2	3
108	в большинстве	1	3
109	имеем в	2	3
110	новое и	1	3
111	и по	1	3
112	здесь мы	4	3
113	а затем	1	3
114	связанных с	1	3
115	в их	8	3
116	следовательно и	1	3
117	в объемлющем	1	3
118	на границе	1	3
119	же самое	1	3
120	к тому	1	3
121	имеет место	1	3
122	себя и	2	3
123	на основе	7	3
124	и совершенно	3	3
125	жизнь и	2	3
126	в другом	3	3
127	что и	7	3
128	того что	3	3
129	тот же	1	3
130	что он	2	3
131	все они	1	3
132	в качестве	2	3
133	большинстве случаев	1	3
134	для него	8	3
135	тем что	3	3
136	чувствует себя	1	3
137	и даже	1	3
138	не было	8	3
139	мира в	6	3
140	это значит	1	3
141	в это	2	3
142	в реальном	1	3
143	не является	1	3
144	в этих	1	3
145	ее в	1	3
146	а в	4	3
147	средние века	1	3
148	себе самому	1	3
149	всего в	1	3
150	но эти	1	3
151	к этому	2	3
152	смысле слова	1	2
153	ту же	1	2
154	как его	4	2
155	связи между	1	2
156	и есть	9	2
157	этого мира	3	2
158	тем же	1	2
159	и так	1	2
160	и до	1	2
161	оно было	1	2
162	мы имеем	5	2
163	говорить о	2	2
164	жизни как	5	2
165	не был	1	2
166	в час	3	2
167	и т.п	1	2
168	совсем не	2	2
169	к ним	4	2
170	пространства и	2	2
171	человек чувствует	1	2
172	и к	1	2
173	от этого	2	2
174	жизнь как	6	2
175	в этой	2	2
176	человек не	2	2
177	перестает быть	1	2
178	весь и	1	2
179	в корне	2	2
180	на этом	1	2
181	людей и	2	2
182	лишь в	8	2
183	по себе	2	2
184	и рядом	1	2
185	с тем	2	2
186	которой он	2	2
187	одна и	1	2
188	значение для	1	2
189	но эта	5	2
190	но он	1	2
191	этот мир	2	2
192	в отношении	1	2
193	она не	1	2
194	и имеет	1	2
195	там где	5	2
196	и весь	2	2
197	более что	1	2
198	мире и	1	2
199	в духе	1	2
200	могут быть	3	2
201	во все	1	2
202	и потому	2	2
203	и это	12	2
204	и о	1	2
205	чем не	4	2
206	здесь не	3	2
207	и от	1	2
208	в себя	7	2
209	не мог	1	2
210	дано в	1	2
211	особенно в	1	2
212	отсюда и	3	2
213	но здесь	3	2
214	в индивидуальном	1	2
