N	3gram	Propp_Russ_1	Literetu
1	в е годы	2	8
2	в этом отношении	1	5
3	в отличие от	1	5
4	по отношению к	1	4
5	в данном случае	1	4
6	о том что	4	4
7	в том что	15	4
8	с точки зрения	3	3
9	тогда как в	1	3
10	то что ему	1	2
11	состоит в том	8	2
12	подобно тому как	1	2
13	в первой половине	1	2
14	в своего рода	1	2
15	не только в	1	2
16	в одном из	1	2
17	на то что	1	2
18	что иное как	2	1
19	хотя и не	1	1
20	не только по	2	1
21	на самом деле	1	1
22	сближает его с	2	1
23	как будто бы	1	1
24	только по отношению	1	1
25	и не только	1	1
26	целом ряде других	1	1
27	вместе с тем	6	1
28	во второй половине	1	1
29	в себе и	1	1
30	и т п	1	1
31	но это не	2	1
32	одном из своих	1	1
33	в своем дневнике	1	1
34	встречаются и в	1	1
35	некоторые из них	1	1
36	не что иное	2	1
37	в г было	1	1
38	не только для	1	1
39	в связи с	4	1
40	вопрос о том	1	1
41	и наконец в	1	1
42	в целом ряде	1	1
43	и в том	1	1
44	то есть когда	1	1
45	одно из них	1	1
46	в свою очередь	2	1
47	и у нас	2	1
48	ничего общего с	1	1
49	при этом не	1	1
50	к тому что	4	1
51	тем не менее	3	1
52	быть не может	1	1
