N	3gram	Vinokur_Ku_3	Otkroven
1	для того чтобы	11	3
2	и в этом	4	2
3	не может быть	3	2
4	но и в	1	2
5	не могут быть	2	2
6	с тем что	1	2
7	смысле этого слова	2	1
8	в другом месте	1	1
9	хотя и не	1	1
10	по природе своей	1	1
11	в строгом смысле	1	1
12	в виду не	1	1
13	не в том	2	1
14	в этих словах	1	1
15	потому что в	2	1
16	а вовсе не	1	1
17	прежде всего в	1	1
18	это потому что	1	1
19	я имею в	2	1
20	в самом деле	11	1
21	том-то и дело	1	1
22	это не есть	1	1
23	с вопросом о	2	1
24	и не может	1	1
25	имею в виду	2	1
26	во всяком случае	1	1
27	не могут и	1	1
28	сам по себе	3	1
29	в иных случаях	1	1
30	само по себе	1	1
31	после того как	4	1
32	о том что	3	1
33	и в самом	4	1
34	и прежде всего	1	1
35	в том что	8	1
36	и дело что	1	1
37	в том случае	4	1
38	в том-то и	1	1
39	не потому ли	1	1
40	от того что	2	1
41	и вопрос о	1	1
