N	3gram	Bakhtin_fo_2	Marksizm
1	с точки зрения	8	13
2	не может быть	1	10
3	то же время	4	8
4	в то же	4	8
5	в связи с	7	7
6	для того чтобы	7	6
7	в том что	3	6
8	то же самое	2	5
9	может быть и	2	5
10	но в то	1	5
11	с самого начала	1	5
12	в свою очередь	1	5
13	в большинстве случаев	3	5
14	и того же	1	4
15	в точном смысле	1	4
16	и пр и	1	4
17	на самом деле	1	4
18	той или иной	1	4
19	одного и того	1	4
20	в той или	1	3
21	в отличие от	1	3
22	до сих пор	2	3
23	одно и то	1	3
24	с одной стороны	1	3
25	и то же	1	3
26	вовсе не является	1	3
27	о том что	1	3
28	как мы уже	4	3
29	к тому что	1	3
30	пр и пр	1	3
31	как мы видели	1	3
32	том что он	1	2
33	быть и речи	1	2
34	но и в	3	2
35	не было бы	2	2
36	лежит в основе	2	2
37	все более и	1	2
38	более и более	1	2
39	только в этом	1	2
40	и прежде всего	3	2
41	это же самое	1	1
42	в другом месте	2	1
43	а следовательно и	2	1
44	все разобранные нами	1	1
45	только в пределах	1	1
46	и связанные с	1	1
47	а вовсе не	1	1
48	мы уже сказали	3	1
49	и так сказать	1	1
50	в том числе	3	1
51	точки зрения в	1	1
52	в этом случае	2	1
53	и как он	1	1
54	обстоит дело с	1	1
55	в широком смысле	1	1
56	они не могут	1	1
57	тот или иной	1	1
58	сами по себе	2	1
59	как мы увидим	1	1
60	в этом отношении	2	1
61	но он не	1	1
62	том числе и	2	1
63	рано или поздно	1	1
64	в этом процессе	1	1
65	широком смысле слова	1	1
66	уже говорили что	1	1
67	влияние на развитие	1	1
68	во франции и	1	1
69	и в самый	1	1
70	еще и иной	1	1
71	не только в	5	1
72	к вопросу о	3	1
73	и в большинстве	1	1
74	мы здесь не	1	1
75	имеют громадное значение	1	1
76	по сравнению с	1	1
77	во всех этих	3	1
78	и пр все	1	1
79	становится как бы	1	1
80	или иной форме	1	1
81	имеет громадное значение	1	1
82	мы уже говорили	3	1
83	но в смысле	1	1
84	он не знает	1	1
85	с другой стороны	1	1
86	с такою же	1	1
87	зрения другого в	1	1
88	о которых мы	1	1
89	во всех своих	1	1
90	определяющее влияние на	1	1
91	точном смысле слова	1	1
92	характерно что и	1	1
93	с тем что	1	1
94	в самый момент	1	1
95	распадается на ряд	1	1
96	и в особенности	3	1
97	но все же	1	1
98	можно сказать что	1	1
99	как это делают	1	1
100	в данном отношении	1	1
101	друг от друга	2	1
102	во время которой	1	1
103	есть прежде всего	1	1
104	конечно не в	1	1
105	чувствует себя в	1	1
106	друг с другом	4	1
107	но в этом	1	1
108	всех этих случаях	1	1
109	как и в	1	1
110	это свидетельствует о	1	1
111	и все его	1	1
112	но к этому	1	1
113	только с помощью	1	1
