N	3gram	Berdyaev_N_1	Vladivir
1	в том что	1	10
2	о том что	1	8
3	вместе с тем	2	6
4	не может быть	4	6
5	это значит что	1	6
6	в то время	1	4
7	в этом смысле	2	3
8	то что в	1	3
9	в том случае	1	3
10	во всяком случае	1	3
11	с одной стороны	2	3
12	в отличие от	1	3
13	что в этом	1	2
14	у него как	1	2
15	есть прежде всего	1	2
16	совершенно так же	1	2
17	том случае если	1	2
18	так же как	2	2
19	духовного и материального	2	2
20	и потому что	1	2
21	то время как	1	2
22	с другой стороны	2	2
23	и вместе с	1	2
24	то это есть	1	2
25	а не к	1	1
26	в том и	2	1
27	бытия как не	1	1
28	и учителей церкви	1	1
29	же как и	1	1
30	не имеют никакого	1	1
31	до сих пор	1	1
32	и заключается что	2	1
33	как это было	1	1
34	что в нем	2	1
35	от того чтобы	1	1
36	и это есть	1	1
37	можно было бы	1	1
38	природе но и	1	1
39	в ней нет	1	1
40	и не в	1	1
41	и в жизни	1	1
42	в последние годы	1	1
43	вопрос о том	2	1
44	не только в	1	1
45	случае если есть	1	1
46	как будто бы	1	1
47	в известном смысле	1	1
48	в котором и	1	1
49	том и заключается	2	1
50	то что он	1	1
51	в новое время	1	1
52	в самом себе	1	1
53	востока и запада	1	1
54	и должно быть	2	1
55	xix века и	2	1
56	бог не есть	1	1
57	человека вот что	1	1
58	это и есть	1	1
59	выходит за пределы	1	1
60	или не знал	1	1
61	в боге и	1	1
62	в том числе	1	1
63	в том смысле	1	1
64	есть бог и	1	1
65	и совсем не	1	1
66	и возвращается к	1	1
67	должно быть в	1	1
68	не удалось но	1	1
69	лишь в том	1	1
70	есть вместе с	1	1
