N	3gram	Tiupa_Hudo_1	Hudozhes
1	в том что	7	11
2	по отношению к	9	7
3	о том что	1	7
4	так и не	4	4
5	подобно тому как	1	4
6	то же время	5	4
7	в то же	5	4
8	к тому что	2	4
9	не может быть	3	3
10	как и в	1	3
11	в конечном счете	5	3
12	с одной стороны	2	3
13	для того чтобы	2	3
14	тем не менее	3	3
15	в соответствии с	1	3
16	том что она	1	2
17	состоит в том	5	2
18	роли в миропорядке	4	2
19	составляет своего рода	1	2
20	с точки зрения	3	2
21	и в то	1	2
22	тогда как в	1	2
23	так же как	1	2
24	то же самое	1	2
25	не более чем	1	2
26	а всего лишь	1	2
27	того или иного	3	2
28	между автором и	1	2
29	к тому же	1	2
30	ее полные розовые	1	1
31	во времени или	1	1
32	мягким взглядом очень	1	1
33	героев дамы с	1	1
34	себя в другом	1	1
35	самим собою в	1	1
36	той или иной	4	1
37	в рассказе душечка	1	1
38	это было бы	1	1
39	в настоящее время	1	1
40	с собачкой и	1	1
41	мягкую белую шею	1	1
42	розовые щеки на	1	1
43	добродушная жалостливая барышня	1	1
44	тот или иной	2	1
45	взглядом очень здоровая	1	1
46	в эстетическое отношение	1	1
47	что он не	1	1
48	дамы с собачкой	1	1
49	при этом что	1	1
50	в том случае	1	1
51	бы то ни	1	1
52	присутствия в мире	6	1
53	том числе и	1	1
54	с самим собою	1	1
55	целостности произведений искусства	1	1
56	а с другой	2	1
57	точно так же	1	1
58	с самим собой	1	1
59	на всех людей	1	1
60	в точке этого	1	1
61	то или иное	1	1
62	что одна из	1	1
63	в таком случае	1	1
64	темной родинкой и	1	1
65	том случае если	1	1
66	щеки на мягкую	1	1
67	полные розовые щеки	1	1
68	в значительной степени	1	1
69	иронии в рассказе	1	1
70	едва ли не	1	1
71	приводит к тому	2	1
72	в самом начале	1	1
73	не несет в	1	1
74	что душевная характеристика	1	1
75	и который в	1	1
76	барышня с кротким	1	1
77	текста характеризующийся единством	1	1
78	имеем дело с	1	1
79	так или иначе	3	1
80	белую шею с	1	1
81	несет в себе	2	1
82	и не могла	1	1
83	и в жизни	1	1
84	внешней данности их	1	1
85	в миропорядке то	1	1
86	во втором эпизоде	1	1
87	с кротким мягким	1	1
88	с другой стороны	5	1
89	иной эстетической природы	1	1
90	только о том	1	1
91	и в том	1	1
92	в строгом нерасширительном	1	1
93	казалось бы место	1	1
94	содержит в себе	1	1
95	личности с ее	1	1
96	она могла бы	1	1
97	а в том	1	1
98	это была тихая	1	1
99	определений таков что	1	1
100	не могло быть	2	1
101	на наших глазах	2	1
102	героя тогда как	2	1
103	заключается в том	1	1
104	в то время	1	1
105	глядя на ее	1	1
106	в нашем примере	1	1
107	к другому человеку	1	1
108	в своего рода	1	1
109	та или иная	1	1
110	в этом случае	1	1
111	не во внешних	1	1
112	с темной родинкой	1	1
113	и в самом	1	1
114	кротким мягким взглядом	1	1
115	жалостливая барышня с	1	1
116	именно потому что	1	1
117	как персонаж сатирический	1	1
118	по сути дела	1	1
119	можно сказать что	3	1
120	в мире я	1	1
121	строгом нерасширительном значении	1	1
122	таков что душевная	1	1
123	на мягкую белую	1	1
124	друг от друга	1	1
125	в последней главе	1	1
126	как бы в	1	1
127	в смерти чиновника	1	1
128	у нее нет	1	1
129	была тихая добродушная	1	1
130	из этих двух	1	1
131	тихая добродушная жалостливая	1	1
132	в том числе	2	1
133	значении этого термина	2	1
134	в котором по	1	1
135	и не наступает	1	1
136	в себе самом	1	1
137	мы имеем дело	2	1
138	на ее полные	1	1
139	человека и его	1	1
140	в художественном тексте	1	1
141	обратим внимание на	1	1
142	шею с темной	1	1
143	в своей жизни	1	1
