N	2gram	Tiupa_Teor_1	SlovoVZh
1	делает его	2	2
2	к его	2	2
3	а не	9	2
4	только и	1	1
5	высказывания как	1	1
6	только на	1	1
7	у нас	2	1
8	о ком	1	1
9	оно не	1	1
10	в своей	6	1
11	о чем	1	1
12	может быть	17	1
13	отношению к	4	1
14	в том	16	1
15	точек зрения	1	1
16	по себе	1	1
17	и по	2	1
18	и его	8	1
19	не может	4	1
20	художественно значимым	2	1
21	и того	3	1
22	для других	1	1
23	и делает	1	1
24	это уже	1	1
25	и более	1	1
26	как к	2	1
27	таким образом	3	1
28	быть и	2	1
29	том же	1	1
30	все они	1	1
31	так и	10	1
32	и для	2	1
33	по отношению	4	1
34	и к	3	1
35	точки зрения	9	1
