N	2gram	Nazirov_Vr_1	Formalny
1	и в	8	38
2	в этом	8	27
3	т е	3	26
4	может быть	4	23
5	и его	3	21
6	таким образом	2	20
7	и не	5	20
8	в самом	1	16
9	прежде всего	1	15
10	не может	2	14
11	связи с	3	13
12	в нем	6	13
13	но и	7	13
14	в том	3	11
15	с его	3	11
16	в связи	3	10
17	с помощью	1	10
18	в его	3	10
19	и с	6	9
20	как и	6	9
21	при этом	4	9
22	в процессе	1	9
23	не только	9	9
24	все же	6	8
25	так и	1	8
26	точки зрения	2	8
27	тем что	3	8
28	отнюдь не	2	8
29	в своей	2	7
30	что в	7	7
31	для него	2	7
32	с точки	2	7
33	уже не	2	7
34	этом отношении	1	7
35	как раз	2	6
36	в их	1	6
37	а в	2	6
38	вместе с	2	6
39	то же	5	6
40	он не	3	6
41	в истории	4	6
42	в этой	2	6
43	могут быть	1	6
44	то что	7	6
45	и ее	2	6
46	в ней	4	6
47	было бы	1	6
48	не было	5	6
49	бы в	1	5
50	же время	5	5
51	во всяком	1	5
52	во всех	1	5
53	более того	1	5
54	что же	1	5
55	еще более	1	5
56	говорить о	1	5
57	это и	1	5
58	в то	5	5
59	с этим	1	5
60	всяком случае	1	5
61	по преимуществу	1	5
62	именно в	1	5
63	и речи	1	5
64	что он	4	5
65	и наконец	1	4
66	что они	1	4
67	другой стороны	1	4
68	раз и	1	4
69	независимо от	1	4
70	ничего не	1	4
71	одним словом	1	4
72	высшей степени	1	4
73	они не	1	4
74	и даже	6	4
75	в особенности	1	4
76	в сторону	1	4
77	в высшей	1	4
78	но в	6	4
79	как в	1	4
80	из них	2	4
81	как о	1	4
82	к этому	3	4
83	как бы	4	4
84	каждый из	1	3
85	материал и	1	3
86	место в	2	3
87	жизни и	1	3
88	его с	2	3
89	всех этих	1	3
90	и их	1	3
91	и все	7	3
92	к нему	1	3
93	что это	1	3
94	если в	1	3
95	так в	2	3
96	его в	3	3
97	того что	1	3
98	и отчасти	1	3
99	в целом	1	3
100	роль в	1	3
101	он и	1	3
102	хотя и	1	3
103	а о	1	3
104	же как	2	3
105	мы знаем	2	3
106	такой же	1	3
107	как к	1	3
108	быть и	1	3
109	но ведь	1	3
110	с другой	1	3
111	время и	2	3
112	все это	4	3
113	это было	1	3
114	и как	3	3
115	не есть	1	3
116	что о	1	2
117	в в	2	2
118	он пишет	2	2
119	конце концов	1	2
120	не учитывать	1	2
121	же это	1	2
122	с нею	2	2
123	в плане	1	2
124	и то	2	2
