N	2gram	Losev_Dial_2	Otkroven
1	он не	4	4
2	у достоевского	1	3
3	в этом	8	2
4	не созерцает	1	2
5	он всегда	2	2
6	а не	16	2
7	в другом	4	1
8	есть просто	3	1
9	глубину как	1	1
10	он сам	1	1
11	человек совершает	1	1
12	у него	1	1
13	как и	10	1
14	также и	2	1
15	но он	4	1
16	в душе	7	1
17	что она	14	1
18	уже с	1	1
19	человека и	2	1
20	любви к	1	1
21	в сферу	2	1
22	говорит о	1	1
23	его и	1	1
24	не оставить	1	1
25	и эта	1	1
26	должно быть	7	1
27	и он	1	1
28	духа и	1	1
29	есть не	7	1
30	бытие и	2	1
31	и в	19	1
32	это не	10	1
33	опыт в	1	1
34	он был	1	1
35	не есть	47	1
36	но и	12	1
37	не только	19	1
38	и вот	4	1
39	одна из	1	1
40	и всякий	1	1
41	никогда не	9	1
42	я бы	1	1
43	его в	3	1
