N	2gram	Vygotskiy__4	ViktorSh
1	конце концов	1	2
2	и в	20	2
3	том что	35	2
4	в том	42	2
5	в конце	1	2
6	и только	4	1
7	тем более	1	1
8	которые они	1	1
9	под влиянием	2	1
10	и том	1	1
11	и не	8	1
12	все время	4	1
13	и его	5	1
14	потому что	12	1
15	я не	1	1
16	даже не	1	1
17	и то	10	1
18	самом деле	7	1
19	и т.д	2	1
20	к созданию	1	1
21	все это	1	1
22	совершенно ясно	1	1
23	от других	2	1
24	по поводу	1	1
25	именно в	3	1
26	главным образом	1	1
27	по своим	1	1
28	в их	12	1
29	достаточно но	1	1
30	говорили в	1	1
31	в частности	5	1
32	интересует в	1	1
33	так в	1	1
34	речи и	1	1
35	одно и	6	1
36	столь же	3	1
37	говоря о	2	1
38	в которых	1	1
39	деле как	1	1
40	сводится в	1	1
41	в самом	6	1
42	для них	1	1
43	только в	10	1
44	то же	16	1
45	ясно что	2	1
46	так как	10	1
47	этому и	1	1
48	далеко не	2	1
49	и составляет	1	1
50	что слово	2	1
51	каждая новая	1	1
52	но это	1	1
53	в этом	24	1
54	одном и	1	1
55	от общего	1	1
56	а только	3	1
57	на одном	2	1
58	по существу	3	1
59	к этому	4	1
60	не хотел	1	1
61	том же	2	1
62	связанным с	1	1
