N	3gram	Kanaev_Sov_1	OGranits
1	с точки зрения	5	5
2	не может быть	4	4
3	по отношению к	1	3
4	что иное как	1	2
5	мы можем поставить	1	2
6	в самом деле	1	2
7	в зависимости от	4	2
8	в данном случае	1	2
9	с одной стороны	1	2
10	есть не что	1	2
11	с самого начала	3	2
12	не что иное	1	2
13	в том что	1	2
14	точки зрения и	1	1
15	один и тот	1	1
16	его и не	1	1
17	равно как и	1	1
18	на самом деле	1	1
19	не из готовых	1	1
20	то же самое	2	1
21	и есть не	1	1
22	и категорический ответ	1	1
23	которая нужна для	1	1
24	и не может	1	1
25	в отличие от	2	1
26	не было бы	1	1
27	каждом отдельном случае	5	1
28	можно было бы	1	1
29	может быть и	2	1
30	так же как	1	1
31	все эти три	1	1
32	и тот же	1	1
33	ничего общего не	1	1
34	быть и речи	1	1
35	тем не менее	2	1
36	в одном случае	1	1
37	через известный промежуток	1	1
38	в связи с	1	1
39	известный промежуток времени	1	1
40	то же время	1	1
41	но тем не	1	1
42	мы не можем	6	1
43	что в ней	1	1
44	те или иные	1	1
45	в конечном счете	1	1
46	громадную роль играет	1	1
47	точки зрения своего	1	1
48	в то же	1	1
49	в каждом отдельном	5	1
50	само собою разумеется	2	1
51	общего не имеет	1	1
