1	в том что	9	17
2	для того чтобы	3	13
3	в самом деле	2	11
4	с точки зрения	4	10
5	и т п	3	8
6	не может быть	16	8
7	то же самое	2	6
8	до сих пор	1	5
9	в этом отношении	2	5
10	в художественном произведении	1	5
11	в сущности говоря	1	4
12	сам по себе	1	4
13	одной и той	1	4
14	том случае если	1	4
15	только в том	1	4
16	и той же	1	4
17	в данном случае	2	4
18	и в самом	1	4
19	в том случае	1	4
20	о том что	3	4
21	сами по себе	2	3
22	в конечном счете	4	3
23	в том виде	1	3
24	том что он	2	3
25	в том чтобы	7	3
26	одни и те	1	2
27	и не может	4	2
28	к тому что	1	2
29	того или иного	3	2
30	того и другого	2	2
31	и таким образом	1	2
32	как и в	1	2
33	том и заключается	1	2
34	состоит в том	3	2
35	имеет дело с	1	2
36	не в том	3	2
37	в том и	2	2
38	в то же	8	2
39	этой точки зрения	1	2
40	ответом на вопрос	1	2
41	то же время	6	2
42	в свою очередь	1	2
43	бы то ни	3	2
44	при этом как	1	2
45	с другой стороны	2	2
46	не остается ничего	2	2
47	во всяком случае	1	2
48	подобно тому как	3	2
49	тому или иному	1	2
50	и те же	1	2
51	как он полагает	1	1
52	и в частности	1	1
53	как будто бы	1	1
54	имеем дело с	3	1
55	смысл и значение	1	1
56	процессы пользования им	1	1
57	а с другой	1	1
58	литературного произведения как	5	1
59	но и в	2	1
60	как позднейшую рационализацию	1	1
61	то что мы	1	1
62	дело с двумя	2	1
63	у разных авторов	1	1
64	что иное как	5	1
65	сторона искусства в	1	1
66	мы встречаемся с	1	1
67	в этом смысле	1	1
68	не могут быть	2	1
69	в противном случае	1	1
70	его создания и	2	1
71	как если бы	1	1
72	то ни было	3	1
73	художник или читатель	1	1
74	или читатель тому	1	1
75	в литературном произведении	1	1
76	поэтического творчества и	1	1
77	в особенности же	1	1
78	пользования им оказываются	1	1
79	с одной стороны	3	1
80	творчества и восприятия	1	1
81	в отличие от	6	1
82	не что иное	4	1
83	он может быть	1	1
84	в основе своей	2	1
85	одно и то	1	1
86	создания и процессы	1	1
87	процессы его создания	1	1
88	в связи с	1	1
89	по аналогии с	1	1
90	вне всякого сомнения	1	1
91	во всех своих	1	1
92	который не может	1	1
93	и та же	1	1
94	в зависимости от	1	1
95	и не будет	1	1
96	одна и та	1	1
97	на что не	1	1
98	одного и того	2	1
99	дело с фактами	1	1
100	не более чем	4	1
101	имеем в виду	1	1
102	существенная сторона искусства	1	1
103	один и тот	1	1
104	более или менее	1	1
105	в свое время	2	1
106	в данный момент	1	1
107	с этой точки	1	1
108	и тот же	1	1
109	произведению следует рассматривать	1	1
110	по крайней мере	1	1
111	скрытыми от сознания	1	1
112	ни на что	1	1
113	как и на	1	1
114	мы имеем в	1	1
115	читатель тому или	1	1
116	или иному произведению	1	1
117	этом как позднейшую	1	1
118	иному произведению следует	1	1
119	что же касается	1	1
120	а не к	1	1
121	до тех пор	1	1
122	но и как	1	1
123	и заключается что	1	1
124	тех пор пока	1	1
125	следует рассматривать при	1	1
126	заключается что и	1	1
127	не в состоянии	1	1
128	есть не что	3	1
129	дает художник или	1	1
130	и процессы пользования	1	1
131	дело не с	1	1
132	то или иное	1	1
133	рассматривать при этом	1	1
134	не так как	1	1
135	друг с другом	1	1
136	может быть признано	1	1
137	между тем в	1	1
138	в таком случае	3	1
139	искусства в том	2	1
140	выходит за пределы	1	1
141	толкование которое дает	1	1
142	и процессы его	1	1
143	в душевной жизни	1	1
144	и того же	2	1
145	в первом случае	2	1
146	разумное толкование которое	1	1
147	вместе с тем	1	1
148	в произведении искусства	3	1
149	которое дает художник	1	1
150	и разумное толкование	1	1
151	и тем самым	1	1
152	сознательное и разумное	1	1
153	вновь и вновь	1	1
154	здесь мы имеем	1	1
155	что и процессы	1	1
156	самая существенная сторона	1	1
157	о том как	1	1
158	все же не	1	1
159	и то же	1	1
