N	3gram	Nazirov_Vr_1	Komedia
1	едва ли не	1	5
2	в том что	2	5
3	на этот раз	1	4
4	о том что	1	4
5	в связи с	3	3
6	то же время	4	3
7	в то время	1	3
8	в то же	4	3
9	в этом смысле	1	2
10	в ответ на	1	2
11	до сих пор	1	2
12	в той же	1	2
13	в это время	1	2
14	во всяком случае	1	2
15	что у него	1	2
16	независимо от того	1	2
17	речь идет о	1	2
18	имеется в виду	1	1
19	в соответствии с	1	1
20	в том же	1	1
21	с точки зрения	2	1
22	на первый план	1	1
23	ироническое отношение к	1	1
24	и в то	1	1
25	что в нем	1	1
26	в каком направлении	1	1
27	точно так же	1	1
28	ответ на это	1	1
29	с другой стороны	1	1
30	не может быть	2	1
31	о чем говорилось	1	1
32	не было бы	1	1
33	у него в	1	1
34	но об этом	1	1
35	в свою очередь	1	1
36	связи с этим	1	1
37	и в самом	1	1
38	но в этом	1	1
39	лет тому назад	1	1
40	тем более что	1	1
41	но не менее	1	1
42	тем не менее	1	1
