N	2gram	Medvedev_I_1	slovoVRo
1	и в	1	39
2	и не	2	22
3	в этом	2	16
4	все это	1	16
5	так и	1	15
6	и с	3	9
7	себя в	1	8
8	для него	1	7
9	никогда не	1	7
10	все эти	1	6
11	в них	1	6
12	в значительной	1	6
13	жизни и	1	6
14	с другой	1	5
15	по отношению	1	4
16	в основе	1	4
17	и др	1	4
18	а в	1	4
19	отношению к	1	4
20	говорить о	1	3
21	человеке и	1	3
22	а также	1	3
23	что в	2	3
24	он не	2	2
25	автора и	1	2
26	на котором	1	2
27	того чтобы	1	2
28	должен быть	2	2
29	со всеми	1	2
30	для того	1	2
31	как о	1	2
32	того же	1	1
33	не остается	1	1
34	и о	1	1
35	нам в	1	1
36	в целом	1	1
37	и еще	1	1
38	и сам	1	1
39	них не	1	1
40	это было	1	1
41	этим и	1	1
42	в эту	1	1
43	не здесь	1	1
44	и без	1	1
45	ничего не	2	1
46	как только	1	1
47	что при	1	1
48	то она	1	1
49	того что	1	1
50	и со	1	1
51	автор и	1	1
52	тем что	1	1
53	другой стороны	1	1
54	только для	1	1
55	нисколько не	1	1
56	и широко	1	1
