N	2gram	Propp_Russ_2	FransuaR
1	и в	29	41
2	мы уже	1	18
3	во всех	3	17
4	таким образом	6	17
5	в нем	1	16
6	и с	10	16
7	и его	1	13
8	но и	8	13
9	в этом	11	12
10	как мы	3	12
11	все эти	3	11
12	все это	10	11
13	в самом	1	10
14	не только	10	10
15	так как	13	10
16	и др	1	10
17	прежде всего	2	10
18	то что	5	10
19	и на	6	9
20	кроме того	2	9
21	во время	12	9
22	о том	9	9
23	здесь в	2	9
24	и все	4	9
25	здесь и	1	8
26	но в	5	8
27	в этой	3	8
28	никогда не	2	8
29	и до	1	7
30	в них	4	7
31	как и	11	7
32	том что	22	7
33	в его	1	7
34	на части	9	7
35	в особенности	1	7
36	связаны с	3	7
37	как бы	18	7
38	что в	22	7
39	например в	1	6
40	в году	3	6
41	в то	2	6
42	в образе	2	6
43	один из	2	6
44	вместе с	6	6
45	или в	7	6
46	сказать что	1	6
47	что он	1	6
48	в ее	3	5
49	в своем	1	5
50	что это	3	5
51	то же	4	5
52	рядом с	1	5
53	еще в	2	5
54	но он	3	5
55	во всем	2	5
56	тем что	3	5
57	все то	2	5
58	так и	1	5
59	и что	5	5
60	а также	4	5
61	в литературе	1	5
62	из них	4	5
63	в одном	1	5
64	там где	2	5
65	так же	4	5
66	одним из	2	4
67	в ней	1	4
68	он был	1	4
69	как в	7	4
70	и как	2	4
71	и наконец	1	4
72	та же	2	4
73	а затем	4	4
74	в другом	1	4
75	не в	4	4
76	но они	1	4
77	в основе	1	4
78	того чтобы	6	4
79	все же	2	4
80	у нас	4	4
81	и вообще	1	4
82	с ним	1	4
83	другом месте	1	4
84	все время	1	4
85	тот же	1	4
86	с одной	2	4
87	уже в	1	4
88	в большинстве	1	4
89	земли и	5	4
90	в котором	3	4
91	и даже	1	4
92	с другой	2	4
93	именно в	4	4
94	одной стороны	2	4
95	и от	3	4
96	а в	9	4
97	не может	5	4
98	из этого	2	4
99	все что	1	4
100	рассказывается о	1	3
101	как у	1	3
102	в одной	1	3
103	с этим	2	3
104	перед нами	1	3
105	при этом	6	3
106	характер в	2	3
107	людей и	2	3
108	связанных с	1	3
109	нос и	1	3
110	на все	1	3
111	с другими	3	3
112	было бы	3	3
113	на первый	3	3
114	нас не	2	3
115	тесно связаны	1	3
116	когда они	2	3
117	также что	2	3
118	в огромном	1	3
119	потому что	5	3
120	только с	1	3
121	этом отношении	1	3
122	в духе	1	3
123	к нему	4	3
124	в него	2	3
125	того что	3	3
126	в ряде	1	3
127	мы увидим	1	3
128	только в	1	3
129	есть в	2	3
130	до того	1	3
131	в целях	2	3
132	связано с	2	3
133	и особенно	1	3
134	в данном	6	3
135	и не	1	3
136	с этой	2	3
137	но это	1	3
138	и для	2	3
139	и то	2	2
140	это и	2	2
141	из самых	1	2
142	мы не	6	2
143	не будем	3	2
144	говорить о	1	2
145	из того	1	2
146	в народных	1	2
147	природы и	2	2
148	из земли	4	2
149	землю и	1	2
150	но не	5	2
151	что они	1	2
152	что именно	1	2
153	стороны и	1	2
154	хотя и	1	2
155	он в	1	2
156	как он	1	2
157	так сказать	1	2
158	всех этих	1	2
159	на этом	3	2
160	что все	1	2
161	значение в	1	2
162	а за	4	2
163	мы видели	7	2
164	в развитии	1	2
165	был бы	1	2
166	из этих	2	2
167	но если	3	2
168	в своей	2	2
169	представление о	5	2
170	но эта	1	2
171	в другие	4	2
172	их в	4	2
173	для этого	5	2
174	и очень	1	2
175	в таких	3	2
176	как о	1	2
177	тогда когда	4	2
178	связан и	1	2
179	так что	4	2
180	связи с	2	2
181	превращается в	1	2
182	к себе	1	2
183	предыдущей главе	1	2
184	о происхождении	2	2
185	в эти	1	2
186	должен быть	2	2
187	затем они	1	2
188	данном случае	7	2
189	и этим	1	2
190	и когда	1	2
191	возможно что	1	2
192	образом в	2	2
193	между тем	3	2
194	и во	1	2
195	там и	2	2
196	тем более	1	2
197	а именно	3	2
198	на которой	1	2
199	но с	1	2
200	на сцену	1	2
201	в народе	3	2
202	они могут	1	2
203	где они	2	2
204	человека с	1	2
205	что если	1	2
206	тем сильнее	1	2
207	себе в	1	2
208	в конце	1	2
209	как его	1	2
210	каждый из	2	2
211	может быть	13	2
212	как раз	1	2
213	где их	1	2
214	в форме	2	2
215	человека и	1	2
216	а на	9	2
217	до конца	3	2
218	был в	1	2
219	не на	1	2
220	а не	4	2
221	на весь	1	2
222	влияние и	1	2
223	или с	3	2
224	начиная с	2	2
225	и потому	1	2
226	как это	4	2
227	в предыдущей	1	2
228	не был	2	2
229	в огне	1	2
230	ногами и	2	2
231	для нас	6	2
232	от него	1	2
233	в эту	3	2
234	в этих	3	2
235	для его	1	2
236	в том	22	2
237	другой стороны	1	2
238	есть и	1	2
239	ряде мест	1	2
240	и другие	14	2
241	ту же	1	1
242	и через	3	1
243	через которые	1	1
244	он показывает	2	1
245	он тем	1	1
246	на самом	2	1
247	он может	1	1
248	и всем	2	1
249	которую они	1	1
250	с таким	1	1
251	в их	2	1
252	полагает что	2	1
253	уверен что	1	1
254	не во	1	1
255	по окончании	1	1
256	из своих	1	1
257	так чтобы	2	1
258	совпадает с	1	1
259	в самих	1	1
260	то это	1	1
261	которая для	1	1
262	от разных	1	1
263	мы здесь	2	1
264	часто эти	1	1
265	в xix	3	1
266	еще не	6	1
267	не помогают	1	1
268	на них	4	1
269	между собой	2	1
270	всем этим	1	1
271	это различные	1	1
272	и хлеб	1	1
273	что его	1	1
274	в различных	1	1
275	тем как	1	1
276	видели что	4	1
277	значение и	1	1
278	к слову	1	1
279	на которого	1	1
280	отношение к	1	1
281	не просто	1	1
282	нам право	2	1
283	нет и	1	1
284	природа в	1	1
285	в поисках	1	1
286	описывает его	1	1
287	связывали с	1	1
288	что к	1	1
289	там же	12	1
290	в приведенном	1	1
291	что по	4	1
292	с весны	1	1
293	более или	1	1
294	следующим образом	5	1
295	очевидно в	1	1
296	есть ли	1	1
297	в этот	10	1
298	в которой	2	1
299	сливается с	1	1
300	чем больше	1	1
301	во многих	9	1
302	рассказ о	1	1
303	нас на	1	1
304	смеха в	1	1
305	ее как	1	1
306	если он	2	1
307	не могла	1	1
308	и если	1	1
309	чем сильнее	1	1
310	связанные с	2	1
311	он должен	1	1
312	на полях	1	1
313	необходимо для	1	1
314	умерла от	1	1
315	на земле	5	1
316	и по	3	1
317	образа и	1	1
318	с собой	1	1
319	именно это	1	1
320	но все	1	1
321	это конечно	1	1
322	форме а	1	1
323	на нее	6	1
324	его в	8	1
325	и других	3	1
326	очень древняя	1	1
327	смеха и	1	1
328	он есть	2	1
329	и дает	1	1
330	никакой роли	1	1
331	должен был	3	1
332	в огонь	1	1
333	здесь нет	1	1
334	здесь это	1	1
335	смерть и	2	1
336	часть их	1	1
337	могилу и	1	1
338	далеко не	4	1
339	на основании	1	1
340	с тем	6	1
341	подробно описывает	1	1
342	руках и	1	1
343	несмотря на	1	1
344	объясняет это	1	1
345	чем в	2	1
346	в церкви	2	1
347	и тогда	1	1
348	или менее	1	1
349	но где	1	1
350	никаких признаков	1	1
351	игры в	2	1
352	таким же	1	1
353	что от	3	1
354	место в	1	1
355	видел в	1	1
356	не столько	2	1
357	в которых	4	1
358	могло бы	1	1
359	своего рода	1	1
360	мир и	1	1
361	им явления	1	1
362	земле и	4	1
363	не играют	1	1
364	по всем	3	1
365	как от	1	1
366	указывали что	1	1
367	в землю	13	1
368	при всех	1	1
369	не менее	2	1
370	выходят из	1	1
371	более широким	1	1
372	что с	2	1
373	этого же	1	1
374	совершаются на	1	1
375	дело в	1	1
376	того как	2	1
377	на него	1	1
378	всей их	1	1
379	год был	1	1
380	подходят к	1	1
381	о них	2	1
382	и смеха	2	1
383	не имеет	3	1
384	ничего не	1	1
385	одна из	11	1
386	на землю	3	1
387	с лицом	1	1
388	с одним	1	1
389	и другими	1	1
390	можно видеть	1	1
391	место это	1	1
392	в дни	1	1
393	имели место	1	1
394	особое значение	1	1
395	как будто	1	1
396	такие же	3	1
397	от их	1	1
398	и соль	1	1
399	в момент	2	1
400	от болезней	3	1
401	на поле	4	1
402	могут быть	2	1
403	во все	1	1
404	огня а	1	1
405	с полной	1	1
406	такова концепция	1	1
407	и другим	1	1
408	смерти и	2	1
409	игра в	2	1
410	свои границы	1	1
411	и это	1	1
412	и луга	1	1
413	и о	3	1
414	здесь не	1	1
415	говорит и	1	1
416	новую жизнь	1	1
417	iv в	1	1
418	особой связи	1	1
419	огонь и	1	1
420	есть некоторые	1	1
421	смерти в	2	1
422	то время	2	1
423	в пределах	1	1
424	в ту	1	1
425	с традиционным	1	1
426	можно было	2	1
427	мы приведем	2	1
428	мог бы	1	1
429	вокруг этого	2	1
430	жизнь и	2	1
431	основана на	1	1
432	собой и	1	1
433	и античные	2	1
434	но эту	1	1
435	об этом	2	1
436	некоторых местах	4	1
437	он здесь	1	1
438	и здесь	1	1
439	то они	1	1
440	и поэтому	1	1
441	настоящее время	1	1
442	в глаза	2	1
443	или на	8	1
444	утверждает что	1	1
445	после того	2	1
446	можно сказать	1	1
447	нас в	1	1
448	в лесах	3	1
449	места и	1	1
450	большое количество	1	1
451	за этим	2	1
452	от них	1	1
453	этот момент	1	1
454	живой человек	2	1
455	что и	2	1
456	это не	5	1
457	чем и	1	1
458	в другой	1	1
459	того в	2	1
460	смерть есть	1	1
461	в самый	2	1
462	указывает что	1	1
463	что здесь	3	1
464	что смерть	1	1
465	том как	1	1
466	с ними	1	1
467	этот вопрос	2	1
468	по свидетельству	1	1
469	огонь в	1	1
470	по времени	1	1
471	и так	1	1
472	в природе	3	1
473	их не	1	1
474	по этому	2	1
475	по земле	2	1
476	плодородие земли	2	1
477	характерной для	1	1
478	к земле	5	1
479	тем временем	1	1
480	уже не	4	1
481	же но	1	1
482	изображается как	1	1
483	или даже	3	1
484	и обратно	1	1
485	превращаются в	1	1
486	мир в	1	1
487	одно из	2	1
488	для него	1	1
489	же они	1	1
490	такое объяснение	2	1
491	представлений о	2	1
492	в пространстве	1	1
493	и должна	1	1
494	части и	2	1
495	ее не	1	1
496	к ним	1	1
497	ее на	2	1
498	в других	15	1
499	для того	6	1
500	же деле	2	1
501	говорится что	4	1
502	в число	1	1
503	влияние на	2	1
504	этой комедии	1	1
505	по своим	1	1
506	здесь вокруг	1	1
