N	2gram	Vygotskiy__6	Vladivir
1	и в	28	31
2	не только	16	24
3	но и	10	19
4	то что	28	18
5	и не	11	17
6	и даже	1	15
7	у него	2	15
8	в этом	27	14
9	том что	19	14
10	и с	1	14
11	что в	17	14
12	но в	5	12
13	в его	3	12
14	что он	18	12
15	с его	3	11
16	о том	1	11
17	в том	28	11
18	потому что	22	11
19	и то	4	10
20	он не	7	10
21	так что	6	10
22	как мы	10	9
23	никогда не	8	9
24	в конце	2	9
25	только в	18	9
26	а в	2	9
27	и по	3	8
28	в то	6	8
29	так как	10	8
30	кроме того	1	7
31	мы уже	2	7
32	как это	3	7
33	и его	3	7
34	для него	6	7
35	об этом	1	7
36	в эти	1	7
37	как раз	6	7
38	еще и	1	7
39	сказать что	13	7
40	того же	7	6
41	то же	7	6
42	и к	6	6
43	это было	1	6
44	он и	1	6
45	в котором	2	6
46	у нас	2	6
47	так и	6	6
48	и что	6	6
49	можно сказать	6	6
50	в качестве	4	6
51	может быть	13	6
52	на этот	4	6
53	не может	19	6
54	к этому	1	6
55	но как	3	5
56	когда он	2	5
57	на то	4	5
58	которой он	1	5
59	не в	4	5
60	что и	4	5
61	вовсе не	1	5
62	но он	2	5
63	а с	1	5
64	что же	1	5
65	все это	2	5
66	и от	2	5
67	с ним	2	5
68	в своих	3	5
69	из его	1	4
70	он уже	1	4
71	я не	4	4
72	мы и	4	4
73	что его	1	4
74	в этой	5	4
75	в истории	1	4
76	в своем	7	4
77	хотя и	3	4
78	и как	6	4
79	в этот	1	4
80	в которой	7	4
81	в нашем	4	4
82	в себе	4	4
83	как он	1	4
84	в нем	7	4
85	главным образом	1	4
86	что у	2	4
87	этом смысле	2	4
88	как и	6	4
89	несмотря на	2	4
90	еще в	2	4
91	в своей	2	4
92	мысли и	2	4
93	и вообще	2	4
94	дело в	1	4
95	во всем	1	4
96	никак не	1	4
97	к нему	1	4
98	по своей	3	4
99	один из	3	4
100	и теперь	1	4
101	и у	1	4
102	этот раз	1	4
103	и все	5	4
104	для нас	2	4
105	и через	1	3
106	увидим ниже	2	3
107	и эмпиризма	1	3
108	и он	1	3
109	и на	5	3
110	но не	10	3
