1	то есть	20	39
2	то что	5	38
3	и не	11	37
4	и в	16	35
5	не есть	2	33
6	сказать что	3	24
7	не только	28	24
8	том что	19	19
9	о том	8	18
10	что такое	1	18
11	может быть	17	18
12	в этом	15	17
13	но и	14	16
14	и вообще	2	16
15	такого рода	4	15
16	только в	7	14
17	во всяком	2	13
18	и что	2	13
19	потому что	4	13
20	не может	9	13
21	не менее	2	13
22	также и	3	12
23	тем не	1	12
24	в том	23	12
25	того что	3	12
26	хотя бы	3	12
27	что в	4	11
28	в таком	1	11
29	не будет	1	11
30	и даже	3	11
31	прежде всего	11	11
32	значения и	1	11
33	а не	22	10
34	да и	1	10
35	тем более	1	10
36	таком случае	1	10
37	и то	1	10
38	еще не	14	10
39	всяком случае	1	10
40	в данном	5	10
41	говорить о	1	10
42	едва ли	2	9
43	в этой	2	9
44	только на	1	9
45	для себя	4	9
46	что же	2	9
47	пока еще	6	9
48	было бы	1	8
49	при помощи	1	8
50	уже не	4	8
51	в виду	2	8
52	только о	1	8
53	по себе	3	8
54	как раз	1	8
55	все же	3	8
56	тут же	1	8
57	этого термина	2	8
58	в конце	1	7
59	этом случае	1	7
60	не имеет	1	7
61	тем самым	1	7
62	бы и	1	7
63	мы не	1	7
64	в его	7	7
65	так и	8	7
66	не является	4	7
67	того или	2	7
68	мы можем	1	6
69	как будто	1	6
70	в виде	1	6
71	определенного рода	1	6
72	а только	1	6
73	по крайней	2	6
74	когда мы	1	6
75	с другой	10	6
76	крайней мере	2	6
77	в области	1	6
78	на то	1	6
79	не существует	1	6
80	а именно	1	6
81	в то	3	6
82	но это	1	6
83	же самое	2	6
84	можно сказать	5	6
85	мы и	1	6
86	но в	8	6
87	но как	2	6
88	о чем	2	6
89	не о	1	6
90	той или	3	5
91	языка и	2	5
92	что не	4	5
93	одной стороны	9	5
94	то же	7	5
95	в частности	9	5
96	раз и	1	5
97	с одной	9	5
98	и все	2	5
99	к сфере	1	5
100	по своему	3	5
101	представление о	1	5
102	или иной	5	5
103	и без	2	5
104	с этим	3	5
105	как мы	2	5
106	указывает на	2	5
107	но уже	1	5
108	данном случае	2	5
109	с другими	1	5
110	как и	16	5
111	в связи	1	5
112	будто бы	2	5
113	или иного	1	5
114	еще и	1	5
115	в себе	7	5
116	связи с	4	5
117	этом смысле	1	5
118	тот или	2	5
119	в самом	3	5
120	отнюдь не	8	5
121	и на	5	5
122	и более	1	5
123	между собой	2	5
124	другой стороны	3	5
125	и это	1	5
126	значение в	1	4
127	не могут	1	4
128	если бы	1	4
129	слова и	1	4
130	в область	1	4
131	и вполне	1	4
132	говоря уже	2	4
133	что на	1	4
134	как таковой	1	4
135	которой он	1	4
136	ни о	1	4
137	и есть	2	4
138	не вполне	1	4
139	и о	4	4
140	как бы	5	4
141	но только	1	4
142	для каждого	1	4
143	не все	1	4
144	и как	6	4
145	в результате	1	4
146	не был	1	4
147	не говоря	2	4
148	стороны и	2	4
149	что он	4	4
150	уже о	2	4
151	и тем	2	4
152	но не	11	4
153	что она	1	4
154	до сих	1	4
155	есть в	2	4
156	на самом	1	4
157	а в	5	4
158	далеко не	10	4
159	таким образом	3	4
160	тем что	3	4
161	в каком	1	4
162	значения слова	1	4
163	в своем	6	4
164	нами не	1	4
165	все еще	1	4
166	более или	2	4
167	всех этих	1	4
168	то и	1	4
169	самом деле	1	4
170	сих пор	1	4
171	разного рода	2	4
172	человеческой речи	1	4
173	заключается в	3	4
174	или менее	2	4
175	в этих	1	4
176	собой и	1	4
177	несмотря на	1	3
178	если же	1	3
179	и того	3	3
180	можно говорить	1	3
181	и всякий	1	3
182	в их	5	3
183	в своих	3	3
184	хотя и	2	3
185	только его	1	3
186	и их	1	3
187	даже не	1	3
188	обойтись без	1	3
189	тех или	1	3
190	при этом	13	3
191	в нашей	1	3
192	том или	1	3
193	в истории	4	3
194	о которых	1	3
195	может ли	1	3
196	не являются	1	3
197	внимание на	4	3
198	мы все	1	3
199	если оно	1	3
200	один из	3	3
201	и тоже	1	3
202	же о	1	3
203	уже в	2	3
204	и по	2	3
205	или точнее	1	3
206	мы должны	1	3
207	нас в	1	3
208	в науке	2	3
209	людей между	1	3
210	на том	2	3
211	к тому	5	3
212	или даже	2	3
213	вопрос о	1	3
214	чистом виде	1	3
215	о котором	2	3
216	для них	1	3
217	и притом	1	3
218	определение и	1	3
