N	3gram	Propp_Russ_2	KulturaY
1	для того чтобы	6	15
2	в том что	18	15
3	и т д	5	14
4	в том чтобы	2	8
5	с другой стороны	1	6
6	о том что	4	5
7	в этом отношении	1	5
8	во всяком случае	1	5
9	т е как	1	4
10	тем не менее	2	4
11	состоит в том	13	3
12	более или менее	1	3
13	о том как	1	3
14	можно было бы	1	3
15	вместе с тем	4	3
16	в свою очередь	1	3
17	не может быть	3	3
18	на то что	1	2
19	в этом случае	6	2
20	в первую очередь	1	2
21	т е в	5	2
22	е как бы	1	2
23	в тех случаях	1	2
24	нужно было бы	1	2
25	тех случаях когда	1	2
26	что с ними	1	1
27	что иное как	2	1
28	потому что он	1	1
29	как например в	1	1
30	в одном ряду	1	1
31	когда пишет что	1	1
32	иметь в виду	1	1
33	одном ряду с	1	1
34	в настоящее время	1	1
35	во многих случаях	2	1
36	относится к г	1	1
37	того или другого	1	1
38	с одной стороны	2	1
39	и во многих	1	1
40	во многих других	1	1
41	у нас на	1	1
42	в отличие от	3	1
43	а вместе с	1	1
44	следует обратить внимание	1	1
45	состоит не в	1	1
46	по существу не	1	1
47	в научной литературе	1	1
48	так что в	1	1
49	в это время	1	1
50	одна из наиболее	1	1
51	в применении к	1	1
52	говорить что в	1	1
53	стоит в одном	1	1
54	всех этих случаях	1	1
55	главным образом на	1	1
56	еще не все	1	1
57	во всех этих	1	1
58	дело не в	1	1
59	так же как	4	1
60	а может быть	1	1
61	и в таком	1	1
62	это еще не	1	1
63	то же значение	1	1
64	между тем как	1	1
65	необходимо для того	1	1
66	по аналогии с	1	1
67	что представление о	1	1
68	смысле этого слова	1	1
69	тем более что	1	1
70	в этих случаях	3	1
71	после того как	2	1
72	предположить что в	1	1
73	не что иное	2	1
74	таким образом в	1	1
75	того чтобы на	1	1
76	т е не	1	1
77	все то что	1	1
78	может рассматриваться как	1	1
79	только тогда когда	3	1
80	можно понимать как	1	1
