N	2gram	Vinokur_St_2	Freidism
1	таким образом	10	24
2	и не	9	23
3	не может	2	20
4	точки зрения	5	19
5	прежде всего	5	18
6	в этом	21	15
7	в его	13	15
8	и пр	8	15
9	мы можем	1	13
10	может быть	2	13
11	и его	6	12
12	все эти	2	11
13	как и	2	11
14	с точки	2	11
15	как бы	5	11
16	то что	11	11
17	самом деле	3	10
18	но в	8	10
19	его в	2	10
20	как мы	1	10
21	так и	9	10
22	и потому	2	10
23	с его	2	9
24	по отношению	1	9
25	и в	29	9
26	то же	2	8
27	не только	19	8
28	он не	9	8
29	в своей	7	8
30	еще не	1	8
31	что он	13	8
32	только в	2	8
33	так как	2	8
34	все это	11	8
35	и все	1	8
36	отношению к	1	8
37	все что	1	8
38	в самом	7	7
39	отношение к	1	7
40	ни в	3	7
41	мы видели	1	7
42	те же	1	7
43	один из	1	7
44	тот же	1	7
45	всяком случае	3	7
46	что же	1	7
47	сказать что	2	7
48	во всяком	3	7
49	в ней	7	6
50	за пределы	1	6
51	и с	4	6
52	того что	5	6
53	для него	4	6
54	вовсе не	6	6
55	никогда не	3	6
56	хотя бы	3	6
57	совершенно не	2	6
58	культурного творчества	1	5
59	на самом	3	5
60	и на	6	5
61	он сам	1	5
62	в чем	1	5
63	и к	4	5
64	в этой	2	5
65	что такое	2	5
66	не в	4	5
67	в то	2	5
68	в каком	2	5
69	можно сказать	1	5
70	для того	7	5
71	по мнению	1	5
72	а в	1	5
73	но и	19	5
74	связь с	2	5
75	с этим	3	5
76	в период	2	5
77	в свою	1	5
78	что в	19	5
79	смысле слова	1	4
80	в зависимости	1	4
81	той же	1	4
82	связанных с	1	4
83	мы не	1	4
84	в которой	11	4
85	говорить о	1	4
86	я не	7	4
87	зависимости от	1	4
88	совсем не	1	4
89	но не	3	4
90	все же	6	4
91	не было	3	4
92	из этих	1	4
93	в пределах	1	4
94	с их	1	4
95	в нем	4	4
96	на этом	1	4
97	то ни	2	4
98	при этом	2	4
99	об этом	6	4
100	с другими	1	4
101	на основании	1	4
102	нигде не	2	4
103	во время	2	4
104	не менее	3	4
105	в основе	1	4
106	же время	1	4
107	таким путем	1	4
108	потому что	9	4
109	и для	1	4
110	к тому	10	4
111	того чтобы	6	4
112	данном случае	1	4
113	характер и	1	4
114	с самого	3	4
115	с ними	1	4
116	конечно не	1	4
117	не дает	2	4
118	в котором	7	4
119	как раз	8	4
120	и др	2	4
121	себя и	1	4
122	в данном	2	4
123	и о	4	4
124	в более	1	4
125	в этих	3	4
126	этот вопрос	2	4
127	между ними	1	4
128	в последнем	1	4
129	в таком	1	4
130	на себя	3	3
131	он был	2	3
132	в общем	3	3
133	как в	3	3
134	и той	1	3
135	и как	2	3
136	всего к	1	3
137	и тот	1	3
138	в себе	2	3
139	и те	2	3
140	и по	3	3
141	что все	1	3
142	конечно в	2	3
143	зрения на	1	3
144	было бы	5	3
145	такой же	1	3
146	нисколько не	1	3
147	случае не	2	3
148	тому что	7	3
149	нет никакого	2	3
150	самого начала	3	3
151	одна из	1	3
152	на него	1	3
153	чем не	1	3
154	ни о	1	3
155	не могут	1	3
156	бы он	1	3
157	она не	1	3
158	ничего общего	1	3
159	свою очередь	1	3
160	если бы	2	3
161	и что	6	3
162	бы то	2	3
163	на всех	1	3
164	во втором	1	3
165	у него	1	3
166	в них	2	3
167	со стороны	2	3
168	на этот	2	3
169	о себе	1	3
170	вместе с	7	3
171	по своему	2	3
172	и от	1	3
173	но это	3	3
174	не является	3	3
175	в голову	1	3
176	когда он	1	3
177	жизни и	1	3
178	ни на	1	3
179	ее в	2	3
180	по поводу	8	3
181	и то	1	2
182	это и	1	2
183	тем же	2	2
184	в первом	1	2
185	и до	1	2
186	высшей степени	1	2
187	для своего	2	2
188	большую роль	1	2
189	в составе	1	2
190	не совсем	1	2
191	как не	1	2
192	того же	2	2
193	в ее	2	2
194	но как	1	2
195	с которыми	1	2
196	ответ на	1	2
197	себе и	1	2
198	отличие от	2	2
199	из важнейших	1	2
200	значение для	1	2
201	чем же	1	2
202	что как	1	2
203	в своем	9	2
204	не приходится	4	2
205	что это	3	2
206	сил в	1	2
207	выражение в	2	2
208	что она	1	2
209	из этой	2	2
210	но все	7	2
211	в совершенно	1	2
212	же касается	1	2
213	на этой	1	2
214	при помощи	4	2
215	это было	2	2
216	на почве	2	2
217	только о	2	2
218	жизни то	1	2
219	и уже	1	2
220	выйти за	1	2
221	том что	27	2
222	в эту	3	2
223	что значит	1	2
224	на один	1	2
225	он сохраняет	1	2
226	но если	1	2
227	во второй	1	2
228	в их	3	2
229	в отличие	2	2
230	сих пор	5	2
231	силу и	1	2
232	освободиться от	1	2
233	как это	2	2
234	в отношении	2	2
235	в таких	1	2
236	что с	2	2
237	но для	1	2
238	дело не	2	2
239	тому кто	1	2
240	в процессе	2	2
241	для всего	1	2
242	только не	2	2
243	тем не	2	2
244	и теперь	2	2
245	из того	1	2
246	только с	2	2
247	этом отношении	9	2
248	в области	2	2
249	в момент	1	2
250	отличается от	1	2
251	и внешнюю	1	2
252	должны быть	1	2
253	что оно	1	2
254	они и	1	2
255	и снова	1	2
256	оно не	3	2
257	в виду	7	2
258	роль в	1	2
259	и вообще	2	2
260	выводу что	1	2
261	в другом	4	2
262	до сих	6	2
263	этих двух	1	2
264	нуждается в	1	2
265	что и	2	2
266	которые он	1	2
267	от этих	1	2
268	и об	1	2
269	в какой	2	2
270	отцу и	1	2
271	очень много	1	2
272	на всем	2	2
273	уже в	1	2
274	только на	1	2
275	ни было	2	2
276	борьбы с	3	2
277	из них	3	2
278	точка зрения	1	2
279	в конце	2	2
280	свое выражение	2	2
281	заметить что	1	2
282	на счет	1	2
283	и даже	3	2
284	в высшей	1	2
285	с другой	4	2
286	чем он	2	2
287	а с	3	2
288	до конца	3	2
289	ничем не	1	2
290	связано с	1	2
291	них и	1	2
292	а не	5	2
293	так же	3	2
294	самого себя	1	2
295	и всей	1	2
296	со всею	1	2
297	для понимания	1	2
298	в развитии	1	2
299	действительно ли	1	2
300	внешнего мира	1	2
301	похоже на	3	2
302	не существует	1	2
303	для нас	1	2
304	конце концов	1	2
305	все они	1	2
306	да и	1	2
307	к его	1	2
308	и другие	2	2
309	в своих	1	2
310	к этому	4	2
311	как на	9	2
312	они не	2	2
313	ту же	1	1
314	склонен к	1	1
315	и т	9	1
