N	3gram	Propp_Isto_2	TeoriaLi
1	по отношению к	3	8
2	в отличие от	1	7
3	в том что	5	6
4	с другой стороны	2	3
5	тем не менее	1	3
6	с одной стороны	3	2
7	и то же	1	2
8	так или иначе	1	2
9	не только не	1	2
10	не может быть	2	2
11	том что в	1	1
12	мы видим в	1	1
13	в лес но	1	1
14	подобно тому как	3	1
15	в этом случае	5	1
16	со всех сторон	4	1
17	в одной из	1	1
18	а в русской	1	1
19	в таких случаях	2	1
20	что он не	4	1
21	с которыми он	1	1
22	точно так же	6	1
23	и здесь мы	1	1
24	из этих двух	1	1
25	в себя и	1	1
26	но в отличие	1	1
27	при этом они	1	1
28	в связи с	4	1
29	а в другом	1	1
30	так же как	4	1
31	на вопрос о	1	1
32	в следующей главе	1	1
33	в одном случае	2	1
34	это и есть	1	1
35	о том что	2	1
36	и прежде всего	1	1
37	мы имеем в	5	1
38	в этих случаях	8	1
39	в силу своей	1	1
40	дело не в	2	1
41	том что он	1	1
42	к тому же	2	1
43	по себе а	1	1
