N	3gram	Losev_Vesc_1	EvropaiE
1	с точки зрения	3	16
2	в то же	1	15
3	с одной стороны	3	8
4	одной стороны и	1	6
5	в том что	4	6
6	с этой точки	1	5
7	так же как	1	5
8	этой точки зрения	1	5
9	для того чтобы	2	5
10	бы то ни	4	4
11	не только в	4	4
12	то ни было	4	4
13	само по себе	1	4
14	в той или	2	3
15	в этом отношении	1	3
16	можно было бы	1	3
17	ту или иную	2	3
18	в применении к	1	3
19	друг с другом	1	3
20	во всяком случае	2	3
21	как бы ни	2	3
22	можно сказать что	3	3
23	в последние годы	2	3
24	или хотя бы	1	2
25	того что в	1	2
26	между прочим и	1	2
27	из того что	2	2
28	и в частности	1	2
29	в данном случае	2	2
30	заключается в том	1	2
31	по сравнению с	6	2
32	в данной области	1	2
33	с другой стороны	2	2
34	не может быть	6	2
35	в свою очередь	4	2
36	прежде всего к	1	2
37	хотя бы в	2	2
38	есть не только	2	2
39	в экономическом отношении	1	2
40	на то что	2	2
41	и того же	1	1
42	всем другим в	1	1
43	не может не	1	1
44	а не к	1	1
45	не входя в	1	1
46	дело в том	2	1
47	но так как	1	1
48	хотя бы только	1	1
49	более или менее	1	1
50	т е прежде	1	1
51	есть нечто абсолютно	1	1
52	можно сказать даже	2	1
53	и не только	4	1
54	и не в	1	1
55	значит что на	1	1
56	что как бы	1	1
57	и то и	1	1
58	то и другое	4	1
59	того что мы	1	1
60	есть то что	4	1
61	быть речи о	1	1
62	и это потому	1	1
63	и для всех	1	1
64	е прежде всего	1	1
65	с тем что	1	1
66	может быть речи	1	1
67	это так но	1	1
68	кроме того что	1	1
69	не значит ли	5	1
70	не есть ли	2	1
71	с в то	1	1
72	не будет уже	1	1
73	оно всегда в	1	1
74	существует только в	1	1
75	значит ли это	4	1
76	себе не только	1	1
77	только в виде	1	1
78	то время как	1	1
79	не относится к	1	1
80	так как мы	1	1
81	но в смысле	1	1
82	в самом понятии	1	1
83	мы видели что	1	1
84	ничего иного кроме	1	1
85	это потому что	1	1
86	с но и	1	1
87	мы не можем	1	1
88	том смысле что	1	1
89	в то время	1	1
90	но с тем	1	1
91	но и для	1	1
92	это значит что	19	1
93	является в общем	1	1
94	на то или	1	1
95	одного и того	1	1
96	не только это	3	1
97	что эти две	1	1
98	что оно не	1	1
99	ли это что	3	1
100	к тому что	2	1
101	в том смысле	1	1
102	тех или иных	1	1
103	т е не	2	1
104	в себе в	2	1
105	но и то	1	1
106	на то чтобы	1	1
107	не может в	1	1
108	в себе не	1	1
109	независимо от того	1	1
110	только тогда когда	2	1
111	и т д	19	1
