N	3gram	Tiupa_Lite_1	Poddanst
1	в то же	5	7
2	то же время	5	7
3	в отношении к	1	5
4	не только в	4	4
5	в том что	11	4
6	с точки зрения	2	3
7	с одной стороны	2	3
8	и как раз	1	2
9	в том числе	1	2
10	и не только	1	2
11	в полной мере	1	2
12	чуть ли не	2	1
13	и в этом	1	1
14	тот или иной	1	1
15	в отличие от	5	1
16	тех пор пока	1	1
17	и то что	2	1
18	и в частности	1	1
19	в xix веке	1	1
20	с тем же	1	1
21	во всяком случае	2	1
22	с другой стороны	1	1
23	не может быть	1	1
24	до тех пор	1	1
25	и тем самым	2	1
26	и тем более	1	1
27	но в то	1	1
28	в русской культуре	1	1
29	тем более что	1	1
30	в душе своей	2	1
31	в большинстве случаев	1	1
32	во многих случаях	1	1
33	на наш взгляд	5	1
