1	в том числе и	2	3
2	в данном случае не	1	1
3	и с точки зрения	2	1
4	но на самом деле	1	1
5	связи с вопросом о	1	1
6	а в связи с	1	1
7	но ни в коем	1	1
8	в той или иной	1	1
9	если мы обратимся к	1	1
10	и в частности к	1	1
11	в том что в	1	1
12	связь между словом и	1	1
13	имеют ничего общего с	1	1
14	на самом же деле	1	1
15	и целый ряд других	1	1
16	в связи с вопросом	1	1
17	не имеют ничего общего	1	1
18	в связи с этим	3	1
19	по отношению к которому	1	1
20	ни в коем случае	1	1
21	только для того чтобы	1	1
22	мы видим таким образом	1	1
23	как это ни странно	1	1
24	дело в том что	2	1
25	совершенно так же как	2	1
