N	2gram	Propp_Isto_7	Problemy
1	и в	24	35
2	как бы	4	31
3	и не	4	27
4	что он	21	24
5	в его	1	21
6	но в	5	19
7	как и	6	18
8	к себе	3	18
9	не может	14	18
10	к другому	1	16
11	в нем	6	16
12	то же	8	15
13	и все	6	15
14	в этом	12	14
15	и его	3	14
16	может быть	14	14
17	но и	11	14
18	все это	8	14
19	он не	6	13
20	что я	1	13
21	к нему	7	13
22	с другим	1	13
23	и с	1	12
24	в другом	1	12
25	прежде всего	2	12
26	и к	1	12
27	в то	2	11
28	самом деле	1	10
29	не только	21	10
30	не в	9	10
31	героя и	5	10
32	то что	7	10
33	а я	1	10
34	мы уже	4	8
35	я не	1	8
36	все же	9	8
37	как мы	3	8
38	так и	5	8
39	о мире	1	8
40	потому что	9	8
41	еще не	8	7
42	с его	3	7
43	себе и	3	7
44	своему предмету	1	7
45	и наконец	3	7
46	там где	5	7
47	таким образом	7	7
48	для себя	1	7
49	и сам	1	7
50	в виде	1	7
51	вовсе не	4	7
52	так же	6	7
53	что же	1	7
54	точки зрения	4	7
55	с ним	5	7
56	а в	10	7
57	отношению к	1	7
58	и на	2	6
59	но не	6	6
60	по отношению	1	6
61	отношение к	5	6
62	что они	3	6
63	в самом	2	6
64	что у	4	6
65	в каждом	1	6
66	к тому	1	6
67	он с	1	6
68	и что	10	6
69	только в	6	6
70	но это	3	6
71	от него	3	6
72	не знает	1	6
73	что в	13	6
74	и то	1	5
75	как в	12	5
76	на протяжении	1	5
77	я все	1	5
78	знает и	1	5
79	от себя	1	5
80	в конце	3	5
81	во время	6	5
82	на него	2	5
83	его с	1	5
84	и это	2	5
85	в том	7	5
86	с ними	1	5
87	так что	3	5
88	к самому	1	5
89	и даже	3	5
90	к своему	1	5
91	героя в	1	5
92	он в	2	4
93	в чем	5	4
94	та же	2	4
95	что это	6	4
96	на его	2	4
97	и вот	1	4
98	но все	4	4
99	же не	1	4
100	его в	3	4
101	в них	3	4
102	рядом с	1	4
103	в эту	1	4
104	в своей	1	4
105	но он	2	4
106	друг другу	1	4
107	по себе	1	4
108	ивана в	1	4
109	никогда не	4	4
110	и без	1	4
111	во всем	2	4
112	как будто	1	4
113	и делает	1	4
114	его за	2	4
115	где он	1	4
116	все его	2	4
117	и так	2	4
118	и у	2	4
119	только на	2	4
120	так как	8	4
121	не о	1	4
122	у него	10	4
123	тем что	6	4
124	с другой	9	4
125	что не	2	4
126	а не	8	4
127	по своему	1	4
128	вот как	1	4
129	это он	1	4
130	человек и	1	4
131	но зато	1	4
132	я в	1	4
133	тот же	2	4
134	что ты	1	4
135	как его	1	3
136	за собой	1	3
137	бы то	1	3
138	во всех	7	3
139	совсем не	1	3
140	в одной	2	3
141	с этим	2	3
142	когда он	3	3
143	поэтому он	1	3
144	в целом	1	3
145	все эти	2	3
146	ее как	2	3
147	него и	3	3
148	то ни	1	3
149	к другу	1	3
150	знает что	1	3
151	было бы	2	3
152	этого не	2	3
153	с тем	1	3
154	такой же	1	3
155	в котором	2	3
156	собой и	1	3
157	которого он	1	3
158	а так	1	3
159	ничего не	5	3
160	им и	1	3
161	не могу	1	3
162	в ее	2	3
163	и говорит	4	3
164	под влиянием	1	3
165	сводится к	1	3
166	и во	1	3
167	что и	8	3
168	это не	10	3
169	в форме	2	3
170	в него	1	3
171	того что	6	3
172	но так	1	3
173	он уже	1	3
174	уже не	2	3
175	уже в	3	3
176	из них	2	3
177	свое лицо	1	3
178	даже и	1	3
179	а с	1	3
180	так вот	1	3
181	это знает	1	3
182	эти слова	1	3
183	должно быть	1	3
184	в начале	1	3
185	которой он	3	3
186	не мог	1	3
187	и от	2	3
188	это как	2	3
189	мы должны	4	3
190	только что	1	3
191	ни было	1	3
192	том что	10	3
193	сказать что	2	3
194	другой стороны	8	3
195	например в	3	2
196	показать что	1	2
197	не хочет	1	2
198	из его	1	2
199	а как	1	2
200	она в	3	2
201	героя но	2	2
202	еще до	1	2
203	время как	2	2
204	в ней	1	2
205	в которых	1	2
206	что его	2	2
207	но конечно	2	2
208	друг на	1	2
209	герой не	3	2
210	не просто	2	2
211	определяется не	1	2
212	начал с	1	2
213	по которому	2	2
214	в своем	1	2
215	им в	2	2
216	мы можем	4	2
217	хотя и	3	2
218	и как	1	2
219	знаю что	2	2
220	увидим что	2	2
221	в этот	1	2
222	в которой	2	2
223	мне не	1	2
224	бы с	1	2
225	еще один	2	2
226	как он	6	2
227	вообще не	2	2
228	при этом	4	2
229	но именно	1	2
230	всех этих	6	2
231	и тотчас	1	2
232	и по	3	2
233	героя на	1	2
234	он все	1	2
235	кажется что	3	2
236	ни в	2	2
237	но уже	1	2
238	если я	1	2
239	в этих	13	2
240	как все	1	2
241	с точки	1	2
242	он дает	3	2
243	своего рода	4	2
244	и другого	1	2
245	но эта	2	2
246	что сам	1	2
247	как можно	1	2
248	между двумя	1	2
249	тому что	2	2
250	вопрос о	3	2
251	не менее	5	2
252	но что	1	2
253	к ней	2	2
254	обращает на	1	2
255	ли это	1	2
256	очень часто	1	2
257	лежит в	2	2
258	а что	1	2
259	для его	1	2
260	и он	3	2
261	что вы	2	2
262	из их	1	2
263	вы не	1	2
264	без всякого	2	2
265	так в	4	2
266	в дальнейшем	3	2
267	с собой	7	2
268	можно было	1	2
269	на нее	1	2
270	те же	1	2
271	мог бы	1	2
272	для этого	1	2
273	о том	9	2
274	голос в	1	2
275	на вопрос	4	2
276	и та	1	2
277	не знаю	3	2
278	в самый	1	2
279	и пусть	1	2
280	на которой	1	2
281	одной из	4	2
282	мы увидим	6	2
283	со своим	4	2
284	конечно не	2	2
285	в большинстве	1	2
286	в жизни	1	2
287	большинстве случаев	1	2
288	за ним	1	2
289	мы знаем	2	2
290	него нет	1	2
291	остановимся только	1	2
292	друг друга	2	2
293	не случайно	3	2
294	связан с	1	2
295	здесь в	1	2
296	такое же	2	2
297	говорит о	2	2
298	на этот	2	2
299	на друга	1	2
300	одна и	1	2
301	мы видели	7	2
302	вступает в	3	2
303	в темноте	1	2
304	вместе с	7	2
305	не знал	2	2
306	когда она	2	2
307	с тобой	1	2
308	из этого	1	2
309	с этой	6	2
310	он обращается	1	2
311	но для	2	2
312	или в	8	2
313	в силах	1	2
314	обращается к	3	2
315	с уже	1	2
316	хотя бы	1	2
317	но эти	1	2
318	это в	1	2
319	сохраняется и	2	2
320	от этой	1	1
321	ту же	1	1
322	кто бы	2	1
323	одним из	1	1
324	начинается с	4	1
325	мы здесь	2	1
326	не имел	1	1
327	сквозь землю	1	1
328	он может	4	1
329	силы и	1	1
330	но тем	2	1
331	с глазу	1	1
332	говорит ты	1	1
333	нам кажется	1	1
334	здесь и	2	1
335	женщины и	2	1
336	что эти	2	1
337	и больше	1	1
338	этого он	1	1
339	в доме	1	1
340	отношения к	1	1
341	в их	4	1
342	по его	2	1
343	есть не	1	1
344	или наоборот	1	1
345	мы не	4	1
346	которую мы	1	1
347	что уже	1	1
348	она а	1	1
349	когда герой	4	1
350	данное с	1	1
351	как я	1	1
352	ему в	1	1
353	один пример	1	1
354	то это	5	1
355	зависимости от	1	1
356	того же	2	1
357	с большим	1	1
358	собой в	1	1
359	он был	1	1
360	я на	1	1
361	на своих	1	1
362	то он	1	1
363	к которой	2	1
364	ее до	1	1
365	не все	3	1
366	с отцом	1	1
367	в качестве	3	1
368	тут же	1	1
369	в главе	1	1
370	внешним признакам	1	1
371	руку и	3	1
372	него герой	1	1
373	сама по	1	1
374	заставить его	1	1
375	ты с	1	1
376	независимо от	1	1
377	тем более	2	1
378	этой власти	1	1
379	встречи с	1	1
380	совершенно другой	1	1
381	ищет этого	1	1
382	и пр	1	1
383	перед нами	2	1
384	кроме того	3	1
385	что по	2	1
386	он невидим	1	1
387	в маске	1	1
388	вопрос почему	1	1
389	ни один	1	1
390	того ни	1	1
391	он там	1	1
392	в ответ	3	1
393	или во	1	1
394	чем бы	1	1
395	тоже не	3	1
396	в этой	1	1
397	тобой я	1	1
398	нами в	2	1
399	герой есть	1	1
400	во многих	2	1
401	не могла	1	1
402	его но	1	1
403	именно этим	1	1
404	на третий	1	1
405	и если	3	1
406	характер в	1	1
407	говорите что	1	1
408	из него	1	1
409	так например	2	1
410	в нее	1	1
411	здесь мы	5	1
412	что этот	2	1
413	об этом	6	1
414	них не	1	1
415	а его	3	1
416	на все	1	1
417	себя не	1	1
418	с целью	2	1
419	один а	1	1
420	входит в	1	1
421	пока он	1	1
422	и соответствующие	1	1
423	приходит в	1	1
424	он приходит	1	1
425	надежда что	1	1
426	стоит на	1	1
427	здесь это	1	1
428	участие в	2	1
429	по всему	1	1
430	с водой	1	1
431	тех которые	1	1
432	друга что	1	1
433	она и	1	1
434	ни одной	1	1
435	гл iv	1	1
436	далеко не	1	1
437	враждебности к	6	1
438	для чего	1	1
439	фигурирует в	1	1
440	здесь можно	2	1
441	домой и	2	1
442	просить прощения	1	1
443	и было	1	1
444	действительно не	1	1
445	в один	2	1
446	герой по	1	1
447	и видит	1	1
448	мы как	1	1
449	с ума	1	1
450	ему во	1	1
451	бы на	1	1
452	том как	1	1
453	что такое	2	1
454	и ее	2	1
455	можно найти	2	1
456	я его	1	1
457	о герое	1	1
458	и третий	1	1
459	случае в	1	1
460	еще нет	1	1
461	его мнению	1	1
462	об этих	1	1
463	что имеет	1	1
464	еще из	1	1
465	мертвая не	1	1
466	отца это	1	1
467	в зеркало	1	1
468	которые в	1	1
469	отцом и	1	1
470	тем не	4	1
471	и более	1	1
472	есть еще	2	1
473	для нее	2	1
474	нас к	2	1
475	приводят к	1	1
476	но они	3	1
477	в таких	2	1
478	она не	2	1
479	от нас	1	1
480	почти никогда	1	1
481	ту сторону	1	1
482	дело в	1	1
483	одна из	7	1
484	что их	1	1
485	уже очень	1	1
486	мы вспоминаем	1	1
487	в основе	2	1
488	для всего	1	1
489	к тебе	1	1
490	в самой	1	1
491	сам герой	1	1
492	и весь	1	1
493	то новое	1	1
494	бы мне	1	1
495	того в	1	1
496	как она	1	1
497	не говорит	1	1
498	ему и	1	1
499	и после	2	1
500	четыре дня	1	1
501	вот что	1	1
502	связи с	3	1
503	всегда сразу	1	1
504	и при	1	1
505	доказать что	1	1
506	когда к	1	1
507	не до	1	1
508	перед ним	1	1
509	вот в	1	1
510	прямо говорит	1	1
511	не могут	2	1
512	случаях когда	4	1
513	это конечно	2	1
514	отличается от	2	1
515	же самое	1	1
516	всего в	1	1
517	тому и	1	1
518	и другим	1	1
519	за что	1	1
520	они и	1	1
521	а ее	1	1
522	для того	1	1
523	оно не	1	1
524	приведем еще	1	1
525	строя с	1	1
526	оно может	1	1
527	и которая	1	1
528	приходит к	3	1
529	можно и	1	1
