N	2gram	Medvedev_V_1	VrazhdaK
1	в этом	1	8
2	и в	2	8
3	то же	1	5
4	и не	1	5
5	все это	1	4
6	я не	1	3
7	далеко не	1	3
8	том что	2	3
9	и его	1	3
10	в том	2	3
11	в конце	2	3
12	к этому	1	3
13	и то	1	2
14	столь же	1	2
15	том же	1	2
16	так в	1	2
17	тем более	1	2
18	как же	1	2
19	но это	1	2
20	что слово	1	1
21	в их	1	1
22	один пример	1	1
23	и т.д	1	1
24	не хотел	1	1
25	ничуть не	1	1
26	же с	1	1
27	в самом	1	1
28	да и	1	1
29	одно и	1	1
30	полемизируя с	1	1
31	не будем	1	1
32	по крайней	1	1
33	потому что	1	1
34	ясно что	1	1
35	крайней мере	1	1
36	имеется в	1	1
37	именно в	1	1
38	в частности	1	1
39	под влиянием	1	1
40	конце концов	2	1
