N	2gram	Vygotskiy__3	Psycholo
1	то что	15	32
2	и в	25	31
3	в том	23	30
4	что в	17	23
5	может быть	13	22
6	таким образом	17	20
7	при помощи	1	20
8	совершенно ясно	2	19
9	при этом	5	19
10	ясно что	2	19
11	так как	12	18
12	не может	6	17
13	как и	15	16
14	том что	20	16
15	и не	10	16
16	точки зрения	6	15
17	только в	10	14
18	не только	6	13
19	что и	10	13
20	а не	1	13
21	мы не	9	12
22	если мы	3	12
23	так же	17	12
24	в этом	14	12
25	с таким	1	11
26	в самом	3	11
27	не в	6	11
28	в области	7	11
29	могут быть	5	11
30	социальной психологии	1	11
31	в сущности	1	10
32	на то	4	10
33	того что	10	10
34	потому что	6	10
35	по себе	7	9
36	ни в	9	9
37	как в	9	9
38	и что	10	8
39	всякий раз	2	8
40	никогда не	4	8
41	что мы	7	8
42	вместе с	14	8
43	все это	6	8
44	во всяком	4	8
45	том чтобы	1	7
46	заключается в	9	7
47	на основании	11	7
48	сказать что	4	7
49	того чтобы	8	7
50	и его	2	7
51	о том	5	7
52	есть в	1	7
53	тому как	2	7
54	что он	6	7
55	что это	5	6
56	зависимости от	6	6
57	очевидно что	1	6
58	отнюдь не	4	6
59	целый ряд	1	6
60	из этих	4	6
61	что она	5	6
62	для того	7	6
63	было бы	10	6
64	если бы	5	6
65	в его	15	6
66	вслед за	3	6
67	всяком случае	4	6
68	вовсе не	1	6
69	и даже	1	6
70	одной стороны	5	6
71	до конца	1	6
72	а в	4	6
73	в психологии	1	6
74	в зависимости	5	5
75	то же	2	5
76	время как	4	5
77	в ее	1	5
78	с одной	5	5
79	в целом	13	5
80	и совершенно	1	5
81	подобно тому	1	5
82	показывает что	8	5
83	несмотря на	1	5
84	иначе говоря	2	5
85	в то	4	5
86	тогда когда	4	5
87	в процессе	27	5
88	не является	8	5
89	то время	4	5
90	для нас	2	5
91	с другой	6	5
92	мы видим	3	5
93	в какой	4	5
94	так что	2	5
95	был бы	1	5
96	само по	2	5
97	как бы	10	5
98	этой точки	2	5
99	все же	6	5
100	и для	2	5
101	и все	4	5
102	другой стороны	3	5
103	же как	6	4
104	в котором	3	4
105	мы имеем	4	4
106	в которой	1	4
107	совпадает с	6	4
108	в виду	1	4
109	столь же	7	4
110	у него	1	4
111	со всеми	6	4
112	отличие от	6	4
113	с на	1	4
