N	3gram	Losev_Dial_1	OGranits
1	с точки зрения	12	5
2	не может быть	3	4
3	есть прежде всего	1	3
4	одно и то	4	3
5	что иное как	1	2
6	но так как	1	2
7	в самом деле	1	2
8	с одной стороны	2	2
9	и то же	4	2
10	с другой стороны	4	2
11	ничего общего с	3	2
12	есть не что	1	2
13	с самого начала	1	2
14	не что иное	1	2
15	в том что	7	2
16	связаны между собою	1	1
17	как то что	1	1
18	от этого и	1	1
19	только потому что	3	1
20	что в основе	1	1
21	в чем же	1	1
22	иметь в виду	3	1
23	в виду что	1	1
24	более или менее	3	1
25	на самом деле	2	1
26	то же самое	1	1
27	можно говорить о	1	1
28	не было бы	2	1
29	только то что	3	1
30	в этом отношении	2	1
31	можно было бы	4	1
32	может быть и	3	1
33	то или иное	2	1
34	по себе а	2	1
35	для того чтобы	1	1
36	далеко не всегда	1	1
37	если бы мы	1	1
38	все равно не	1	1
39	ничего общего не	1	1
40	тем не менее	1	1
41	в связи с	1	1
42	само по себе	5	1
43	это и не	1	1
44	лишь с точки	1	1
45	это конечно не	2	1
46	и вопроса о	1	1
47	не имеет и	1	1
48	то же время	4	1
49	она ни была	1	1
50	та или иная	3	1
51	хотя бы в	1	1
52	те или иные	1	1
53	есть хотя бы	1	1
54	но в то	1	1
55	вечная и неизменная	1	1
56	на то что	4	1
57	в какую-то пустоту	1	1
58	в то же	4	1
59	к тому что	2	1
60	тех или иных	1	1
