N	2gram	Tiupa_Teor_1	Morfolog
1	может быть	17	52
2	таким образом	3	20
3	представляет собой	9	17
4	не может	4	17
5	в этих	3	16
6	могут быть	4	15
7	этих случаях	1	14
8	и в	18	13
9	действующих лиц	1	13
10	в этом	8	13
11	так как	1	12
12	и др	1	12
13	перед нами	2	11
14	связи с	1	11
15	чаще всего	1	11
16	мы видим	1	11
17	то же	7	9
18	мы имеем	7	9
19	так и	10	9
20	прежде всего	2	9
21	а не	9	9
22	в связи	1	9
23	и не	13	9
24	а затем	1	8
25	что и	2	8
26	с другой	7	8
27	по существу	1	8
28	в результате	1	8
29	вопрос о	1	7
30	имеем в	3	7
31	в лес	1	7
32	в качестве	24	7
33	но не	9	6
34	это не	2	6
35	подобно тому	1	6
36	не могут	2	6
37	и здесь	2	6
38	а также	6	6
39	в форме	2	6
40	в том	16	6
41	а в	13	6
42	во всех	1	5
43	не все	3	5
44	тому как	1	5
45	то что	3	5
46	в ходе	4	5
47	далеко не	2	5
48	не менее	4	5
49	потому что	3	5
50	в поле	1	5
51	или в	3	5
52	вслед за	2	5
53	один из	2	5
54	если мы	2	5
55	как бы	5	5
56	это явление	1	5
57	и другие	2	5
58	также и	1	4
59	что его	1	4
60	если в	2	4
61	как в	5	4
62	хотя и	3	4
63	и как	2	4
64	не только	16	4
65	на его	1	4
66	на этом	1	4
67	об этом	2	4
68	его в	2	4
69	было бы	1	4
70	вовсе не	3	4
71	как и	4	4
72	точки зрения	9	4
73	с точки	3	4
74	тем не	3	4
75	на котором	1	4
76	тем что	1	4
77	очень часто	1	4
78	как мы	1	4
79	могла бы	2	4
80	по отношению	4	4
81	случае не	2	4
82	другой стороны	5	4
83	так же	2	4
84	в иных	1	4
85	отношению к	4	4
86	что в	9	4
87	начинается с	1	3
88	связана с	1	3
89	в первом	2	3
90	и для	2	3
91	не упоминается	1	3
92	между собой	3	3
93	вступают в	1	3
94	независимо от	1	3
95	целый ряд	1	3
96	но в	9	3
97	к чему	2	3
98	в целом	3	3
99	в нашем	4	3
100	в пределах	5	3
101	он должен	2	3
102	и по	2	3
103	входит в	1	3
104	из них	1	3
105	ни в	2	3
106	том что	9	3
107	в то	6	3
108	в сущности	1	3
109	того чтобы	1	3
110	живые существа	1	3
111	в бою	1	3
112	и другим	1	3
113	для героя	1	3
114	для связывания	1	3
115	с собой	1	3
116	если бы	3	3
117	но и	9	3
118	он не	3	3
119	во втором	3	3
120	к нему	1	3
121	в какой	2	3
122	и ее	3	3
123	не является	4	3
124	что они	1	3
125	быть названо	2	3
126	это уже	1	3
127	героя и	5	3
128	первом случае	1	3
129	можно назвать	1	3
130	обычно в	1	2
131	живое существо	1	2
132	как это	8	2
133	тем же	1	2
134	который может	1	2
135	чем это	2	2
136	совсем не	1	2
137	а с	3	2
138	герой не	3	2
139	себя за	1	2
140	первый взгляд	1	2
141	если она	1	2
142	как уже	1	2
143	и к	3	2
144	более или	2	2
145	то в	2	2
146	право на	1	2
147	из его	1	2
148	героя к	1	2
149	состоит в	17	2
150	можно было	1	2
151	многих других	1	2
152	бы они	1	2
153	в другом	3	2
154	большинстве случаев	1	2
155	это было	2	2
156	и иных	1	2
157	с тем	1	2
158	на первый	1	2
159	или менее	2	2
160	для него	2	2
161	таких случаях	2	2
162	дается в	1	2
163	должен прилететь	1	2
164	и более	1	2
165	однако в	7	2
166	а а	5	2
167	и наоборот	1	2
168	все эти	2	2
169	в таких	1	2
170	и его	8	2
171	в каком	1	2
172	для того	1	2
173	оно не	1	2
174	здесь не	1	2
175	в собственном	1	2
176	то время	1	2
177	и что	3	2
178	не с	3	2
179	с героем	1	2
180	является в	1	2
181	означает что	1	2
182	о том	1	2
183	с одной	2	2
184	можно сказать	3	2
185	ни к	3	2
186	путь к	1	2
187	не означает	1	2
188	и только	1	2
189	того что	4	2
190	иных случаях	1	2
191	быть и	2	2
192	что он	1	2
193	только в	6	2
194	себя в	6	2
195	уже не	4	2
196	в большинстве	2	2
197	д как	1	2
198	никто не	2	2
199	у нее	1	2
200	момент в	1	2
201	чему не	1	2
202	а впоследствии	1	2
203	себя и	1	2
204	а на	3	2
205	не знает	3	2
206	сказать что	3	2
207	быть определен	1	2
208	в частности	16	2
209	в лесу	1	2
210	одной стороны	2	2
211	тем и	1	2
212	не существует	1	2
213	одной из	2	2
214	также может	1	2
215	точно так	1	2
216	может или	1	1
217	например в	1	1
218	и то	2	1
219	он показывает	1	1
220	сын и	1	1
221	дело обстоит	1	1
222	говорилось выше	1	1
223	в самостоятельный	1	1
224	между двумя	3	1
225	свое место	1	1
226	противном случае	1	1
227	есть не	1	1
228	на первом	1	1
229	от своих	1	1
230	но она	2	1
231	что это	1	1
232	что иное	1	1
233	не вполне	2	1
234	в виду	5	1
235	героев в	1	1
236	собой в	1	1
237	служит для	1	1
238	тем как	1	1
239	одним словом	1	1
240	это бывает	1	1
241	коем случае	2	1
242	но как	1	1
243	не входит	1	1
244	как такой	1	1
245	тогда как	15	1
246	отношение к	5	1
247	отличие от	6	1
248	или иное	1	1
249	более чем	1	1
250	в рамках	7	1
251	данный момент	2	1
252	если на	1	1
253	для всех	1	1
254	в противном	1	1
255	говорит что	2	1
256	по пути	3	1
257	но эта	1	1
258	имеет в	2	1
259	со своей	3	1
260	в которой	2	1
261	к другому	1	1
262	из этих	3	1
263	одном случае	1	1
264	не в	7	1
265	в этой	3	1
266	рассказ о	2	1
267	отношение между	1	1
268	но во	1	1
269	во многих	1	1
270	на то	1	1
271	но прежде	1	1
272	что она	2	1
273	время и	1	1
274	достижения в	1	1
275	свою собственную	1	1
276	и вот	3	1
277	на свое	1	1
278	необходимо для	1	1
279	ни были	1	1
280	его можно	1	1
281	собственно говоря	1	1
282	одно и	1	1
283	русском языке	1	1
284	в каждом	1	1
285	здесь мы	1	1
286	однако все	2	1
287	то ни	1	1
288	описание ведется	1	1
289	с другими	5	1
290	ко второму	1	1
291	и дает	1	1
292	в художественно	1	1
293	и тем	3	1
294	даже в	3	1
295	в итоге	2	1
296	в это	1	1
297	нет в	1	1
298	как видно	1	1
299	этим и	1	1
300	и некоторые	2	1
301	ситуация не	1	1
302	и становится	1	1
303	непосредственно с	1	1
304	л из	1	1
305	является непосредственным	1	1
306	соединению с	1	1
307	имен и	1	1
308	и их	1	1
309	или точнее	1	1
310	это делает	1	1
311	в их	2	1
312	не столько	1	1
313	значение для	1	1
314	для данного	1	1
315	которые в	1	1
316	при этом	12	1
317	но он	3	1
318	теми же	1	1
319	все это	2	1
320	не должно	1	1
321	бы быть	1	1
322	тому что	2	1
323	она не	1	1
324	то с	1	1
325	точно и	1	1
326	быть или	1	1
327	стоит в	1	1
328	для меня	2	1
329	она могла	1	1
330	и притом	2	1
331	и сама	1	1
332	в основе	3	1
333	дело не	2	1
334	иметь в	1	1
335	вытекает из	1	1
336	а сама	1	1
337	же время	5	1
338	этих двух	2	1
339	существу является	1	1
340	окна и	1	1
341	и делает	1	1
342	все с	1	1
343	него но	1	1
344	одним из	2	1
345	у нас	2	1
346	в коем	2	1
347	в момент	2	1
348	если он	1	1
349	с логической	1	1
350	к тому	2	1
351	той или	1	1
352	всегда так	1	1
353	на это	1	1
354	с ее	3	1
355	данном случае	5	1
356	они ни	1	1
357	действия и	1	1
358	всей своей	1	1
359	вопрос что	1	1
360	приводит к	5	1
361	разграничены по	1	1
362	роль в	2	1
363	в глаза	2	1
364	те же	1	1
365	а этот	1	1
366	здесь как	1	1
367	в плоскости	1	1
368	мог бы	3	1
369	во второй	7	1
370	как персонаж	1	1
371	что от	1	1
372	в последней	1	1
373	ними и	1	1
374	иное как	1	1
375	на вопрос	1	1
376	всякая фраза	1	1
377	бы то	1	1
378	собой всю	1	1
379	того или	3	1
380	их в	3	1
381	если с	1	1
382	том или	1	1
383	в его	6	1
384	во всей	1	1
385	в другой	1	1
