N	3gram	Vygotskiy__7	Psycholo
1	для того чтобы	18	19
2	на то что	4	16
3	в том что	13	14
4	с одной стороны	5	12
5	в сущности говоря	2	8
6	что в этом	2	6
7	в зависимости от	1	6
8	о том что	4	6
9	заключается в том	4	6
10	к тому что	6	6
11	в самом деле	4	5
12	до сих пор	3	5
13	с другой стороны	1	5
14	так же точно	3	5
15	по сравнению с	7	4
16	мы могли бы	4	4
17	заключает в себе	1	4
18	тот факт что	1	4
19	друг к другу	1	4
20	не только не	9	4
21	по этому поводу	3	4
22	одним и тем	2	3
23	никак не может	1	3
24	то же самое	5	3
25	в лучшем случае	2	3
26	сам по себе	1	3
27	вместе с тем	4	3
28	из того что	2	3
29	и то что	3	3
30	одно и то	3	3
31	и что в	1	3
32	и то же	3	3
33	в учении о	6	3
34	и тем же	2	3
35	с самого начала	7	3
36	можно было бы	1	3
37	друг с другом	2	3
38	в этом отношении	3	3
39	что иное как	1	2
40	мы видим в	1	2
41	тех пор пока	1	2
42	имеет дело с	1	2
43	состоит в том	3	2
44	потому что в	1	2
45	то о чем	4	2
46	и той же	2	2
47	самом деле если	1	2
48	в этом случае	14	2
49	с точки зрения	21	2
50	что с самого	1	2
51	в отличие от	2	2
52	таким образом все	1	2
53	бы сказать что	2	2
54	потому что он	2	2
55	бы показать что	1	2
56	одной и той	2	2
57	нечто такое что	2	2
58	так же как	7	2
59	в данном случае	5	2
60	если бы мы	1	2
61	таким образом мы	1	2
62	не только в	1	2
63	во всех трех	1	2
64	в конце концов	1	2
65	там где мы	1	2
66	он говорит что	1	2
67	мы говорили выше	2	2
68	том и заключается	1	2
69	в том и	3	2
70	о которых мы	2	2
71	с таким образом	1	2
72	потому что все	1	2
73	то что мы	1	2
74	само по себе	1	2
75	не может быть	4	2
76	нам думается что	1	2
77	не что иное	1	2
78	той или иной	1	2
79	можно сказать что	3	2
80	до тех пор	1	2
81	друг от друга	2	2
82	показывает что в	1	2
83	и таким образом	1	2
84	на самом деле	2	2
85	могли бы сказать	2	2
86	том что она	2	1
87	необходимо прежде всего	1	1
88	этого процесса мы	1	1
89	том что в	2	1
90	и есть то	1	1
91	которых мы говорили	2	1
92	только потому что	3	1
93	на которого мы	1	1
94	как только мы	1	1
95	но только не	1	1
96	прежде всего на	1	1
97	мы приводили выше	1	1
98	внимание то что	1	1
99	она все время	1	1
100	за основу исследования	1	1
101	совершенно невозможно потому	1	1
102	по отношению к	5	1
103	того чтобы показать	1	1
104	в каждый данный	1	1
105	как это мы	1	1
106	в этом смысле	1	1
107	том что он	2	1
108	с которым мы	1	1
109	мы можем теперь	1	1
110	одной стороны и	3	1
111	в силу того	1	1
112	же как и	2	1
113	и в этом	1	1
114	каждый данный момент	1	1
115	в одной из	1	1
116	есть то о	2	1
117	что с точки	1	1
118	из двух противоположных	1	1
119	мы не имеем	1	1
120	того что мы	1	1
121	что он не	1	1
122	по отношению ко	1	1
123	конце концов к	1	1
124	мы находим в	2	1
125	и в речи	2	1
126	то что она	1	1
127	несмотря на то	1	1
128	с этой точки	4	1
129	возникает из того	1	1
130	показать что это	1	1
131	то время как	2	1
132	мы не можем	3	1
133	не годится для	1	1
134	совершенно понятно что	1	1
135	мы таким образом	1	1
136	все эти три	2	1
137	невозможно потому что	1	1
138	в нескольких словах	1	1
139	у нее нет	2	1
140	смысле этого слова	3	1
141	примем во внимание	1	1
142	мы примем во	1	1
143	во внимание то	1	1
144	если мы примем	1	1
145	и никак не	1	1
146	не могут быть	1	1
147	это имеет место	1	1
148	благодаря тому что	2	1
149	едва ли не	2	1
150	в последнее время	2	1
151	приводит к тому	2	1
152	во внешнем проявлении	1	1
153	но вместе с	1	1
154	она все же	1	1
155	при этом оказывается	1	1
156	именно в этом	2	1
157	того чтобы сделать	2	1
158	что у него	1	1
159	только мы пытаемся	1	1
160	не только о	1	1
161	потому что они	1	1
162	ясным если мы	1	1
163	шаг за шагом	1	1
164	в противоположном направлении	1	1
165	этой точки зрения	4	1
166	как и то	1	1
167	то новое что	1	1
168	в целом виде	1	1
169	говорить не только	1	1
170	и следовательно должна	1	1
171	из которых каждый	1	1
172	из которых складывается	1	1
173	в то время	2	1
174	сих пор в	1	1
175	и заключается что	1	1
176	в свою очередь	2	1
177	в собственном смысле	3	1
178	после того как	1	1
179	она нуждается в	1	1
180	и другое не	1	1
181	одним из важнейших	1	1
182	в конечном счете	2	1
183	самого начала в	1	1
184	и мы вправе	1	1
185	что она любит	1	1
186	и производит впечатление	1	1
187	говорит что есть	1	1
188	на всем протяжении	4	1
189	которые мы приводили	1	1
190	именно в силу	2	1
191	тем что он	1	1
192	мы имеем дело	1	1
193	вместо того чтобы	1	1
194	во всем его	1	1
195	силу того что	1	1
196	не выражается в	1	1
197	доказательство того что	1	1
198	в этом заключается	1	1
199	и фантазии и	1	1
200	образом оказывается что	1	1
201	представляет один из	1	1
202	привело к тому	1	1
203	и ко всем	2	1
204	таким образом с	1	1
205	в одинаковой степени	2	1
