N	4gram	Bakhtin_KF_1	Dialekti
1	в то же время	2	4
2	значит ли это что	1	2
3	и в то же	1	2
4	и в этом смысле	1	2
5	а с точки зрения	1	2
6	несмотря на то что	1	2
7	одна и та же	1	2
8	мир в котором мы	1	1
9	точки зрения той или	1	1
10	это значило бы что	1	1
11	с точки зрения той	1	1
12	и не в том	1	1
13	в то или иное	1	1
14	в котором мы живем	1	1
15	ни в чем не	4	1
16	и тем не менее	1	1
17	но в то же	1	1
18	совершенно не зависит от	1	1
19	дело в том что	1	1
20	котором мы живем и	1	1
21	зрения той или иной	1	1
