N	3gram	Berdyaev_M_1	Sovremen
1	в зависимости от	1	4
2	не может быть	17	4
3	не может не	2	3
4	во всяком случае	1	2
5	в отличие от	1	2
6	может быть и	1	2
7	быть и речи	1	1
8	что иное как	1	1
9	и не было	1	1
10	и есть то	1	1
11	не могут быть	2	1
12	не в том	1	1
13	он уже не	2	1
14	все более и	1	1
15	по отношению к	2	1
16	одна и та	1	1
17	когда мы говорим	1	1
18	а не только	2	1
19	то нет и	3	1
20	не было бы	5	1
21	до сих пор	2	1
22	они не могут	1	1
23	и та же	1	1
24	это значит что	3	1
25	заключает в себе	3	1
26	более и более	1	1
27	можно было бы	1	1
28	и не может	2	1
29	в самом деле	1	1
30	в первый период	1	1
31	и ничего не	1	1
32	был прежде всего	2	1
33	в том случае	1	1
34	если нет свободы	1	1
35	не что иное	1	1
36	в себе в	1	1
37	в том что	1	1
38	она не может	1	1
39	что она может	1	1
40	же этот процесс	1	1
41	с человеком человек	1	1
