N	2gram	Propp_Isto_2	BTomashe
1	у нас	1	3
2	и не	11	2
3	все это	3	2
4	в ней	4	2
5	можно было	5	2
6	не то	1	2
7	остановиться на	1	1
8	также что	2	1
9	говорить о	1	1
10	будто бы	2	1
11	об этом	11	1
12	и в	15	1
13	не вполне	1	1
14	и о	1	1
15	со всем	1	1
16	к ней	2	1
17	следовало бы	1	1
18	с другой	2	1
19	в своей	1	1
20	на самом	2	1
21	на которой	2	1
22	как будто	3	1
23	было бы	5	1
24	все же	9	1
25	он свою	1	1
26	кроме того	2	1
27	еще не	9	1
28	и на	4	1
29	в пределах	1	1
30	одной из	4	1
31	прежде всего	5	1
32	и во	1	1
33	он заслуживает	1	1
34	так и	5	1
35	не было	2	1
36	в книге	1	1
37	его не	2	1
38	далеко не	1	1
39	можно в	1	1
40	до конца	1	1
41	а не	5	1
42	но автор	1	1
43	что в	12	1
44	другой стороны	2	1
45	также не	2	1
46	и ее	2	1
47	не все	2	1
48	отнюдь не	1	1
49	таким образом	7	1
50	материала по	1	1
51	вопрос о	4	1
52	и более	2	1
53	и потому	1	1
54	не только	18	1
