N	3gram	Medvedev_V_1	Komedia
1	до сих пор	1	9
2	в том что	5	9
3	для того чтобы	3	6
4	в самом деле	1	6
5	в свою очередь	1	6
6	о том что	3	4
7	в то же	5	4
8	то же время	5	4
9	к тому же	1	4
10	с одной стороны	2	3
11	о том как	3	3
12	если бы он	1	3
13	и т п	9	3
14	то же самое	1	3
15	по отношению к	7	3
16	и речи о	1	3
17	в связи с	3	3
18	вместе с тем	3	3
19	во всяком случае	1	3
20	так или иначе	1	2
21	он и не	1	2
22	по сравнению с	1	2
23	т е в	2	2
24	с другой стороны	8	2
25	что он не	1	2
26	в то время	1	2
27	дошедших до нас	1	2
28	в этом отношении	13	2
29	в конечном счете	5	2
30	в какой мере	1	2
31	то время как	1	2
32	в конце концов	2	2
33	хотя и не	1	2
34	подобно тому как	2	1
35	следует понимать как	2	1
36	не говоря уже	1	1
37	три с половиной	1	1
38	об этом свидетельствует	1	1
39	его т е	1	1
40	бы он был	1	1
41	из них не	2	1
42	в том числе	2	1
43	за это время	1	1
44	к этому же	1	1
45	нет ни одного	1	1
46	и в то	3	1
47	как это было	1	1
48	это явствует из	1	1
49	можно сказать что	4	1
50	в том же	1	1
51	равно как и	4	1
52	по этому поводу	7	1
53	имеем в виду	1	1
54	к тому что	3	1
55	имеет ничего общего	1	1
56	речи о каком-либо	1	1
57	оказывается перед необходимостью	1	1
58	что его можно	1	1
59	как раз с	1	1
60	в силу этого	4	1
61	и не может	2	1
62	в этом однако	1	1
63	этой точки зрения	2	1
64	и т д	14	1
65	ничего общего с	1	1
66	и без того	1	1
67	лицом к лицу	1	1
68	на предыдущих страницах	1	1
69	приходится признать что	1	1
70	более или менее	6	1
71	и никогда не	1	1
72	т е из	1	1
73	говоря уже о	1	1
74	чуть ли не	2	1
75	вопрос о том	1	1
76	одной стороны и	2	1
77	с этой точки	1	1
78	как мы знаем	1	1
79	сих пор не	1	1
80	как это явствует	1	1
81	таким образом для	1	1
82	в виду что	1	1
83	в зависимости от	5	1
84	не имеет ничего	1	1
85	том числе и	2	1
86	в том чтобы	2	1
87	т е чисто	1	1
88	после того как	1	1
89	его роль в	1	1
90	во сне не	2	1
91	в соответствии с	1	1
92	один из них	1	1
93	таким образом и	1	1
94	по крайней мере	2	1
