N	2gram	Medvedev_B_1	Psycholo
1	и в	1	32
2	таким образом	1	21
3	что в	1	20
4	не только	1	12
5	было бы	1	11
6	и не	2	10
7	что все	1	9
8	как будто	1	7
9	можно было	2	7
10	а не	1	7
11	художественном произведении	1	5
12	художественного произведения	1	5
13	на самом	1	5
14	и на	1	5
15	далеко не	1	5
16	все это	2	5
17	в ней	2	5
18	отнюдь не	1	5
19	все же	1	4
20	в данном	1	4
21	и более	1	4
22	никак не	1	4
23	совершенно не	1	4
24	творчества и	1	3
25	то как	1	3
26	об этом	1	3
27	в своей	1	3
28	так и	1	3
29	с другой	1	3
30	и ее	1	3
31	до конца	1	3
32	еще не	1	2
33	формализма и	1	2
34	как всякий	1	2
35	всяком случае	1	2
36	точно и	1	2
37	не вполне	1	2
38	во всяком	1	2
39	не было	1	2
40	тем более	1	2
41	другой стороны	1	2
42	по этим	1	1
43	что формалисты	1	1
44	из ее	1	1
45	за пределы	1	1
46	кроме того	1	1
47	остановиться на	1	1
48	не следует	1	1
49	же не	1	1
50	его не	1	1
51	выходит за	1	1
52	художественной функции	2	1
53	заставляет думать	1	1
54	является только	1	1
55	по крайней	1	1
56	о них	1	1
57	к ней	1	1
58	в области	1	1
59	точке зрения	1	1
60	и о	1	1
61	и во	1	1
62	крайней мере	1	1
63	на которой	1	1
64	не то	2	1
65	стоит на	1	1
66	такое определение	1	1
67	прежде всего	1	1
68	не о	1	1
69	произведении что	1	1
70	чем на	1	1
71	теоретической и	1	1
72	почти совершенно	1	1
73	и нет	1	1
74	будто бы	1	1
75	а о	1	1
76	между ними	1	1
77	из своей	1	1
78	основное значение	1	1
