N	3gram	Nazirov_Tr_1	PoTuStor
1	с самого начала	1	4
2	по сравнению с	1	3
3	во всяком случае	1	3
4	не может быть	1	3
5	в самом деле	1	2
6	не могут быть	1	2
7	о том что	2	2
8	и в этом	1	2
9	ни разу не	1	1
10	если б я	1	1
11	это желание в	1	1
12	в этой борьбе	1	1
13	на противоположном конце	1	1
14	но несмотря на	1	1
15	в данном случае	2	1
16	в высшей степени	1	1
17	в связи с	1	1
18	в году в	2	1
19	в применении к	1	1
20	в том что	2	1
21	на вопрос о	1	1
22	только на путях	1	1
23	так и в	3	1
24	это и есть	1	1
25	еще в году	1	1
26	в известной степени	1	1
