N	2gram	Bakhtin_Pr_1	IolandNe
1	и с	4	3
2	должен быть	1	2
3	и не	31	2
4	достоевского а	1	2
5	в этом	22	2
6	записок из	2	2
7	он не	5	2
8	творчества достоевского	8	2
9	что в	8	2
10	ничего не	5	2
11	о достоевском	7	2
12	же это	1	1
13	себя в	1	1
14	все это	6	1
15	автора и	5	1
16	автор не	1	1
17	нисколько не	2	1
18	и др	5	1
19	и в	29	1
20	только что	1	1
21	и о	5	1
22	я не	3	1
23	то и	2	1
24	них не	1	1
25	то она	1	1
26	бы в	3	1
27	и со	2	1
28	было не	1	1
29	с другой	3	1
30	и та	1	1
31	это было	1	1
32	очень своеобразный	1	1
33	а в	7	1
34	художественного творчества	3	1
35	так то	1	1
36	того что	1	1
37	в художественном	3	1
38	не дает	3	1
39	следовательно в	1	1
40	на котором	3	1
41	а с	1	1
42	другой стороны	3	1
43	утверждает что	1	1
44	о творчестве	1	1
45	остается как	1	1
46	с героем	2	1
47	и еще	1	1
48	не так	1	1
49	для него	18	1
50	в основе	4	1
51	что для	1	1
52	самого достоевского	6	1
53	был человек	1	1
54	могло бы	1	1
55	и сам	2	1
56	отношению к	8	1
57	так и	7	1
58	бы его	1	1
59	от этого	1	1
60	произведения и	2	1
61	литература о	1	1
62	того чтобы	1	1
63	достоевского с	3	1
64	во многом	1	1
65	никогда не	3	1
66	его личности	1	1
67	из подполья	10	1
68	жизни и	2	1
69	для других	2	1
70	тем что	4	1
71	в целом	6	1
72	по отношению	8	1
73	в них	3	1
74	все эти	9	1
75	по существу	3	1
76	очерк и	1	1
77	от нее	1	1
78	не кто	1	1
79	если бы	9	1
80	для того	1	1
