N	3gram	Berdyaev_M_1	VelikijI
1	о великом инквизиторе	4	4
2	великого инквизитора в	1	3
3	великого инквизитора это	1	3
4	во имя свободы	1	3
5	но и в	4	2
6	во имя счастья	1	2
7	не было еще	1	2
8	мира сего и	1	2
9	в смысл мира	1	2
10	в нем нет	1	2
11	в котором окончательно	1	2
12	добра и зла	4	2
13	уж конечно не	2	2
14	миллионов счастливых младенцев	1	2
15	в вопросе о	1	2
16	в том что	1	2
17	в платоновском смысле	1	1
18	но путь этот	1	1
19	бы это ни	1	1
20	христа в пустыне	1	1
21	для него не	1	1
22	своего бога и	1	1
23	не было для	1	1
24	очень важное место	1	1
25	никогда не было	1	1
26	великий инквизитор христу	1	1
27	в истории мира	1	1
28	во имя его	1	1
29	прельщенный и плененный	1	1
30	веры тебе была	1	1
31	снять с человека	1	1
32	знает может быть	1	1
33	есть прежде всего	1	1
34	христа во имя	1	1
35	и есть то	1	1
36	в легенде о	2	1
37	хотя бы и	2	1
38	вера в человека	1	1
39	свободно пошел он	1	1
40	говорит великий инквизитор	1	1
41	пошел он за	1	1
42	быть от веры	1	1
43	к человеку не	1	1
44	это ни стоило	1	1
45	но в нем	1	1
46	вместе с тем	5	1
47	была дороже всего	1	1
48	есть то что	1	1
49	он будто бы	1	1
50	что бог есть	1	1
51	это не было	3	1
52	имя счастья людей	1	1
53	любви к людям	1	1
54	что он был	1	1
55	кто знает может	1	1
56	возжелал свободной любви	2	1
57	в конце концов	2	1
58	из всего что	1	1
59	образ и подобие	2	1
60	и не было	1	1
61	его личности и	1	1
62	мы давно уже	1	1
63	свобода их веры	1	1
64	не могут быть	2	1
65	и менее всего	1	1
66	у ницше нет	1	1
67	христос не только	1	1
68	в этих словах	1	1
69	истины и свободы	1	1
70	в мире и	1	1
71	как бы в	1	1
72	на этом пути	2	1
73	любовь к человеку	1	1
74	свободной любви человека	2	1
75	чудо должно быть	1	1
76	их веры тебе	1	1
77	веры а не	1	1
78	в человека в	1	1
79	и уж конечно	2	1
80	тысячи миллионов счастливых	1	1
81	ни стоило и	1	1
82	по сравнению с	1	1
83	в человеке и	2	1
84	и вместе с	4	1
85	любви человека чтобы	1	1
86	чего бы это	1	1
87	ивана карамазова и	2	1
88	и никогда не	1	1
89	человека чтобы свободно	1	1
90	если нет бога	1	1
91	тебе была дороже	1	1
92	в своей истории	1	1
93	самого себя и	1	1
94	чтобы свободно пошел	1	1
95	должно быть от	1	1
96	легенде о великом	2	1
