N	3gram	Potebnia_M_1	VrazhdaK
1	и все же	1	5
2	то же время	3	4
3	в то же	3	4
4	в связи с	1	3
5	с точки зрения	3	2
6	и что в	3	2
7	не может быть	9	2
8	в том что	13	2
9	а между тем	3	1
10	а следовательно и	1	1
11	в нем самом	5	1
12	в этом смысле	4	1
13	в ответ на	1	1
14	до сих пор	1	1
15	не было бы	1	1
16	в этом отношении	1	1
17	что в нем	1	1
18	их и не	1	1
19	но это не	1	1
20	точно так же	1	1
21	только при помощи	1	1
22	с тех пор	1	1
23	по крайней мере	2	1
24	так же как	1	1
25	не имело бы	1	1
26	по объему и	1	1
27	но при этом	1	1
28	и в этом	6	1
29	или по крайней	1	1
30	и во всей	1	1
31	с тою же	1	1
32	все что ни	1	1
33	служит для него	2	1
34	во всяком случае	1	1
35	от того как	1	1
36	с другой стороны	5	1
37	тем не менее	6	1
38	нет ничего общего	1	1
39	для нас весьма	1	1
40	заключается в том	1	1
41	в то время	1	1
42	в свою очередь	4	1
43	о том что	1	1
44	не только не	2	1
45	имело бы смысла	1	1
46	на то что	1	1
47	не вдаваясь в	1	1
