N	3gram	Berdyaev_N_1	Problemy
1	в большинстве случаев	1	8
2	до сих пор	1	7
3	не может быть	4	4
4	и не может	1	4
5	в отличие от	1	4
6	как и в	1	3
7	можно было бы	1	3
8	с другой стороны	2	3
9	в этом смысле	2	2
10	я не могу	1	2
11	и в большинстве	1	2
12	то время как	1	2
13	в то время	1	2
14	о том что	1	1
15	с одной стороны	2	1
16	образ человека и	1	1
17	мысли но в	1	1
18	конечно не в	1	1
19	и во всех	1	1
20	и не в	1	1
21	что в нем	2	1
22	как ни в	1	1
23	прежде всего как	1	1
24	и в формах	1	1
25	не удалось но	1	1
26	не менее чем	1	1
27	этого нельзя сказать	1	1
28	в том что	1	1
29	бы он и	1	1
30	же как и	1	1
31	и до сих	1	1
32	но она не	1	1
33	в значительной степени	1	1
34	по существу своему	1	1
35	в этом он	1	1
36	сами по себе	1	1
37	и в жизни	1	1
38	в том числе	1	1
39	не знает что	1	1
40	но и в	1	1
41	том числе и	1	1
42	то что он	1	1
43	в том и	2	1
44	в нем не	1	1
45	не может уже	2	1
46	во всяком случае	1	1
47	есть прежде всего	1	1
48	но для чего	1	1
