N	2gram	Vygotskiy__4	Vladivir
1	и в	20	31
2	не только	15	24
3	но и	9	19
4	то что	15	18
5	и не	8	17
6	и даже	1	15
7	у него	2	15
8	и с	4	14
9	что в	19	14
10	в этом	24	14
11	том что	35	14
12	в его	11	12
13	по поводу	1	12
14	но в	3	12
15	что он	6	12
16	потому что	12	11
17	в том	42	11
18	о том	5	11
19	так что	3	10
20	и то	10	10
21	он не	1	10
22	также и	2	10
23	в конце	1	9
24	в течение	1	9
25	а в	2	9
26	никогда не	5	9
27	как мы	13	9
28	только в	10	9
29	даже и	1	9
30	в дальнейшем	1	8
31	в то	1	8
32	так как	10	8
33	и по	1	8
34	еще и	1	7
35	как раз	1	7
36	как это	9	7
37	для него	2	7
38	и его	5	7
39	сказать что	6	7
40	мы сейчас	1	7
41	мы уже	5	7
42	уже в	6	7
43	о нем	1	7
44	можно сказать	1	6
45	того же	9	6
46	не может	6	6
47	на этот	3	6
48	так и	5	6
49	то он	1	6
50	свое время	2	6
51	то же	16	6
52	и к	5	6
53	в качестве	21	6
54	у нас	1	6
55	и потому	1	6
56	и что	8	6
57	и сам	1	6
58	может быть	12	6
59	к этому	4	6
60	в свое	2	5
61	но он	1	5
62	на то	5	5
63	в период	1	5
64	с ним	1	5
65	не в	4	5
66	которой он	1	5
67	но как	2	5
68	и от	3	5
69	а с	2	5
70	когда он	3	5
71	что и	9	5
72	в своих	1	5
73	а также	2	5
74	все это	1	5
75	главным образом	1	4
76	этот раз	1	4
77	в себе	10	4
78	для нас	4	4
79	мы и	2	4
80	в этот	1	4
81	в этой	3	4
82	к нему	2	4
83	в нем	2	4
84	в своей	7	4
85	совсем не	1	4
86	по своей	6	4
87	этом смысле	8	4
88	хотя и	1	4
89	во всем	3	4
90	мысли и	2	4
91	как он	4	4
92	один из	3	4
93	в истории	10	4
94	такого рода	6	4
95	в которой	3	4
96	в нашем	4	4
97	я не	1	4
98	говорит что	3	4
99	и у	2	4
100	себя в	3	4
101	никак не	2	4
102	как и	9	4
103	и как	9	4
104	в своем	4	4
105	все эти	5	3
106	то мы	1	3
107	на его	3	3
108	все же	5	3
109	в связи	3	3
110	конце концов	1	3
111	что они	14	3
112	здесь не	2	3
113	таким образом	25	3
114	в виде	3	3
115	и так	1	3
116	и здесь	2	3
117	и он	2	3
118	мы хотели	1	3
119	но не	3	3
120	вместе с	8	3
121	здесь мы	2	3
122	что касается	1	3
123	в начале	2	3
124	и притом	1	3
125	к тому	6	3
126	что этот	2	3
127	на него	1	3
128	и всегда	1	3
129	как в	5	3
130	взгляд на	1	3
131	но этот	1	3
132	свидетельствуют о	1	3
133	в целом	11	3
134	мы увидим	1	3
135	что к	1	3
136	тот же	9	3
137	в отношении	10	3
138	но на	1	3
139	ничего не	1	3
140	под влиянием	2	3
141	уже не	1	3
142	по своему	4	3
143	другой стороны	9	3
144	на одной	2	3
145	только к	3	3
146	и на	6	3
147	едва ли	2	3
148	с другой	12	3
149	если не	2	3
150	но что	3	3
151	по своим	1	3
152	и действительно	1	3
153	раз и	1	3
154	и речи	2	3
155	только на	2	3
156	отнюдь не	3	3
157	но это	1	3
158	и затем	1	2
159	одним из	2	2
160	почти не	1	2
161	знания в	1	2
162	с первого	3	2
163	нисколько не	2	2
164	сейчас увидим	1	2
165	еще не	2	2
166	во всяком	4	2
167	это мы	2	2
168	из этого	1	2
169	тех же	1	2
170	обстоятельство что	3	2
171	место в	2	2
172	о котором	1	2
173	и сейчас	1	2
174	даже не	1	2
175	больше чем	1	2
176	при этом	12	2
177	и для	4	2
178	для себя	1	2
179	того с	1	2
180	для тех	1	2
181	не менее	3	2
182	и тот	7	2
183	точки зрения	24	2
184	не по	2	2
185	значение для	1	2
186	то обстоятельство	3	2
187	но мы	1	2
188	даже в	2	2
189	более подробно	1	2
190	и это	2	2
191	тем самым	7	2
192	то и	1	2
193	того чтобы	7	2
194	что на	2	2
195	с тем	6	2
196	этому нужно	1	2
197	с и	1	2
198	и я	1	2
199	его к	4	2
200	отношением к	1	2
201	на что	1	2
202	одной из	3	2
203	в чем	3	2
204	в тех	1	2
205	совершенно не	3	2
206	того что	10	2
207	по этому	1	2
208	то как	2	2
209	виде в	2	2
210	только что	4	2
211	и других	3	2
212	и весь	1	2
213	в момент	1	2
214	на все	3	2
215	знаем что	1	2
216	один и	7	2
217	у одного	2	2
218	которую он	2	2
219	из этих	2	2
220	с которым	2	2
221	именно с	1	2
222	что такое	5	2
223	нас нет	1	2
224	же о	1	2
225	мы должны	11	2
226	для нее	1	2
227	для того	5	2
228	ни в	3	2
229	тому же	6	2
230	этот момент	1	2
231	всяком случае	3	2
232	ясно что	2	2
233	тем что	7	2
234	тем не	1	2
235	не столько	1	2
236	это делает	1	2
237	этой области	2	2
238	что все	3	2
239	ему в	1	2
240	со стороны	3	2
241	образом в	1	2
242	с ними	1	2
243	с того	1	2
244	на первый	4	2
245	того в	1	2
246	но даже	1	2
247	он оказался	1	2
248	в самом	6	2
249	а по	1	2
250	он говорит	2	2
251	в тот	1	2
252	в результате	8	2
253	кто не	1	2
254	мы будем	2	2
255	на этом	3	2
256	той же	6	2
257	тем более	1	2
258	указать на	1	2
259	первый план	4	2
260	в частности	5	2
261	то время	1	2
262	по существу	3	2
263	в каком	2	2
264	этом не	1	2
265	этот факт	1	2
266	не из	1	2
267	что она	1	2
268	мы знаем	1	2
269	конечно не	1	2
270	том чтобы	2	2
271	было бы	8	2
272	выше мы	1	2
273	и толстой	1	2
274	известно что	1	2
275	что с	4	2
276	так например	1	2
277	уже и	2	2
278	толстой и	2	2
279	из них	4	2
280	никак нельзя	1	2
281	указывает на	2	2
282	что мы	7	2
283	становится для	1	1
284	о которых	1	1
285	одно обстоятельство	1	1
286	и понятия	1	1
287	явлений но	1	1
288	мысли но	1	1
289	которого мы	1	1
290	бы по	1	1
291	сила и	1	1
292	что можно	1	1
293	отношении к	1	1
294	и того	5	1
295	самого себя	2	1
296	бы в	3	1
297	одно и	6	1
298	что их	1	1
299	тогда как	2	1
300	первого года	1	1
301	очень часто	2	1
302	одному тому	1	1
303	которые мы	3	1
304	так сказать	1	1
305	вплоть до	1	1
306	по сообщению	1	1
307	или в	1	1
308	исторический метод	1	1
309	по одному	3	1
310	в состоянии	1	1
311	имел случай	1	1
312	в разных	1	1
313	вопросе о	2	1
314	прежде всего	2	1
315	случае не	2	1
316	стороны не	1	1
317	действительно в	1	1
318	и совершенно	1	1
319	но скорее	3	1
320	что вся	1	1
321	себе не	1	1
322	же в	1	1
323	время как	1	1
324	о своих	1	1
325	что вместо	1	1
326	в настоящем	3	1
327	для них	1	1
328	связи с	3	1
329	этими двумя	2	1
330	в точности	1	1
331	может получить	1	1
332	вопрос об	1	1
333	выступает в	5	1
334	умственное развитие	3	1
335	одновременно и	1	1
336	ни было	1	1
337	переворот в	1	1
338	большое значение	1	1
339	о невозможности	1	1
340	нет никаких	1	1
341	и больше	1	1
342	показать как	1	1
343	тем больше	1	1
344	говоря уже	1	1
345	настоящее время	2	1
346	стороны мы	2	1
347	даже что	1	1
348	и выше	1	1
349	было в	1	1
350	вообще и	1	1
351	и во	3	1
352	это обстоятельство	1	1
353	с помощью	31	1
354	иное как	1	1
355	дает нам	1	1
356	если это	1	1
357	не знаком	1	1
358	и которая	2	1
359	которая в	2	1
360	и другие	9	1
361	на место	3	1
362	не содержит	1	1
363	уже на	1	1
364	с другими	1	1
365	во всех	1	1
366	не существует	1	1
367	сомнения в	1	1
368	только то	1	1
369	на нем	2	1
370	так в	1	1
371	и те	4	1
372	в другой	2	1
373	итак мы	1	1
374	и часто	1	1
375	общей проблемы	1	1
376	в основных	1	1
377	убедиться в	1	1
378	как его	1	1
379	в одном	1	1
380	то в	1	1
381	слова не	3	1
382	те же	6	1
383	что уже	2	1
384	одно из	1	1
385	со всеми	3	1
386	на развитии	2	1
387	он находит	2	1
388	время был	1	1
389	который в	1	1
390	но все	1	1
391	например когда	1	1
392	историю развития	1	1
393	история и	1	1
394	но который	1	1
395	представляет собой	3	1
396	и только	4	1
397	нами выше	4	1
398	и второй	2	1
399	смысле этого	7	1
400	этому вопросу	2	1
401	источников в	1	1
402	его как	1	1
403	общими взглядами	1	1
404	и слова	1	1
405	знает что	3	1
406	с той	2	1
407	и осветить	1	1
408	почти всегда	3	1
409	личности и	1	1
410	то для	1	1
411	с этой	4	1
412	мы имели	5	1
413	из него	2	1
414	между ними	4	1
415	видели что	2	1
416	во всей	4	1
417	дело с	1	1
418	есть тот	1	1
419	изучения в	1	1
420	раз в	2	1
421	в таких	1	1
422	в таком	2	1
423	быть не	1	1
424	развития эта	1	1
425	и которые	2	1
426	раз навсегда	1	1
427	чем с	1	1
428	но если	1	1
429	в приведенных	2	1
430	на самом	1	1
431	том виде	2	1
432	у них	1	1
433	не имеют	3	1
434	с целью	1	1
435	это не	5	1
436	относиться к	1	1
437	он их	1	1
438	то здесь	1	1
439	детей в	1	1
440	что иное	1	1
441	больше того	1	1
442	в последние	1	1
443	детском возрасте	2	1
444	в этих	3	1
445	из которых	1	1
446	и той	4	1
447	всей своей	1	1
448	одновременно с	3	1
449	не во	1	1
450	по отношению	1	1
451	на вопрос	1	1
452	которые в	4	1
453	котором до	1	1
454	на пути	1	1
455	в других	1	1
456	не хотел	1	1
457	логики и	1	1
458	и внешних	1	1
459	почти одновременно	1	1
460	имеем дело	1	1
461	поэтому не	1	1
462	которая с	1	1
463	ее в	1	1
464	не соответствует	2	1
465	связанная с	1	1
466	что не	1	1
467	до того	1	1
468	что понятие	4	1
469	мы сталкиваемся	1	1
470	которое мы	2	1
471	одной и	5	1
472	в высшей	2	1
473	в строгой	1	1
474	то ни	1	1
475	состояла в	2	1
476	только у	1	1
477	только с	1	1
478	связаны с	1	1
479	говорил он	2	1
480	в силу	6	1
481	свою очередь	2	1
482	для объяснения	2	1
483	и поэтому	3	1
484	и ответов	1	1
485	языке слово	1	1
486	содержит в	2	1
487	течение нескольких	1	1
488	относится к	1	1
489	является слишком	2	1
490	ко всей	2	1
491	на который	1	1
492	вообще в	1	1
493	приводят к	3	1
494	нам в	2	1
495	лет в	1	1
496	целом и	2	1
497	значение и	1	1
498	о чем	1	1
499	чтобы закончить	1	1
500	здесь о	1	1
501	элементы в	1	1
502	виде отдельной	1	1
503	что явилось	1	1
504	его личности	1	1
505	не говоря	1	1
506	себе и	3	1
507	мы имеем	2	1
508	ту же	2	1
509	по мнению	2	1
510	в каждом	2	1
511	в их	12	1
512	образования и	1	1
513	смысле оно	1	1
514	однако и	1	1
515	друг друга	4	1
516	только не	5	1
517	столь же	3	1
518	и тем	8	1
519	так же	11	1
520	внимание на	3	1
521	его ранних	2	1
522	его развития	1	1
523	этого слова	11	1
524	после или	1	1
525	от того	3	1
526	этом же	1	1
527	в настоящее	2	1
528	том же	2	1
529	не мешает	1	1
530	знакомства с	1	1
531	же самое	7	1
532	именно в	3	1
533	с одной	9	1
534	факт что	2	1
535	самые разнообразные	1	1
536	тому что	4	1
537	в историческом	2	1
538	из более	1	1
539	понятий но	3	1
540	этом отношении	7	1
541	как уже	4	1
542	исторического понимания	1	1
543	не могут	3	1
544	на слово	2	1
545	целого ряда	2	1
546	а все	1	1
547	не что	1	1
548	мы можем	5	1
549	в истинные	1	1
550	как известно	3	1
551	эти самые	1	1
552	поэтому в	1	1
553	раз он	1	1
554	заставляет нас	1	1
555	не просто	2	1
556	и когда	3	1
557	роль в	4	1
558	как у	1	1
559	далеко не	2	1
560	их в	2	1
561	одной стороны	9	1
562	не как	1	1
563	от других	2	1
564	представление о	1	1
565	в различных	1	1
566	этого вопроса	2	1
567	вопрос о	1	1
568	даже для	1	1
569	и хотя	1	1
570	бы мы	1	1
571	которое он	1	1
572	столько же	1	1
573	на две	1	1
574	этих двух	1	1
575	слова с	1	1
576	очень рано	2	1
577	уже о	1	1
578	видеть в	2	1
579	и древним	1	1
580	о значении	1	1
581	между этими	2	1
582	с которой	1	1
583	совершенно другую	1	1
584	мы не	1	1
585	ничего кроме	2	1
586	в основном	1	1
587	же возраста	1	1
588	сейчас же	2	1
589	он выступает	1	1
590	чем в	3	1
591	самом деле	7	1
592	слова из	2	1
593	в области	4	1
594	а не	7	1
595	не связанным	2	1
596	которые не	2	1
597	таким же	2	1
598	и после	1	1
599	и есть	1	1
600	в ней	2	1
601	и одновременно	1	1
602	нас в	3	1
603	и вся	1	1
604	ним но	1	1
605	что может	1	1
606	еще одна	1	1
607	время не	1	1
608	со всей	2	1
609	но эта	1	1
610	одного из	1	1
611	и более	7	1
612	что здесь	2	1
613	нас на	1	1
614	заключается в	18	1
615	раннего овладения	1	1
616	этим предметом	1	1
617	а потом	2	1
618	без влияния	1	1
619	относящиеся ко	1	1
620	но во	1	1
621	у животных	1	1
622	том насколько	1	1
623	на которой	1	1
624	если бы	5	1
625	от его	1	1
626	ребенком и	3	1
627	и тогда	2	1
628	как о	1	1
629	для других	2	1
630	с самого	1	1
631	связь между	2	1
632	когда они	1	1
633	приведенных выше	1	1
634	легко и	1	1
635	должны сказать	1	1
636	указанием на	1	1
637	не есть	2	1
638	в данном	2	1
639	что если	2	1
640	бы то	1	1
641	в свою	2	1
642	строгой и	1	1
