N	3gram	Tiupa_Lite_1	NovoeSre
1	не может быть	1	4
2	подобно тому как	2	3
3	в наше время	1	3
4	во имя свободы	1	3
5	с одной стороны	2	2
6	с другой стороны	1	2
7	культуры нового времени	2	2
8	и того же	1	1
9	только потому что	1	1
10	а не в	1	1
11	одного и того	1	1
12	в том числе	1	1
13	как это было	1	1
14	до сих пор	1	1
15	в зависимости от	1	1
16	в отличие от	5	1
17	общественной жизни не	1	1
18	последних вопросов бытия	1	1
19	можно было бы	1	1
20	он нуждается в	1	1
21	не только в	4	1
22	в одну из	1	1
23	во всяком случае	2	1
24	я условно называю	1	1
25	о том что	2	1
26	в значительной степени	1	1
27	не в силах	1	1
28	в большинстве случаев	1	1
29	есть бог и	1	1
30	быть не может	1	1
31	в том что	11	1
