N	3gram	Bakhtin_fo_1	Mirosoze
1	не может быть	3	17
2	и его судьбе	1	5
3	вместе с тем	2	5
4	но и в	2	4
5	один из самых	1	4
6	с тем что	1	3
7	и в самом	1	3
8	прежде всего в	1	2
9	по отношению к	3	2
10	до сих пор	3	2
11	но он не	1	2
12	в центре его	2	2
13	то время как	2	2
14	не только в	2	2
15	не могут быть	1	2
16	в нем не	3	2
17	он не знает	1	2
18	в то время	3	2
19	для того чтобы	5	2
20	в высшей степени	1	2
21	бросается в глаза	1	1
22	все в нем	1	1
23	на том что	1	1
24	самого человека и	1	1
25	но она не	1	1
26	человек может быть	1	1
27	с чем не	1	1
28	а вовсе не	1	1
29	имеем в виду	1	1
30	в самом деле	1	1
31	человек а не	1	1
32	потому что не	1	1
33	бы он ни	1	1
34	они не могут	1	1
35	в зависимости от	1	1
36	человеческого образа в	1	1
37	в отличие от	2	1
38	начале xx века	1	1
39	и т п	8	1
40	раскрывается не в	1	1
41	в нем все	2	1
42	он ни был	1	1
43	и у него	2	1
44	смысле слова он	1	1
45	в нем нет	2	1
46	у него нет	1	1
47	жизни и в	2	1
48	может быть и	2	1
49	его судьбы в	1	1
50	имел в виду	1	1
51	отличает его от	1	1
52	нем нет ничего	1	1
53	в значительной степени	1	1
54	и исторического процесса	1	1
55	быть и речи	1	1
56	по сравнению с	2	1
57	во всех этих	1	1
58	по природе своей	2	1
59	и ничего не	1	1
60	но в нем	1	1
61	в этот момент	1	1
62	в самой жизни	1	1
63	все более и	1	1
64	друг к другу	2	1
65	во всяком случае	1	1
66	и речи о	1	1
67	и в самой	1	1
68	нет в самом	1	1
69	когда мы говорим	1	1
70	человек в этом	1	1
71	в разных местах	1	1
72	в себе и	1	1
73	и в том	1	1
74	между этими двумя	3	1
75	в него как	1	1
76	образ человека в	3	1
77	жизнь в ней	1	1
78	всего того что	1	1
79	на протяжении всего	1	1
80	есть одно из	1	1
81	ни с чем	1	1
82	в самом человеке	3	1
83	мы имеем в	1	1
84	так же мало	1	1
85	о том что	1	1
86	и ту же	1	1
87	возможно лишь в	1	1
88	про себя а	1	1
89	более и более	1	1
90	одну и ту	1	1
91	в них не	1	1
92	в том что	2	1
93	все это не	1	1
94	мира может быть	1	1
95	в человека но	1	1
