N	3gram	Berdyaev_V_1	FransuaR
1	его связь с	1	3
2	но и в	2	2
3	и не было	1	2
4	по сравнению с	1	2
5	как и в	1	2
6	и если за	1	1
7	и вообще в	1	1
8	хотя бы и	1	1
9	в мире и	1	1
10	бы то ни	1	1
11	вместо того чтобы	2	1
12	за то что	3	1
13	бы и не	2	1
14	и в этом	1	1
15	все что было	1	1
16	и до того	1	1
17	это одна из	1	1
18	с другой стороны	1	1
19	в истории и	1	1
20	в вопросе о	2	1
21	в одном образе	1	1
22	и вместе с	1	1
23	не имеет никакой	1	1
24	смысл жизни и	1	1
25	мы видим что	1	1
26	но все же	1	1
27	и в духе	1	1
28	в том что	2	1
