N	3gram	Vinokur_St_1	Myshleni
1	в том что	17	19
2	по отношению к	3	10
3	с точки зрения	8	10
4	для того чтобы	10	8
5	к тому что	1	7
6	так же как	3	6
7	в то время	2	6
8	в зависимости от	1	5
9	можно было бы	8	5
10	то время как	1	5
11	заключается в том	3	5
12	потому что он	1	4
13	на то что	4	4
14	до сих пор	7	3
15	в этом отношении	7	3
16	в первую очередь	2	3
17	в этом смысле	1	2
18	в том же	1	2
19	в этом случае	2	2
20	и не может	1	2
21	каждой из этих	1	2
22	только то что	1	2
23	на этот вопрос	1	2
24	как увидим ниже	1	2
25	и то что	2	2
26	как раз в	2	2
27	что то что	1	2
28	в этой области	5	2
29	во втором случае	2	2
30	то что он	1	2
31	с другой стороны	6	2
32	том смысле что	1	2
33	с того что	1	2
34	в том смысле	2	2
35	если бы оно	1	2
36	мы имеем дело	1	2
37	не может быть	5	2
38	себе отчета в	1	1
39	для нас более	1	1
40	том что в	3	1
41	речи в этом	1	1
42	в которой он	1	1
43	если таким образом	1	1
44	а не на	1	1
45	с которыми мы	1	1
46	что в своем	1	1
47	на самом деле	6	1
48	в котором он	1	1
49	выйти за пределы	1	1
50	в том числе	2	1
51	в том и	1	1
52	и без всяких	1	1
53	так что в	1	1
54	внимание на то	1	1
55	о том как	1	1
56	же как и	1	1
57	друг от друга	1	1
58	в наших глазах	2	1
59	тому что в	2	1
60	только в том	3	1
61	раз в этой	1	1
62	является то что	1	1
63	сами по себе	1	1
64	самом деле не	1	1
65	что он не	1	1
66	этой области не	1	1
67	то что в	2	1
68	том числе и	2	1
69	точно так же	1	1
70	не отдает себе	1	1
71	является не менее	1	1
72	этот вопрос можно	1	1
73	и могут быть	1	1
74	в равной мере	2	1
75	ясно что при	1	1
76	что в момент	1	1
77	не значит что	3	1
78	содержит в себе	1	1
79	в данном случае	6	1
80	которая кстати сказать	1	1
81	не только в	4	1
82	только и могут	1	1
83	то что она	1	1
84	с одной стороны	2	1
85	во всех трех	2	1
86	на этот раз	2	1
87	тот факт что	1	1
88	с величайшим трудом	1	1
89	и в этом	3	1
90	и по отношению	1	1
91	так как по	1	1
92	имеем дело с	2	1
93	в разной мере	1	1
94	это не значит	3	1
95	вопрос о том	2	1
96	могут быть установлены	1	1
97	она исходит из	1	1
98	отчета в том	1	1
99	и в отношении	1	1
100	тем обстоятельством что	1	1
101	надо сказать что	1	1
102	было бы совершенно	1	1
103	но с другой	2	1
104	в лучшем случае	1	1
105	то обстоятельство что	2	1
106	не являются чем-то	1	1
107	может быть общим	1	1
108	как и в	2	1
109	он должен был	2	1
110	не может не	1	1
111	ту мысль что	1	1
112	и в и	3	1
113	в самом деле	5	1
114	той или иной	1	1
115	смысле этого слова	1	1
116	после того как	1	1
117	что мы снова	1	1
118	ответ на вопрос	1	1
119	тем не менее	2	1
120	ничего общего с	3	1
121	что и в	4	1
122	из того же	1	1
123	в конце концов	1	1
124	в настоящее время	1	1
